"Label","Value"
"2013-03-16","1995.09"
"2013-03-23","3446.16"
"2013-03-30","2520.35"
"2013-04-06","3489.42"
"2013-04-13","4460.55"
"2013-04-20","4058.42"
"2013-04-27","3012.02"
"2013-05-04","2866.21"
"2013-05-11","2531.03"
"2013-05-18","3180.93"
"2013-05-25","3554.04"
"2013-06-01","3454.58"
"2013-06-08","4261.84"
"2013-06-15","4016.36"
"2013-06-22","4356.78"
"2013-06-29","4496.2"
"2013-07-06","7316.89"
"2013-07-13","7506.02"
"2013-07-20","8715.6"
"2013-07-27","10023.18"
"2013-08-03","11076.44"
"2013-08-10","11010.69"
"2013-08-17","12451.5"
"2013-08-24","14244.33"
"2013-08-31","13083.07"
"2013-09-07","13135.19"
"2013-09-14","13334.74"
"2013-09-21","14736.17"
"2013-09-28","15486.4"
"2013-10-05","14948.2"
"2013-10-12","12253.11"
"2013-10-19","14034.04"
"2013-10-26","12371.44"
"2013-11-02","11218.59"
"2013-11-09","15163.82"
"2013-11-16","11932.53"
"2013-11-23","8773.14"
"2013-11-30","9355.48"
"2013-12-07","7524.96"
"2013-12-14","5867.5"
"2013-12-21","7546.61"
"2013-12-28","3867.69"
"2014-01-04","4802.91"
"2014-01-11","5568.75"
"2014-01-18","5470.1"
"2014-01-25","5745.14"
"2014-02-01","5719.81"
"2014-02-08","6641.45"
"2014-02-15","6453.7218"
"2014-02-22","6232.79"
"2014-03-01","7527.99"
"2014-03-08","7188.75"
"2014-03-15","6608.02"
"2014-03-22","6518.1319695"
"2014-03-29","7299.4422065"
"2014-04-05","8490.9765753"
"2014-04-12","8936.8227694"
"2014-04-19","8501.5512585"
"2014-04-26","8061.9296055"
"2014-05-03","8274.446"
"2014-05-10","9130.1569"
"2014-05-17","8480.9407"
"2014-05-24","10000.9037"
"2014-05-31","8269.8371"
"2014-06-07","8102.3573"
"2014-06-14","8952.8999"
"2014-06-21","8857.7898"
"2014-06-28","8352.2977"
"2014-07-05","7751.0606"
"2014-07-12","8740.2293"
"2014-07-19","8190.1121"
"2014-07-26","7964.2275"
"2014-08-02","8480.236"
"2014-08-09","8882.6168"
"2014-08-16","9982.6836"
"2014-08-23","10365.0308"
"2014-08-30","10012.135"
"2014-09-06","11734.4156"
"2014-09-13","12996.2015"
"2014-09-20","14939.6469"
"2014-09-27","15134.0724"
"2014-10-04","16037.5947"
"2014-10-11","16361.729"
"2014-10-18","14903.9886"
"2014-10-25","15985.3029"
"2014-11-01","16212.038"
"2014-11-08","17482.473"
"2014-11-15","15228.8858"
"2014-11-22","15712.3749"
"2014-11-29","15249.8953"
"2014-12-06","18075.3552"
"2014-12-13","17278.6339"
"2014-12-20","20355.0229"
"2014-12-27","14165.5565"
"2015-01-03","15377.7605"
"2015-01-10","21159.7503"
"2015-01-17","28721.4857"
"2015-01-24","26735.1261"
"2015-01-31","24785.4258"
"2015-02-07","28052.547"
"2015-02-14","29709.6349"
"2015-02-21","27359.062"
"2015-02-28","28875.2503"
"2015-03-07","26293.4797"
"2015-03-14","24213.672"
"2015-03-21","25057.004"
"2015-03-28","23711.3959"
"2015-04-04","25252.1089"
"2015-04-11","26980.5048"
"2015-04-18","26965.9649"
"2015-04-25","29026.54"
"2015-05-02","29113.47"
"2015-05-09","28234.605"
"2015-05-16","30084.4536"
"2015-05-23","28905.54"
"2015-05-30","29300.9365"
"2015-06-06","34271.2731"
"2015-06-13","33162.5495"
"2015-06-20","31855.4133"
"2015-06-27","32407.8739"
"2015-07-04","30829.6634"
"2015-07-11","29087.9062"
"2015-07-18","27732.8712"
"2015-07-25","27985.8102"
"2015-08-01","27575.5439"
"2015-08-08","30026.033"
"2015-08-15","30424.0001"
"2015-08-22","33597.5106"
"2015-08-29","34832.1789"
"2015-09-05","34803.1928"
"2015-09-12","34577.6083"
"2015-09-19","38389.0748"
"2015-09-26","38031.9833"
"2015-10-03","37845.301"
"2015-10-10","39136.563"
"2015-10-17","37496.0549"
"2015-10-24","38424.6029"
"2015-10-31","36107.4837"
"2015-11-07","32380.3437"
"2015-11-14","29365.9343"
"2015-11-21","30752.912"
"2015-11-28","29881.367"
"2015-12-05","29258.2374"
"2015-12-12","27130.5845"
"2015-12-19","26158.306"
"2015-12-26","19825.5222"
"2016-01-02","18307.7112"
"2016-01-09","23228.4967"
"2016-01-16","23996.2918"
"2016-01-23","23936.6244"
"2016-01-30","27400.808"
"2016-02-06","27300.109"
"2016-02-13","28891.8102"
"2016-02-20","28356.4536"
"2016-02-27","28283.032"
"2016-03-05","29555.0566"
