Label,Value
2013-03-16,221.61000000
2013-03-23,558.91000000
2013-03-30,473.98000000
2013-04-06,308.61000000
2013-04-13,899.16000000
2013-04-20,682.44000000
2013-04-27,321.08000000
2013-05-04,276.15000000
2013-05-11,378.42000000
2013-05-18,392.09000000
2013-05-25,314.32000000
2013-06-01,357.05000000
2013-06-08,508.57000000
2013-06-15,373.42000000
2013-06-22,303.21000000
2013-06-29,404.47000000
2013-07-06,650.75000000
2013-07-13,773.51000000
2013-07-20,743.60000000
2013-07-27,871.18000000
2013-08-03,1170.99000000
2013-08-10,728.43000000
2013-08-17,821.15000000
2013-08-24,1157.25000000
2013-08-31,1355.46000000
2013-09-07,1589.66000000
2013-09-14,1373.13000000
2013-09-21,1424.21000000
2013-09-28,1392.44000000
2013-10-05,850.04000000
2013-10-12,1087.99000000
2013-10-19,1146.79000000
2013-10-26,1144.16000000
2013-11-02,627.30000000
2013-11-09,856.20000000
2013-11-16,863.37000000
2013-11-23,504.31000000
2013-11-30,600.57000000
2013-12-07,471.59000000
2013-12-14,338.39000000
2013-12-21,406.62000000
2013-12-28,197.23000000
2014-01-04,174.11000000
2014-01-11,280.65000000
2014-01-18,378.78000000
2014-01-25,364.76000000
2014-02-01,360.10000000
2014-02-08,442.35000000
2014-02-15,358.74000000
2014-02-22,362.01000000
2014-03-01,480.70000000
2014-03-08,468.51000000
2014-03-15,445.25000000
2014-03-22,488.14000000
2014-03-29,487.87000000
2014-04-05,502.00000000
2014-04-12,725.06000000
2014-04-19,539.88000000
2014-04-26,502.03000000
2014-05-03,657.35000000
2014-05-10,719.02000000
2014-05-17,667.21000000
2014-05-24,818.93000000
2014-05-31,677.55000000
2014-06-07,649.33000000
2014-06-14,635.61000000
2014-06-21,525.35000000
2014-06-28,514.86000000
2014-07-05,494.38000000
2014-07-12,547.75000000
2014-07-19,677.93000000
2014-07-26,626.25000000
2014-08-02,420.43000000
2014-08-09,637.50000000
2014-08-16,701.57000000
2014-08-23,1010.44000000
2014-08-30,963.39000000
2014-09-06,906.63000000
2014-09-13,729.24000000
2014-09-20,1195.77000000
2014-09-27,1214.34000000
2014-10-04,1089.31000000
2014-10-11,1100.52000000
2014-10-18,1430.40000000
2014-10-25,940.10000000
2014-11-01,987.87000000
2014-11-08,1344.79000000
2014-11-15,1067.28000000
2014-11-22,1066.63000000
2014-11-29,1196.96000000
2014-12-06,1406.01000000
2014-12-13,1126.99000000
2014-12-20,1689.02000000
2014-12-27,1154.70000000
2015-01-03,1130.42000000
2015-01-10,1477.80000000
2015-01-17,1819.48000000
2015-01-24,1639.44000000
2015-01-31,1650.36000000
2015-02-07,1934.26000000
2015-02-14,2450.97000000
2015-02-21,1832.13000000
2015-02-28,1913.90000000
2015-03-07,1664.23000000
2015-03-14,1645.62000000
2015-03-21,1586.03000000
2015-03-28,1362.48000000
2015-04-04,1058.36000000
2015-04-11,1653.77000000
2015-04-18,1539.46000000
2015-04-25,1738.58000000
2015-05-02,1685.97000000
2015-05-09,1733.80000000
2015-05-16,1816.66130000
2015-05-23,1686.04000000
2015-05-30,1867.39810000
2015-06-06,1943.95000000
2015-06-13,2047.05000000
2015-06-20,1856.69000000
2015-06-27,1862.99000000
2015-07-04,1625.73000000
2015-07-11,1898.77000000
2015-07-18,1550.88000000
2015-07-25,1422.91000000
2015-08-01,1678.33000000
2015-08-08,1822.49000000
2015-08-15,1677.37000000
2015-08-22,1900.18000000
2015-08-29,1918.79000000
2015-09-05,1834.83000000
2015-09-12,1857.55000000
2015-09-19,2014.19000000
2015-09-26,2120.62000000
2015-10-03,1847.60000000
2015-10-10,2027.21000000
2015-10-17,2431.02000000
2015-10-24,2068.50000000
2015-10-31,2010.91000000
2015-11-07,1833.34000000
2015-11-14,1817.96000000
2015-11-21,1762.03000000
2015-11-28,1809.31000000
2015-12-05,1567.21000000
2015-12-12,1509.97000000
2015-12-19,1731.46000000
2015-12-26,1118.11000000
2016-01-02,820.44000000
2016-01-09,942.03000000
2016-01-16,1081.22000000
2016-01-23,1094.19000000
2016-01-30,1203.04000000
2016-02-06,1197.65000000
2016-02-13,1305.49000000
