Label,Value
2013-08-24,2.44000000
2013-10-05,0.23000000
2013-10-19,6.41000000
2013-10-26,15.30000000
2013-11-02,1.86000000
2013-11-09,124.64000000
2013-11-16,17.27000000
2013-11-23,0.42000000
2013-11-30,36.37000000
2013-12-07,49.05000000
2013-12-14,0.36000000
2013-12-21,10.77000000
2013-12-28,3.46000000
2014-01-04,11.65000000
2014-01-11,24.97000000
2014-01-18,4.15000000
2014-01-25,0.64000000
2014-02-01,5.93000000
2014-02-08,5.02000000
2014-02-15,2.64000000
2014-02-22,4.46000000
2014-03-01,14.54000000
2014-03-08,3.89000000
2014-03-15,1.85000000
2014-03-22,9.23000000
2014-03-29,7.52000000
2014-04-05,7.54000000
2014-04-12,6.88000000
2014-04-19,5.52000000
2014-04-26,6.54000000
2014-05-03,38.70000000
2014-05-10,37.97000000
2014-05-17,43.95000000
2014-05-24,10.66000000
2014-05-31,7.90000000
2014-06-07,9.72000000
2014-06-14,30.28000000
2014-06-21,11.41000000
2014-06-28,7.27000000
2014-07-05,5.62000000
2014-07-12,6.28000000
2014-07-19,4.87000000
2014-07-26,9.00000000
2014-08-02,19.02000000
2014-08-09,29.78000000
2014-08-16,17.42000000
2014-08-23,29.77000000
2014-08-30,26.80000000
2014-09-06,30.49000000
2014-09-13,99.43000000
2014-09-20,110.26000000
2014-09-27,62.94000000
2014-10-04,77.77000000
2014-10-11,78.60000000
2014-10-18,80.40000000
2014-10-25,53.49000000
2014-11-01,35.34000000
2014-11-08,58.26000000
2014-11-15,69.60000000
2014-11-22,43.35000000
2014-11-29,20.53000000
2014-12-06,30.24000000
2014-12-13,46.32000000
2014-12-20,27.95000000
2014-12-27,44.66000000
2015-01-03,86.26000000
2015-01-10,59.72000000
2015-01-17,40.78000000
2015-01-24,54.37000000
2015-01-31,95.98000000
2015-02-07,89.41000000
2015-02-14,71.11000000
2015-02-21,22.42000000
2015-02-28,53.72000000
2015-03-07,46.69000000
2015-03-14,72.49000000
2015-03-21,667.36000000
2015-03-28,422.13000000
2015-04-04,270.51000000
2015-04-11,807.35000000
2015-04-18,235.24000000
2015-04-25,271.37000000
2015-05-02,246.16000000
2015-05-09,135.91000000
2015-05-16,193.83000000
2015-05-23,362.91000000
2015-05-30,393.33000000
2015-06-06,307.29000000
2015-06-13,187.81000000
2015-06-20,267.18000000
2015-06-27,265.27000000
2015-07-04,268.09000000
2015-07-11,319.85000000
2015-07-18,263.33000000
2015-07-25,203.11000000
2015-08-01,225.30000000
2015-08-08,309.25000000
2015-08-15,213.62000000
2015-08-22,216.37000000
2015-08-29,443.36000000
2015-09-05,732.30000000
2015-09-12,252.76000000
2015-09-19,391.90000000
2015-09-26,307.07000000
2015-10-03,458.92000000
2015-10-10,776.69000000
2015-10-17,575.32000000
2015-10-24,546.72000000
2015-10-31,369.34000000
2015-11-07,220.07000000
2015-11-14,177.01000000
2015-11-21,357.12000000
2015-11-28,331.23000000
2015-12-05,224.95000000
2015-12-12,310.46000000
2015-12-19,325.88000000
2015-12-26,362.90000000
2016-01-02,114.60000000
2016-01-09,412.12000000
2016-01-16,146.17000000
2016-01-23,211.34000000
2016-01-30,677.85000000
2016-02-06,343.24000000
2016-02-13,443.90000000
2016-02-20,1099.72000000
2016-02-27,569.39000000
2016-03-05,327.30000000
2016-03-12,314.91000000
2016-03-19,245.91000000
2016-03-26,270.97000000
2016-04-02,321.52000000
2016-04-09,444.77000000
2016-04-16,509.84000000
2016-04-23,590.48000000
2016-04-30,380.07000000
2016-05-07,760.81000000
2016-05-14,402.95000000
2016-05-21,564.37000000
2016-05-28,851.12000000
2016-06-04,443.68000000
2016-06-11,1359.68000000
2016-06-18,537.66000000
2016-06-25,1001.76080000
2016-07-02,315.15060000
2016-07-09,332.16000000
2016-07-16,521.36000000
2016-07-23,444.54720000
2016-07-30,643.16450000
2016-08-06,581.15000000
2016-08-13,338.16000000
2016-08-20,516.12000000
2016-08-27,414.77000000
2016-09-03,515.91000000
2016-09-10,420.80000000
2016-09-17,445.04000000
2016-09-24,527.89000000
2016-10-01,477.45000000
2016-10-08,409.69000000
2016-10-15,602.36000000
2016-10-22,289.44000000
2016-10-29,386.59000000
2016-11-05,398.66000000
2016-11-12,490.82000000
2016-11-19,430.73000000
2016-11-26,379.41920000
2016-12-03,661.33700000
2016-12-10,681.19450000
2016-12-17,327.15110000
2016-12-24,430.20740000
2016-12-31,318.98060000
2017-01-07,397.11060000
2017-01-14,398.60000000
2017-01-21,380.83000000
2017-01-28,106.01000000
2017-02-04,218.21000000
2017-02-11,1129.43980000
2017-02-18,5343.82420000
2017-02-25,6773.82940000
2017-03-04,6645.91830000
2017-03-11,7307.94290000
2017-03-18,7021.63654137
2017-03-25,7299.38353460
2017-04-01,6248.45545974
2017-04-08,5590.50724286
2017-04-15,5767.29585239
2017-04-22,5507.30878126
2017-04-29,5626.82234390
2017-05-06,5347.82016678
2017-05-13,6114.18040765
2017-05-20,4350.37344880
2017-05-27,5680.82652141
2017-06-03,2969.85082923
2017-06-10,1861.77826260
2017-06-17,1614.85194551
2017-06-24,1221.52663245
2017-07-01,1160.26704184
2017-07-08,1000.81292278
2017-07-15,1216.20583498
2017-07-22,944.27503276
2017-07-29,881.88703813
2017-08-05,1251.08238122
2017-08-12,787.85446870
2017-08-19,650.92762647
2017-08-26,564.00833729
2017-09-02,715.96214652
2017-09-09,1442.02082565
2017-09-16,4005.84686494
2017-09-23,4064.96943929
2017-09-30,3146.39313885
2017-10-07,2035.80291706
2017-10-14,2480.81271438
2017-10-21,2075.85984557
2017-10-28,1673.39066960
2017-11-04,2157.09465531
2017-11-11,1552.07491981
2017-11-18,1443.98612185
2017-11-25,1496.86174100
2017-12-02,1681.63058853
2017-12-09,1372.60051881
2017-12-16,971.38635476
2017-12-23,974.41509854
2017-12-30,818.84899371
2018-01-06,1201.39481589
2018-01-13,1601.11903459
2018-01-20,1250.90956256
2018-01-27,872.45794187
2018-02-03,1144.63865309
2018-02-10,1244.19332849
2018-02-17,545.22625067
2018-02-24,601.78942111
2018-03-03,740.52508344
2018-03-10,640.33003867
2018-03-17,699.45570508
2018-03-24,769.09428246
2018-03-31,798.98218574
2018-04-07,813.22853983
2018-04-14,833.69541511
2018-04-21,790.87128957
2018-04-28,760.49258772
2018-05-05,663.71021228
2018-05-12,553.34600879
2018-05-19,627.75430688
2018-05-26,739.38376578
2018-06-02,600.82316720
2018-06-09,649.36377414
2018-06-16,546.62046656
2018-06-23,548.91088279
2018-06-30,573.41390377
2018-07-07,709.66999192
2018-07-14,536.81025338
2018-07-21,660.02880835
2018-07-28,562.58475764
2018-08-04,573.53458035
2018-08-11,537.86984969
2018-08-18,614.41181879
2018-08-25,694.71997725
2018-09-01,403.50673362
2018-09-08,561.36870451
2018-09-15,551.00525427
2018-09-22,589.91642006
2018-09-29,507.97608142
2018-10-06,430.19341070
2018-10-13,674.11855614
2018-10-20,847.84007563
2018-10-27,667.59994843
2018-11-03,794.12745623
2018-11-10,745.84401909
2018-11-17,716.07031423
2018-11-24,1010.89188786
2018-12-01,871.70867988
2018-12-08,886.92136862
2018-12-15,1006.57012714
2018-12-22,1096.10179434
2018-12-29,814.52824291
2019-01-05,1035.52469815
2019-01-12,1014.27383788
2019-01-19,1057.57569492
2019-01-26,1084.90541780
2019-02-02,1110.87021477
2019-02-09,551.40864023
2019-02-16,845.51102522
2019-02-23,907.69943904
2019-03-02,839.20215573
2019-03-09,892.94933120
2019-03-16,957.77423601
2019-03-23,828.35772207
2019-03-30,920.19970433
2019-04-06,807.50294131
2019-04-13,690.50087435
2019-04-20,1258.89090692
2019-04-27,652.37451549
2019-05-04,603.13833209
2019-05-11,651.55145656
2019-05-18,605.61780910
2019-05-25,581.77393767
2019-06-01,385.31236170
2019-06-08,464.83544320
2019-06-15,516.08290327
2019-06-22,544.81397891
2019-06-29,461.88899698
2019-07-06,342.98022423
2019-07-13,371.29008280
2019-07-20,416.03259824
2019-07-27,432.16347869
2019-08-03,445.77441556
2019-08-10,378.90407015
2019-08-17,420.34041861
2019-08-24,404.70328673
2019-08-31,476.63300035
2019-09-07,409.19429807
2019-09-14,391.15799179
2019-09-21,542.15748728
2019-09-28,525.02575884
2019-10-05,333.22477010
2019-10-12,341.89214319
2019-10-19,292.26367925
2019-10-26,233.01487174
2019-11-02,155.41763841
