Label,Value
2013-11-02,0.65000000
2013-11-23,0.57000000
2013-11-30,0.17000000
2013-12-28,0.02000000
2014-01-18,0.05000000
2015-08-29,2.31000000
2015-10-17,0.07000000
2015-10-31,25.11000000
2015-11-21,0.08000000
2016-02-13,0.03000000
2016-07-30,15.00000000
2016-08-06,0.30000000
2016-08-13,2.26000000
2016-08-20,7.56000000
2016-09-03,0.51000000
2016-10-08,0.29000000
2016-10-15,1.00000000
2016-12-10,0.20000000
2016-12-24,0.28000000
2016-12-31,0.61000000
2017-01-07,0.31000000
2017-01-14,6.28000000
2017-01-21,4.09000000
2017-01-28,5.62000000
2017-02-04,27.65000000
2017-02-11,18.98000000
2017-02-18,10.56000000
2017-02-25,3.51390000
2017-03-04,4.96080000
2017-03-11,4.19720000
2017-03-18,6.43346315
2017-03-25,0.63092730
2017-04-01,2.14118184
2017-04-08,0.02058623
2017-04-15,0.02054979
2017-04-29,0.13041371
2017-05-06,0.12203404
2017-05-13,0.10637661
2017-05-20,0.14377233
2017-05-27,0.02047083
2017-06-10,0.08319080
2017-06-17,0.05511596
2017-06-24,0.11288230
2017-07-01,0.22295761
2017-07-08,0.92234239
2017-07-15,3.56140963
2017-07-22,0.72187756
2017-07-29,0.98578466
2017-08-05,0.39600190
2017-08-12,0.32374641
2017-08-19,1.03711779
2017-08-26,1.33247560
2017-09-02,0.31281295
2017-09-09,0.47939031
2017-09-16,5.60703378
2017-09-23,6.55573269
2017-09-30,3.14316522
2017-10-07,0.78157561
2017-10-14,1.17454797
2017-10-21,0.71990110
2017-10-28,0.34654606
2017-11-04,2.53356532
2017-11-11,0.66050546
2017-11-18,4.52202385
2017-11-25,0.33330992
2017-12-02,1.51837654
2017-12-09,2.91820092
2017-12-16,0.70634166
2017-12-23,1.00894973
2017-12-30,1.54213318
2018-01-06,1.35464765
2018-01-13,2.22483303
2018-01-20,1.82996521
2018-01-27,0.86875662
2018-02-03,0.62467727
2018-02-10,2.31826381
2018-02-17,2.39676689
2018-02-24,1.87265507
2018-03-03,1.48755607
2018-03-10,1.56363742
2018-03-17,1.45876990
2018-03-24,0.56226865
2018-03-31,1.24555938
2018-04-07,2.35265012
2018-04-14,1.16918975
2018-04-21,1.20618911
2018-04-28,0.84385931
2018-05-05,1.24906379
2018-05-12,2.15103742
2018-05-19,1.81625983
2018-05-26,1.37382454
2018-06-02,1.59330407
2018-06-09,1.33149305
2018-06-16,0.57700095
2018-06-23,1.75784933
2018-06-30,1.60933349
2018-07-07,1.60647606
2018-07-14,1.43040624
2018-07-21,1.66214193
2018-07-28,2.18371694
2018-08-04,3.16552619
2018-08-11,1.53113083
2018-08-18,1.52246164
2018-08-25,1.23444143
2018-09-01,1.24536584
2018-09-08,2.04983527
2018-09-15,1.77185789
