Label,Value
2013-03-16,50.71000000
2013-03-23,304.56000000
2013-03-30,262.83000000
2013-04-06,410.11000000
2013-04-13,293.05000000
2013-04-20,406.75000000
2013-04-27,185.71000000
2013-05-04,279.81000000
2013-05-11,193.96000000
2013-05-18,150.99000000
2013-05-25,242.58000000
2013-06-01,296.17000000
2013-06-08,359.97000000
2013-06-15,535.59000000
2013-06-22,372.59000000
2013-06-29,506.68000000
2013-07-06,674.41000000
2013-07-13,878.09000000
2013-07-20,712.49000000
2013-07-27,808.88000000
2013-08-03,649.62000000
2013-08-10,620.07000000
2013-08-17,845.12000000
2013-08-24,1068.98000000
2013-08-31,1104.63000000
2013-09-07,1042.81000000
2013-09-14,933.19000000
2013-09-21,1084.01000000
2013-09-28,1283.24000000
2013-10-05,2011.93000000
2013-10-12,1678.80000000
2013-10-19,2037.18000000
2013-10-26,1391.87000000
2013-11-02,1118.85000000
2013-11-09,1741.72000000
2013-11-16,1962.54000000
2013-11-23,1104.11000000
2013-11-30,1148.16000000
2013-12-07,1009.75000000
2013-12-14,610.96000000
2013-12-21,753.16000000
2013-12-28,499.60000000
2014-01-04,414.60000000
2014-01-11,536.49000000
2014-01-18,415.42000000
2014-01-25,470.40000000
2014-02-01,502.12000000
2014-02-08,741.17000000
2014-02-15,678.94000000
2014-02-22,715.44000000
2014-03-01,707.17000000
2014-03-08,806.28000000
2014-03-15,736.83000000
2014-03-22,627.72270000
2014-03-29,558.03309120
2014-04-05,679.28000000
2014-04-12,832.19000000
2014-04-19,750.60800860
2014-04-26,655.72000000
2014-05-03,589.07000000
2014-05-10,760.28690000
2014-05-17,928.50500000
2014-05-24,819.67070000
2014-05-31,708.29990000
2014-06-07,681.66440000
2014-06-14,685.91130000
2014-06-21,610.86640000
2014-06-28,695.49000000
2014-07-05,740.56000000
2014-07-12,859.30000000
2014-07-19,681.41000000
2014-07-26,546.73000000
2014-08-02,628.95000000
2014-08-09,777.84000000
2014-08-16,652.73000000
2014-08-23,793.95000000
2014-08-30,848.18170000
2014-09-06,739.86000000
2014-09-13,885.84200000
2014-09-20,911.37000000
2014-09-27,1131.67000000
2014-10-04,1174.95000000
2014-10-11,1531.89000000
2014-10-18,1054.22000000
2014-10-25,987.48000000
2014-11-01,1087.71000000
2014-11-08,1188.56000000
2014-11-15,1128.90000000
2014-11-22,1223.78000000
2014-11-29,1203.96000000
2014-12-06,1552.92000000
2014-12-13,1454.18000000
2014-12-20,1623.40000000
2014-12-27,839.08000000
2015-01-03,855.80000000
2015-01-10,1410.31000000
2015-01-17,2349.23000000
2015-01-24,2152.28000000
2015-01-31,1824.01850000
2015-02-07,2224.57000000
2015-02-14,2199.95000000
2015-02-21,1968.48000000
2015-02-28,1958.38000000
2015-03-07,1992.20000000
2015-03-14,1459.16000000
2015-03-21,1624.13510000
2015-03-28,1161.29000000
2015-04-04,1058.78000000
2015-04-11,1533.16000000
2015-04-18,1499.57000000
2015-04-25,1484.82000000
2015-05-02,1547.42000000
2015-05-09,1794.81000000
2015-05-16,2006.52050000
2015-05-23,1913.51180000
2015-05-30,1728.34000000
2015-06-06,2197.98410000
2015-06-13,1669.82620000
2015-06-20,2120.18000000
2015-06-27,2288.16000000
2015-07-04,2564.67000000
2015-07-11,1939.34000000
2015-07-18,1936.90300000
2015-07-25,1444.33550000
2015-08-01,1733.48270000
2015-08-08,2067.13000000
2015-08-15,1852.60950000
2015-08-22,1991.51400000
2015-08-29,2000.30000000
2015-09-05,2311.74000000
2015-09-12,1912.31000000
2015-09-19,2319.69000000
2015-09-26,1885.11000000
2015-10-03,2482.75000000
2015-10-10,2013.16000000
2015-10-17,1944.63000000
2015-10-24,2291.30000000
2015-10-31,1805.24000000
2015-11-07,1924.45900000
2015-11-14,1819.06000000
2015-11-21,1250.06610000
2015-11-28,1780.40240000
2015-12-05,1794.59000000
2015-12-12,1547.13000000
2015-12-19,1523.38000000
2015-12-26,1104.83000000
2016-01-02,1118.81600000
2016-01-09,1212.76000000
2016-01-16,1536.87000000
2016-01-23,1369.34000000
2016-01-30,1695.01340000
2016-02-06,1395.43000000
2016-02-13,1778.70000000
2016-02-20,1315.71780000
2016-02-27,1403.48000000
2016-03-05,1407.61000000
2016-03-12,1661.76000000
2016-03-19,1770.44000000
2016-03-26,1524.24000000
2016-04-02,1488.03830000
2016-04-09,1534.43000000
2016-04-16,1384.59680000
2016-04-23,1338.18010000
2016-04-30,1151.58030000
2016-05-07,1178.34500000
2016-05-14,1250.68350000
2016-05-21,1153.42040000
2016-05-28,1094.57000000
2016-06-04,1287.29440000
2016-06-11,1013.10220000
2016-06-18,843.67000000
2016-06-25,840.92580000
2016-07-02,770.07000000
2016-07-09,764.52000000
2016-07-16,719.79240000
2016-07-23,663.00440000
2016-07-30,701.43000000
2016-08-06,1202.77150000
2016-08-13,1169.59830000
2016-08-20,854.52200000
2016-08-27,1056.45750000
2016-09-03,993.65000000
2016-09-10,931.94000000
2016-09-17,920.90000000
2016-09-24,1159.49390000
2016-10-01,992.81080000
2016-10-08,1156.45000000
2016-10-15,1306.15640000
2016-10-22,1221.71000000
2016-10-29,1054.64040000
2016-11-05,1191.43560000
2016-11-12,1510.09000000
2016-11-19,821.27560000
2016-11-26,1071.28750000
2016-12-03,1459.05750000
2016-12-10,1050.60140000
2016-12-17,1260.34880000
2016-12-24,1216.32480000
2016-12-31,902.43110000
2017-01-07,1015.95310000
2017-01-14,1017.70910000
2017-01-21,1113.04930000
2017-01-28,879.14240000
2017-02-04,1171.40570000
2017-02-11,977.62100000
2017-02-18,905.96980000
2017-02-25,1342.69880000
2017-03-04,893.22610000
2017-03-11,898.37210000
2017-03-18,853.74980467
2017-03-25,704.95169779
2017-04-01,686.57746998
2017-04-08,673.44881316
2017-04-15,974.35949781
2017-04-22,782.88254172
2017-04-29,760.71357400
2017-05-06,713.64424328
2017-05-13,808.01408718
2017-05-20,1133.35894151
2017-05-27,902.87065019
2017-06-03,745.14921225
2017-06-10,618.61110685
2017-06-17,546.71489208
2017-06-24,496.45734284
2017-07-01,497.50405508
2017-07-08,515.64051805
2017-07-15,809.94733098
2017-07-22,629.00311053
2017-07-29,570.19035147
2017-08-05,700.57784235
2017-08-12,637.96561970
2017-08-19,477.52816461
2017-08-26,479.35913181
2017-09-02,442.23621395
2017-09-09,643.34281481
2017-09-16,499.73249150
2017-09-23,495.10955933
2017-09-30,614.61641921
2017-10-07,538.66797346
2017-10-14,589.94397343
2017-10-21,428.46989674
2017-10-28,323.38037375
2017-11-04,359.74658696
2017-11-11,347.81356889
2017-11-18,414.06272295
2017-11-25,253.56182501
2017-12-02,571.07522648
2017-12-09,405.69975763
2017-12-16,438.89809668
2017-12-23,331.96558084
2017-12-30,192.63519786
2018-01-06,261.06993691
2018-01-13,358.87193929
2018-01-20,264.84092284
2018-01-27,390.02240540
2018-02-03,259.12751943
2018-02-10,1051.92575548
2018-02-17,219.15874299
2018-02-24,223.89982362
2018-03-03,328.95194623
2018-03-10,213.39914122
2018-03-17,1232.51559973
2018-03-24,219.70324107
2018-03-31,1619.19897812
2018-04-07,434.77304666
2018-04-14,276.98212395
2018-04-21,320.26757973
2018-04-28,331.51546972
2018-05-05,270.85156422
2018-05-12,297.76030065
2018-05-19,310.81736991
2018-05-26,228.39109687
2018-06-02,277.64271331
2018-06-09,346.02957037
2018-06-16,419.36828121
2018-06-23,348.24824101
2018-06-30,280.91197144
2018-07-07,347.70942621
2018-07-14,290.24120992
2018-07-21,315.13445041
2018-07-28,196.04908114
2018-08-04,292.33306249
2018-08-11,229.60044898
2018-08-18,332.62569535
2018-08-25,217.62664357
2018-09-01,198.13243426
2018-09-08,436.47157369
2018-09-15,230.87462476
2018-09-22,242.72120730
2018-09-29,298.96015825
2018-10-06,279.40815415
2018-10-13,481.38676667
2018-10-20,342.82859572
2018-10-27,260.79365330
2018-11-03,366.15787294
2018-11-10,377.20159522
2018-11-17,295.75803665
2018-11-24,440.99820215
2018-12-01,382.74218602
2018-12-08,688.77109349
2018-12-15,624.00959695
2018-12-22,584.30123234
2018-12-29,307.69761310
2019-01-05,653.04268732
2019-01-12,438.26671245
2019-01-19,669.08865817
2019-01-26,984.66131555
2019-02-02,623.88202347
2019-02-09,635.19850570
2019-02-16,410.64634661
2019-02-23,411.44352572
2019-03-02,829.64012317
2019-03-09,602.44145803
2019-03-16,459.75102686
2019-03-23,603.18980192
2019-03-30,432.16976922
2019-04-06,442.73110008
2019-04-13,400.24447644
2019-04-20,337.10344071
2019-04-27,355.08332242
2019-05-04,418.26281304
2019-05-11,424.87917822
2019-05-18,466.81818789
2019-05-25,249.88689648
2019-06-01,205.16829960
2019-06-08,368.54575038
2019-06-15,327.30992870
2019-06-22,254.43956529
2019-06-29,204.72619967
2019-07-06,447.52661531
2019-07-13,207.58180336
2019-07-20,176.21012813
2019-07-27,155.26797726
2019-08-03,196.64366725
2019-08-10,338.18395058
2019-08-17,189.12057040
2019-08-24,225.19723508
2019-08-31,177.67305604
2019-09-07,346.57524538
2019-09-14,249.53848212
2019-09-21,187.92835640
2019-09-28,198.75263609
2019-10-05,182.21034802
2019-10-12,379.20064790
2019-10-19,197.99018499
2019-10-26,148.57775275
2019-11-02,151.87642733
2019-11-09,151.43072705
2019-11-16,355.03346047
2019-11-23,262.43126062
2019-11-30,172.04688081
2019-12-07,197.03291119
2019-12-14,170.47394667
2019-12-21,309.87729221
