Label,Value
2013-03-16,1182.11000000
2013-03-23,2116.48000000
2013-03-30,1511.92000000
2013-04-06,2048.79000000
2013-04-13,2323.31000000
2013-04-20,2420.03000000
2013-04-27,2145.04000000
2013-05-04,1890.68000000
2013-05-11,1474.41000000
2013-05-18,1940.26000000
2013-05-25,2340.46000000
2013-06-01,2217.18000000
2013-06-08,2247.17000000
2013-06-15,1884.66000000
2013-06-22,2347.32000000
2013-06-29,2015.95000000
2013-07-06,3604.40000000
2013-07-13,3383.91000000
2013-07-20,3276.34000000
2013-07-27,3271.63000000
2013-08-03,3283.63000000
2013-08-10,3232.85000000
2013-08-17,4231.97000000
2013-08-24,4383.40000000
2013-08-31,3795.49000000
2013-09-07,3851.19000000
2013-09-14,3531.87000000
2013-09-21,3982.04000000
2013-09-28,3628.73000000
2013-10-05,3823.56000000
2013-10-12,2626.23000000
2013-10-19,3628.39000000
2013-10-26,3381.55000000
2013-11-02,3267.19000000
2013-11-09,5619.39000000
2013-11-16,4042.05000000
2013-11-23,3264.49000000
2013-11-30,4236.97000000
2013-12-07,3091.17000000
2013-12-14,2269.89000000
2013-12-21,2988.04000000
2013-12-28,1108.50000000
2014-01-04,1657.98000000
2014-01-11,1902.80000000
2014-01-18,1476.62000000
2014-01-25,1677.18000000
2014-02-01,1779.16000000
2014-02-08,1826.36000000
2014-02-15,2398.95000000
2014-02-22,1960.23000000
2014-03-01,2465.45000000
2014-03-08,2159.85000000
2014-03-15,1605.19000000
2014-03-22,1616.28400000
2014-03-29,1921.66720820
2014-04-05,2261.33000000
2014-04-12,1992.35000000
2014-04-19,2291.64000000
2014-04-26,1872.19650000
2014-05-03,1909.20600000
2014-05-10,2349.75000000
2014-05-17,1884.94000000
2014-05-24,2520.24000000
2014-05-31,2344.42020000
2014-06-07,2147.94000000
2014-06-14,2383.78000000
2014-06-21,2612.46000000
2014-06-28,2302.17770000
2014-07-05,1847.57660000
2014-07-12,2242.89000000
2014-07-19,1659.94440000
2014-07-26,1720.67440000
2014-08-02,2036.32000000
2014-08-09,2080.92360000
