Label,Value
2013-04-13,2.46000000
2013-04-27,0.17000000
2013-05-04,0.17000000
2013-05-18,0.64000000
2013-06-15,2.64000000
2013-07-06,2.00000000
2013-07-13,2.68000000
2013-07-27,3.09000000
2013-08-10,1.61000000
2013-08-17,1.31000000
2013-08-24,0.79000000
2013-08-31,3.63000000
2013-09-07,2.64000000
2013-09-14,0.03000000
2013-09-21,0.50000000
2013-09-28,0.76000000
2013-10-05,0.26000000
2013-10-19,4.12000000
2013-10-26,1.57000000
2013-11-02,2.15000000
2013-11-09,1.55000000
2013-11-16,4.55000000
2013-11-23,2.14000000
2013-11-30,0.40000000
2013-12-14,5.71000000
2013-12-21,2.62000000
2013-12-28,0.96000000
2014-01-04,0.15000000
2014-01-11,0.49000000
2014-01-18,1.38000000
2014-01-25,0.99000000
2014-02-01,3.55000000
2014-02-08,1.68000000
2014-02-15,4.30000000
2014-02-22,4.44000000
2014-03-01,1.35000000
2014-03-08,2.11000000
2014-03-15,2.14000000
2014-03-22,1.74000000
2014-03-29,7.15000000
2014-04-05,1.59000000
2014-04-12,1.88000000
2014-04-19,1.61000000
2014-04-26,1.18000000
2014-05-03,6.70000000
2014-05-10,1.77000000
2014-05-17,2.99000000
2014-05-24,2.04000000
2014-05-31,1.95000000
2014-06-07,5.90000000
2014-06-14,4.77000000
2014-06-21,2.08000000
2014-06-28,3.65000000
2014-07-05,2.14000000
2014-07-12,1.68000000
2014-07-19,3.87000000
2014-07-26,1.70000000
2014-08-02,3.86000000
2014-08-09,3.54000000
2014-08-16,2.14000000
2014-08-23,7.48000000
2014-08-30,5.18000000
2014-09-06,3.15000000
2014-09-13,10.29000000
2014-09-20,6.52000000
2014-09-27,11.15000000
2014-10-04,5.65000000
2014-10-11,11.30000000
2014-10-18,23.76000000
2014-10-25,13.21000000
2014-11-01,4.75000000
2014-11-08,7.01000000
2014-11-15,7.28000000
2014-11-22,3.97000000
2014-11-29,3.61000000
2014-12-06,4.23000000
2014-12-13,6.48000000
2014-12-20,13.50000000
2014-12-27,4.70000000
2015-01-03,16.20000000
2015-01-10,13.95000000
2015-01-17,11.02000000
2015-01-24,17.41000000
2015-01-31,4.14000000
2015-02-07,7.77000000
2015-02-14,26.56000000
2015-02-21,18.87000000
2015-02-28,13.34000000
2015-03-07,16.80000000
2015-03-14,23.70000000
2015-03-21,10.74000000
2015-03-28,21.30000000
2015-04-04,35.62000000
2015-04-11,27.01000000
2015-04-18,20.23000000
2015-04-25,16.37000000
2015-05-02,13.09000000
2015-05-09,25.98000000
2015-05-16,38.55000000
2015-05-23,13.51000000
2015-05-30,18.40000000
2015-06-06,29.39000000
2015-06-13,37.45000000
2015-06-20,17.17000000
2015-06-27,30.99000000
2015-07-04,42.35000000
2015-07-11,32.45000000
2015-07-18,42.93000000
2015-07-25,32.00000000
2015-08-01,13.01000000
2015-08-08,30.11000000
2015-08-15,48.13000000
2015-08-22,29.31000000
2015-08-29,35.96000000
2015-09-05,32.88000000
2015-09-12,53.79000000
2015-09-19,44.70000000
2015-09-26,39.05000000
2015-10-03,33.65000000
2015-10-10,29.90000000
2015-10-17,38.77000000
2015-10-24,35.27000000
2015-10-31,33.60000000
2015-11-07,45.26000000
2015-11-14,44.57000000
2015-11-21,25.05000000
2015-11-28,40.50000000
2015-12-05,61.44000000
2015-12-12,46.36000000
2015-12-19,39.21000000
2015-12-26,35.64000000
2016-01-02,21.97000000
2016-01-09,14.27000000
2016-01-16,40.22000000
2016-01-23,36.97000000
2016-01-30,17.91000000
2016-02-06,46.72000000
2016-02-13,76.95000000
2016-02-20,48.14000000
2016-02-27,33.57000000
2016-03-05,43.10000000
2016-03-12,45.07000000
2016-03-19,65.76000000
2016-03-26,55.84000000
2016-04-02,36.40000000
2016-04-09,77.34000000
2016-04-16,67.52000000
2016-04-23,71.16000000
2016-04-30,61.03000000
2016-05-07,60.32000000
2016-05-14,74.64000000
2016-05-21,100.11000000
2016-05-28,48.35000000
2016-06-04,74.84000000
2016-06-11,48.91000000
2016-06-18,47.33000000
2016-06-25,26.68000000
2016-07-02,16.56000000
2016-07-09,18.74000000
2016-07-16,26.16000000
2016-07-23,27.41000000
2016-07-30,26.08000000
2016-08-06,23.33000000
2016-08-13,22.99000000
2016-08-20,30.97000000
2016-08-27,17.21000000
2016-09-03,14.93000000
2016-09-10,28.77000000
2016-09-17,39.97000000
2016-09-24,26.09000000
2016-10-01,24.79000000
2016-10-08,13.41000000
2016-10-15,18.55000000
2016-10-22,16.04000000
2016-10-29,6.07000000
2016-11-05,21.51000000
2016-11-12,12.44000000
2016-11-19,25.80000000
2016-11-26,16.07000000
2016-12-03,17.32000000
2016-12-10,11.80000000
2016-12-17,16.91000000
2016-12-24,21.41000000
2016-12-31,38.16000000
2017-01-07,7.67000000
2017-01-14,22.27000000
2017-01-21,11.55000000
2017-01-28,13.05000000
2017-02-04,10.52000000
2017-02-11,11.66000000
2017-02-18,6.65200000
2017-02-25,5.34020000
2017-03-04,8.65900000
2017-03-11,26.50780000
2017-03-18,6.82643664
2017-03-25,10.77576573
2017-04-01,12.15937559
2017-04-08,7.63908220
2017-04-15,6.70353536
2017-04-22,17.37106243
2017-04-29,6.00986925
2017-05-06,7.20161929
2017-05-13,6.86576686
2017-05-20,8.69002657
2017-05-27,19.88465471
2017-06-03,7.56125112
2017-06-10,29.39766173
2017-06-17,2.91630209
2017-06-24,11.61952918
2017-07-01,21.81006532
2017-07-08,5.00720589
2017-07-15,5.07666414
2017-07-22,8.91953062
2017-07-29,12.76026593
2017-08-05,30.83278365
2017-08-12,6.02912353
2017-08-19,6.19232147
2017-08-26,8.54946207
2017-09-02,3.72760671
2017-09-09,4.69371577
2017-09-16,8.57100439
2017-09-23,1.67678597
2017-09-30,2.28570669
2017-10-07,1.82211450
2017-10-14,5.15885681
2017-10-21,3.13548579
2017-10-28,1.72552356
2017-11-04,4.99279465
2017-11-11,1.94293331
2017-11-18,4.35529018
2017-11-25,0.89961892
2017-12-02,6.83196223
2017-12-09,3.20034697
2017-12-16,2.63212288
2017-12-23,3.36759822
2017-12-30,2.90661719
2018-01-06,5.09981860
2018-01-13,2.15791682
2018-01-20,2.19063857
2018-01-27,1.40199668
2018-02-03,4.96640893
2018-02-10,3.94754073
2018-02-17,1.29657860
2018-02-24,1.08842018
2018-03-03,1.91748858
2018-03-10,2.70082587
2018-03-17,3.92300392
2018-03-24,1.51700105
2018-03-31,1.21639570
2018-04-07,0.51624829
2018-04-14,3.10171967
2018-04-21,0.62702124
2018-04-28,1.41618409
2018-05-05,2.97421549
2018-05-12,0.61549863
2018-05-19,0.69197889
2018-05-26,1.47033793
2018-06-02,1.31088932
2018-06-09,0.62392993
2018-06-16,2.01715857
2018-06-23,0.72395169
2018-06-30,1.37400633
2018-07-07,3.66335449
2018-07-14,0.63793558
2018-07-21,1.19345738
2018-07-28,0.87063757
2018-08-04,0.73354435
2018-08-11,0.49054138
2018-08-18,2.16880937
2018-08-25,0.46161987
2018-09-01,0.72950194
2018-09-08,1.00263019
2018-09-15,0.79187945
2018-09-22,0.96025374
2018-09-29,0.19377967
2018-10-06,0.20691879
2018-10-13,0.35902094
2018-10-20,0.41356377
2018-10-27,0.32792943
2018-11-03,0.24872310
2018-11-10,0.55554300
2018-11-17,1.26974398
2018-11-24,0.63957560
2018-12-01,0.51334987
2018-12-08,1.10588673
2018-12-15,0.67900450
2018-12-22,0.34686007
2018-12-29,0.15746085
2019-01-05,0.33308862
2019-01-12,0.85253257
2019-01-19,0.35520617
2019-01-26,0.71922154
2019-02-02,0.25520302
2019-02-09,1.02693188
2019-02-16,2.60932938
2019-02-23,0.27388935
2019-03-02,0.67398990
2019-03-09,0.67390142
2019-03-16,0.39106678
2019-03-23,0.30819070
2019-03-30,0.32406288
2019-04-06,0.61072572
2019-04-13,0.60435923
2019-04-20,0.14405424
2019-04-27,0.98059978
2019-05-04,0.29847202
2019-05-11,0.37137954
2019-05-18,0.35233121
2019-05-25,0.12355900
2019-06-01,0.11208147
2019-06-08,0.10666293
2019-06-15,0.57576410
2019-06-22,0.40142146
2019-06-29,0.13342307
2019-07-06,0.54958226
2019-07-13,0.30402146
2019-07-20,0.93863626
2019-07-27,0.04585635
2019-08-03,0.11175716
2019-08-10,0.15942628
2019-08-17,0.13736942
2019-08-24,0.31903753
2019-08-31,0.76418856
2019-09-07,0.82585996
2019-09-14,0.59270691
2019-09-21,0.21431668
2019-09-28,0.80339526
2019-10-05,0.85642212
2019-10-12,0.73442367
2019-10-19,0.15468494
2019-10-26,0.25633436
2019-11-02,0.20140662
2019-11-09,0.33683677
2019-11-16,0.15126911
2019-11-23,0.21121879
2019-11-30,0.17800586
2019-12-07,0.20573863
2019-12-14,0.21703270
2019-12-21,2.14428888
2019-12-28,0.14703286
2020-01-04,0.14619547
2020-01-11,1.37890717
2020-01-18,0.35104327
2020-01-25,0.70584545
2020-02-01,0.52490810
2020-02-08,0.33788603
2020-02-15,0.08723253
2020-02-22,0.16277496
2020-02-29,0.17468287
2020-03-07,0.14269102
2020-03-14,0.34020816
2020-03-21,0.31660826
2020-03-28,0.14825182
2020-04-04,0.33096583
2020-04-11,0.28401680
2020-04-18,0.25120095
2020-04-25,0.12860138
2020-05-02,0.04389850
2020-05-09,0.21393163
2020-05-16,0.27777652
2020-05-23,0.14023990
2020-05-30,0.12796963
2020-06-06,0.17280104
2020-06-13,0.25794444
2020-06-20,0.76710006
2020-06-27,0.13808556
2020-07-04,1.07068427
2020-07-11,0.27497911
2020-07-18,0.80586084
2020-07-25,0.27249126
2020-08-01,0.49160916
2020-08-08,0.25577555
2020-08-15,1.24165773
2020-08-22,0.21857928
2020-08-29,0.83347232
2020-09-05,0.64852740
2020-09-12,0.06775539
2020-09-19,0.18656457
2020-09-26,0.07734791
2020-10-03,0.45727226
2020-10-10,0.07447800
2020-10-17,0.12462964
2020-10-24,0.04012166
2020-10-31,0.17585252
2020-11-07,0.13798377
2020-11-14,0.15281512
2020-11-21,0.63218803
2020-11-28,0.03294604
2020-12-05,0.15505167
2020-12-12,0.12642314
2020-12-19,0.08590048
2020-12-26,0.24045789
2021-01-02,0.14013774
2021-01-09,0.09964765
2021-01-16,0.26106075
2021-01-23,0.30849542
2021-01-30,0.13403979
2021-02-06,0.02914066
2021-02-13,0.07877825
2021-02-20,0.33437092
2021-02-27,0.07626361
2021-03-06,0.02118207
2021-03-13,0.10877243
2021-03-20,0.00634466
2021-03-27,0.05869536
2021-04-10,0.01049003
2021-04-17,0.03452313
2021-04-24,0.00241263
2021-07-10,0.00219786
2021-07-17,0.00225278
2021-07-24,0.00190681
2021-07-31,0.02822552
2021-08-07,0.00301301
2021-08-21,0.37932710
2021-08-28,0.01219543
2021-09-04,0.49137654
2021-09-11,0.00994400
2021-09-18,0.04334052
2021-09-25,0.59935385
2021-10-02,0.02027925
2021-10-09,0.09537431
2021-10-16,0.06685195
2021-10-23,0.00888736
2021-10-30,0.03030744
2021-11-06,0.02109324
2021-11-13,0.00365000
2021-11-20,0.01482394
2021-11-27,0.00511264
2021-12-04,0.01039364
2021-12-11,0.21845153
2021-12-18,0.13168155
2021-12-25,0.00563630
2022-01-01,0.00055900
2022-01-15,0.00478729
2022-01-22,0.00073408
2022-01-29,0.00025267
2022-02-05,0.01280340
2022-02-12,0.02002734
2022-02-19,0.00470201
2022-02-26,0.00193980
2022-03-05,0.05628288
2022-03-19,0.04897372
2022-03-26,0.04529082
2022-04-02,0.03436815
2022-04-16,0.01872109
2022-04-30,0.01026000
2022-05-07,0.00279262
2022-05-14,0.02136233
2022-05-21,0.00163509
2022-05-28,0.00329830
2022-06-04,0.00834640
2022-06-11,0.02033199
2022-06-18,0.06742339
2022-06-25,0.03819895
2022-07-02,0.05175076
2022-07-09,0.08086634
2022-07-16,0.00657660
2022-07-23,0.04015080
2022-07-30,0.08451342
2022-08-06,0.00441859
2022-08-13,0.00217788
2022-08-20,0.00540229
