Label,Value
2013-08-17,2.00000000
2013-08-31,3.26000000
2013-09-07,7.60000000
2013-09-14,3.06000000
2013-09-21,3.86000000
2013-09-28,1.92000000
2013-10-05,5.27000000
2013-10-12,8.56000000
2013-10-19,8.97000000
2013-10-26,11.97000000
2013-11-02,7.01000000
2013-11-09,22.70000000
2013-11-16,5.17000000
2013-11-23,10.68000000
2013-11-30,10.03000000
2013-12-07,7.47000000
2013-12-14,5.43000000
2013-12-21,17.15000000
2013-12-28,0.94000000
2014-01-04,4.98000000
2014-01-11,3.80000000
2014-01-18,6.43000000
2014-01-25,1.05000000
2014-02-01,2.55000000
2014-02-08,7.60000000
2014-02-15,6.02000000
2014-02-22,3.41000000
2014-03-01,1.86000000
2014-03-08,0.99000000
2014-03-15,1.10000000
2014-03-22,2.52000000
2014-03-29,2.86000000
2014-04-05,0.09000000
2014-04-12,2.98000000
2014-04-19,4.64000000
2014-04-26,3.81840000
2014-05-03,1.13000000
2014-05-10,1.26000000
2014-05-17,1.81000000
2014-05-24,0.64000000
2014-05-31,1.93000000
2014-06-07,0.49000000
2014-06-14,3.00000000
2014-06-21,4.84000000
2014-06-28,1.05000000
2014-07-05,1.80000000
2014-07-12,0.22000000
2014-07-19,1.33000000
2014-07-26,2.91000000
2014-08-02,1.17000000
2014-08-09,1.18000000
2014-08-16,2.17000000
2014-08-23,5.13000000
2014-08-30,0.92000000
2014-09-06,5.06000000
2014-09-13,5.03000000
2014-09-20,1.50000000
2014-09-27,2.51000000
2014-10-04,7.68000000
2014-10-11,3.34000000
2014-10-18,7.72000000
2014-10-25,1.61000000
2014-11-01,3.39000000
2014-11-08,6.96040000
2014-11-15,3.81000000
2014-11-22,8.91360000
2014-11-29,5.33000000
2014-12-06,6.72000000
2014-12-13,4.61000000
2014-12-20,6.56000000
2014-12-27,2.64000000
2015-01-03,7.28000000
2015-01-10,15.84000000
2015-01-17,15.69000000
2015-01-24,10.28000000
2015-01-31,9.48000000
2015-02-07,12.59000000
2015-02-14,9.67000000
2015-02-21,8.89000000
2015-02-28,5.98000000
2015-03-07,3.41000000
2015-03-14,8.26000000
2015-03-21,10.85000000
2015-03-28,8.76000000
2015-04-04,5.21000000
2015-04-11,12.58000000
2015-04-18,7.53000000
2015-04-25,3.23000000
2015-05-02,6.67000000
2015-05-09,14.78000000
2015-05-16,9.37000000
2015-05-23,10.27000000
2015-05-30,10.75000000
2015-06-06,6.75000000
2015-06-13,13.19000000
2015-06-20,10.25000000
2015-06-27,11.47000000
2015-07-04,6.02000000
2015-07-11,11.46000000
2015-07-18,8.34000000
2015-07-25,2.23000000
2015-08-01,5.26000000
2015-08-08,8.00000000
2015-08-15,8.07000000
2015-08-22,8.77000000
2015-08-29,10.63000000
2015-09-05,10.70000000
2015-09-12,7.87000000
2015-09-19,2.91000000
2015-09-26,8.56000000
2015-10-03,9.31000000
2015-10-10,9.98000000
2015-10-17,4.85000000
2015-10-24,9.53000000
2015-10-31,11.17000000
2015-11-07,5.23000000
2015-11-14,4.78000000
2015-11-21,5.57000000
2015-11-28,8.65000000
2015-12-05,10.30000000
2015-12-12,5.28000000
2015-12-19,9.29000000
2015-12-26,0.95000000
2016-01-02,3.39000000
2016-01-09,5.98000000
2016-01-16,7.77000000
2016-01-23,5.00000000
2016-01-30,3.74000000
2016-02-06,8.38000000
2016-02-13,5.10000000
2016-02-20,8.25000000
2016-02-27,8.24000000
2016-03-05,9.67000000
2016-03-12,11.99000000
2016-03-19,2.37000000
2016-03-26,4.96000000
2016-04-02,4.18000000
2016-04-09,3.23000000
2016-04-16,2.82000000
2016-04-23,7.25000000
2016-04-30,4.88000000
2016-05-07,6.90000000
2016-05-14,6.26000000
2016-05-21,11.46000000
2016-05-28,9.25000000
2016-06-04,3.26000000
2016-06-11,6.08000000
2016-06-18,4.08000000
2016-06-25,4.07000000
2016-07-02,4.37000000
2016-07-09,8.09000000
2016-07-16,5.44000000
2016-07-23,5.64000000
2016-07-30,1.90000000
2016-08-06,3.64000000
2016-08-13,3.62000000
2016-08-20,2.74000000
2016-08-27,2.83000000
2016-09-03,2.65000000
2016-09-10,7.59000000
2016-09-17,2.79000000
2016-09-24,3.77580000
2016-10-01,4.23000000
2016-10-08,1.13000000
2016-10-15,5.50000000
2016-10-22,2.80000000
2016-10-29,3.36000000
2016-11-05,5.71000000
2016-11-12,4.13250000
2016-11-19,2.66000000
2016-11-26,3.73000000
2016-12-03,14.10000000
2016-12-10,6.06000000
2016-12-17,7.29000000
2016-12-24,2.56000000
2016-12-31,4.32000000
2017-01-07,2.81000000
2017-01-14,5.18000000
2017-01-21,6.99000000
2017-01-28,4.98000000
2017-02-04,2.58000000
2017-02-11,2.49000000
2017-02-18,1.93640000
2017-02-25,2.12090000
2017-03-04,5.86440000
2017-03-11,6.93220000
2017-03-18,3.37604121
2017-03-25,4.42743614
2017-04-01,7.63359964
2017-04-08,4.31355052
2017-04-15,3.26686569
2017-04-22,2.46972669
2017-04-29,4.87474346
2017-05-06,3.34621488
2017-05-13,4.00670444
2017-05-20,5.33077958
2017-05-27,8.02322106
2017-06-03,7.13317025
2017-06-10,7.75005455
2017-06-17,4.53696615
2017-06-24,3.38648194
2017-07-01,7.02980227
2017-07-08,4.87094867
2017-07-15,2.96106427
2017-07-22,5.81417310
2017-07-29,2.49039817
2017-08-05,3.74378877
2017-08-12,3.02355912
2017-08-19,3.51173552
2017-08-26,2.81616032
2017-09-02,1.62717108
2017-09-09,3.37457466
2017-09-16,2.84050833
2017-09-23,2.72363766
2017-09-30,2.44934919
2017-10-07,3.68805907
2017-10-14,2.24839714
2017-10-21,1.34526531
2017-10-28,1.41804310
2017-11-04,1.00028446
2017-11-11,1.83687370
2017-11-18,2.25648947
2017-11-25,1.49927138
2017-12-02,2.76313894
2017-12-09,1.08251082
2017-12-16,0.86961360
2017-12-23,1.00558922
2017-12-30,0.24570582
2018-01-06,1.19853394
2018-01-13,1.19938367
2018-01-20,0.55932909
2018-01-27,1.38580638
2018-02-03,0.71171131
2018-02-10,1.53362529
2018-02-17,0.66544009
2018-02-24,0.55782980
2018-03-03,0.68864600
2018-03-10,1.31701859
2018-03-17,0.78323751
2018-03-24,1.21004811
2018-03-31,0.77877864
2018-04-07,1.86343748
2018-04-14,2.06947084
2018-04-21,0.49935085
2018-04-28,1.57212703
2018-05-05,0.65328563
2018-05-12,0.90452890
2018-05-19,0.62842457
2018-05-26,0.93840148
2018-06-02,0.57121152
2018-06-09,0.39814943
2018-06-16,0.52375793
2018-06-23,0.40725173
2018-06-30,4.29443394
2018-07-07,3.96110552
2018-07-14,1.96350516
2018-07-21,0.93530466
2018-07-28,1.80939705
2018-08-04,0.58938713
2018-08-11,0.90230298
2018-08-18,1.00565460
2018-08-25,1.39363048
2018-09-01,0.56538767
2018-09-08,0.97602163
2018-09-15,2.15652103
2018-09-22,1.24510386
2018-09-29,0.76970258
2018-10-06,0.47398026
2018-10-13,0.61019814
2018-10-20,0.77087868
2018-10-27,0.79710040
2018-11-03,1.20431182
2018-11-10,0.53456920
2018-11-17,0.74334959
2018-11-24,1.44250664
2018-12-01,0.41528760
2018-12-08,0.90846883
2018-12-15,1.95019250
2018-12-22,0.34672527
2018-12-29,0.33413651
2019-01-05,0.77994651
2019-01-12,1.47156678
2019-01-19,5.18357576
2019-01-26,2.24200286
2019-02-02,1.07483214
2019-02-09,0.95917763
2019-02-16,0.96799644
2019-02-23,0.61443068
2019-03-02,1.10799185
2019-03-09,0.85120734
2019-03-16,1.08252551
2019-03-23,0.95588846
2019-03-30,0.77919260
2019-04-06,0.65161490
2019-04-13,0.73553834
2019-04-20,0.11513870
2019-04-27,0.48027820
2019-05-04,1.23220922
2019-05-11,1.23584301
2019-05-18,1.03611780
2019-05-25,0.32760528
2019-06-01,0.61653073
2019-06-08,0.85350361
2019-06-15,0.37604240
2019-06-22,0.81770426
2019-06-29,0.30362261
2019-07-06,1.52867170
2019-07-13,0.23209406
2019-07-20,0.53460181
2019-07-27,0.51591955
2019-08-03,0.70751037
2019-08-10,0.42574428
2019-08-17,0.42926522
2019-08-24,0.18479899
2019-08-31,0.43985105
2019-09-07,0.91284604
2019-09-14,0.72068503
2019-09-21,0.23715343
2019-09-28,0.50257652
2019-10-05,0.13684435
2019-10-12,0.21489561
2019-10-19,0.10315056
2019-10-26,0.24757062
2019-11-02,0.28166109
2019-11-09,0.25373483
2019-11-16,0.27699791
