Label,Value
2013-08-10,0.40000000
2013-08-17,0.31000000
2013-09-21,141.95000000
2013-10-19,0.61000000
2013-10-26,2.14000000
2013-11-02,23.57000000
2013-11-09,6.46000000
2013-11-16,6.78000000
2013-11-23,5.54000000
2013-11-30,9.63000000
2013-12-07,5.12000000
2013-12-14,5.89000000
2013-12-21,4.91000000
2013-12-28,3.56000000
2014-01-04,8.28000000
2014-01-11,17.25000000
2014-01-18,12.19000000
2014-01-25,2.26000000
2014-02-01,5.36000000
2014-02-08,12.28000000
2014-02-15,2.27000000
2014-02-22,1.44000000
2014-03-01,1.67000000
2014-03-08,1.36000000
2014-03-15,1.69000000
2014-03-22,4.21000000
2014-03-29,3.45000000
2014-04-05,4.59000000
2014-04-12,0.71000000
2014-04-19,3.15000000
2014-04-26,0.47000000
2014-05-03,1.52000000
2014-05-10,0.24000000
2014-05-17,0.16000000
2014-05-24,1.18000000
2014-05-31,0.83000000
2014-06-14,3.97000000
2014-06-21,8.53000000
2014-06-28,4.06000000
2014-07-05,2.42000000
2014-07-12,0.74000000
2014-07-19,3.46000000
2014-07-26,10.45000000
2014-08-02,39.95000000
2014-08-09,9.32000000
2014-08-16,79.27000000
2014-08-23,1.00000000
2014-08-30,0.21000000
2014-09-06,21.40000000
2014-09-13,2.11000000
2014-09-20,10.98000000
2014-09-27,0.55000000
2014-10-04,20.36000000
2014-10-11,3.33000000
2014-10-18,0.36000000
2014-10-25,2.00000000
2014-11-01,2.00000000
2014-11-08,4.96000000
2014-11-15,2.05000000
2014-11-22,4.00000000
2014-12-06,4.11000000
2014-12-20,4.34000000
2014-12-27,2.48000000
2015-01-03,7.79000000
2015-01-10,0.00000000
2015-01-17,49.14000000
2015-01-24,13.75000000
2015-01-31,4.29000000
2015-02-07,2.13000000
2015-02-14,1.83000000
2015-02-28,1.17000000
2015-03-07,2.14000000
2015-04-04,2.03000000
2015-04-11,4.00000000
2015-04-25,0.12000000
2015-05-16,1.00000000
2015-05-23,0.07000000
2015-05-30,15.44000000
2015-06-06,0.79000000
2015-06-13,0.19000000
2015-06-20,3.10000000
2015-06-27,0.31000000
2015-07-04,1.11000000
2015-07-11,4.93000000
2015-07-18,3.13000000
2015-07-25,4.04000000
2015-08-01,3.53000000
2015-08-08,2.27000000
2015-08-15,0.46000000
2015-08-22,0.94000000
2015-08-29,12.06000000
2015-09-05,0.51000000
2015-09-12,0.66000000
2015-09-19,1.00000000
2015-09-26,3.39000000
2015-10-03,0.64000000
2015-10-17,1.65000000
2015-10-24,2.51000000
2015-10-31,0.73000000
2015-11-07,8.71000000
2015-11-14,0.21000000
2015-11-21,4.79000000
2015-11-28,0.46000000
2015-12-05,2.46000000
2015-12-12,0.38000000
2015-12-19,0.21000000
2015-12-26,0.37000000
2016-01-02,0.62000000
2016-01-09,0.60000000
2016-01-16,1.60000000
2016-02-06,2.91000000
2016-02-13,68.23000000
2016-02-20,120.60000000
2016-02-27,0.80000000
2016-03-05,0.43000000
2016-03-19,0.28000000
2016-03-26,0.04000000
2016-04-02,0.16000000
2016-04-09,49.63000000
2016-04-16,0.05000000
2016-04-23,7.86000000
2016-04-30,0.57000000
2016-05-07,0.06000000
2016-05-14,2.94000000
2016-05-21,1.24000000
2016-05-28,8.10000000
2016-06-04,1.62000000
2016-06-18,20.01000000
2016-06-25,0.30000000
2016-07-02,0.07000000
2016-07-09,0.28000000
2016-07-16,0.48000000
2016-07-23,2.23000000
2016-08-13,19.92000000
2016-08-20,0.00000000
2016-08-27,1.50000000
2016-09-03,0.38000000
2016-09-17,0.30000000
2016-09-24,6.56000000
2016-10-01,3.36130000
2016-10-08,8.95000000
2016-10-15,3.54000000
2016-10-22,5.68000000
2016-10-29,1.48000000
2016-11-05,15.42000000
2016-11-12,16.60000000
2016-11-19,5.61000000
2016-11-26,1.90000000
