Label,Value
2013-08-10,60.00000000
2013-08-17,3.30000000
2013-08-24,4.10810000
2013-08-31,12.04470000
2013-09-07,6.24610000
2013-09-21,10.20670000
2013-09-28,0.71700000
2013-10-05,3.00000000
2013-10-12,7.44410000
2013-10-19,4.90000000
2013-10-26,5.01780000
2013-11-02,23.06280000
2013-11-09,10.78830000
2013-11-16,3.12900000
2013-11-23,6.14850000
2013-11-30,6.42840000
2013-12-07,6.06890000
2013-12-14,6.33410000
2013-12-21,11.01391667
2014-01-04,0.20000000
2014-01-11,1.50690000
2014-01-25,0.10410000
2014-02-01,0.21380000
2014-02-15,0.03620000
2014-03-08,0.04110000
2014-03-15,0.07100000
2014-03-29,0.49834010
2014-04-05,0.91576600
2014-04-12,0.26350000
2014-04-26,0.77480000
2014-05-03,0.35040000
2014-05-24,0.18960000
2014-05-31,0.01690000
2014-06-07,1.01480000
2014-06-14,6.43880000
2014-06-21,0.91300000
2014-06-28,1.70860000
2014-07-05,0.13000000
2014-07-12,0.31180000
2014-07-19,1.97060000
2014-07-26,1.03280000
2014-08-02,0.40000000
2014-08-09,1.42790000
2014-08-16,0.68210000
2014-08-23,1.57170000
2014-08-30,0.40110000
2014-09-06,0.91830000
2014-09-13,0.02150000
2014-09-20,0.23810000
2014-09-27,2.18260000
2014-10-04,0.95250000
2014-10-11,3.37930000
2014-10-18,1.19550000
2014-10-25,4.30300000
2014-11-01,2.66350000
2014-11-08,1.26490000
2014-11-15,1.52300000
2014-12-13,7.92280000
2014-12-20,9.42410000
2015-06-06,0.00360000
2015-07-04,1.07150000
2015-07-11,5.21910000
2015-07-18,1.60190000
2015-07-25,3.32920000
2015-08-01,0.25340000
2015-08-22,2.80250000
2015-10-10,1.00000000
2015-10-17,3.66160000
2015-10-24,0.81710000
2015-11-07,5.36650000
2015-11-21,0.12320000
2015-11-28,4.68220000
2015-12-05,13.32170000
2015-12-12,1.40660000
2015-12-19,2.74890000
2015-12-26,0.22960000
2016-01-02,8.22740000
2016-01-09,6.87580000
2016-01-16,3.23820000
2016-01-23,11.23400000
2016-01-30,5.37670000
2016-02-06,10.84450000
2016-02-13,70.92150000
2016-02-20,29.49030000
2016-02-27,3.80700000
2016-03-05,8.12750000
2016-03-12,8.66370000
2016-03-19,11.74320000
2016-03-26,18.52290000
2016-04-02,2.53200000
2016-04-09,1.13160000
2016-04-16,13.48060000
2016-04-23,16.54800000
2016-04-30,2.70670000
2016-05-07,3.81060000
2016-05-14,2.04150000
2016-05-21,2.25840000
2016-05-28,10.49190000
2016-06-04,0.73120000
2016-06-11,4.57930000
2016-06-18,3.62840000
2016-06-25,9.27220000
2016-07-02,14.59990000
2016-07-09,5.44980000
2016-07-16,0.02800000
2016-07-23,0.33220000
2016-07-30,1.79240000
2016-08-06,1.51980000
2016-08-13,1.46750000
2016-08-27,0.99450000
2016-09-03,1.35650000
2016-09-17,0.24030000
2016-09-24,0.90840000
2016-10-22,4.18880000
2016-11-19,1.50510000
2016-12-31,0.26560000
2017-01-07,0.20000000
2017-01-21,4.60160000
2017-02-04,1.36290000
2017-02-11,3.00000000
2017-04-08,0.07041056
2017-04-15,0.29942329
2017-04-22,3.06203029
2017-04-29,1.25147154
2017-05-06,0.67293738
2017-05-13,36.24944705
2017-05-20,3.13942121
2017-05-27,3.36759079
2017-06-03,19.18873296
2017-06-10,2.63591750
2017-06-17,2.06924849
2017-06-24,0.65287235
2017-07-01,5.32862718
2017-07-08,0.67020947
2017-07-15,14.96282188
2017-07-22,29.41646778
2017-07-29,1.57237640
2017-08-05,2.45232759
2017-08-12,4.39411610
2017-08-19,0.11023430
2017-08-26,1.89804390
2017-09-02,0.20000000
2017-09-09,1.55139403
2017-09-16,0.51363958
2017-09-23,1.11385301
2017-09-30,0.10510888
2017-10-14,0.25239396
2017-10-21,0.54748723
2017-10-28,0.01580098
2017-11-04,0.26915685
2017-11-11,4.02655475
2017-11-18,0.31782131
2017-11-25,1.18538949
2017-12-02,2.46738307
2017-12-09,2.47956211
2017-12-16,2.27896187
2017-12-23,1.10873669
2017-12-30,0.83276752
2018-01-06,4.28867555
2018-01-13,3.94260755
2018-01-20,2.65902485
2018-01-27,0.39742994
2018-02-03,1.97264866
2018-02-10,4.74548341
2018-02-17,3.01891959
2018-02-24,1.77960015
2018-03-03,2.39137097
2018-03-10,5.04937848
2018-03-17,3.62452052
2018-03-24,7.65541659
2018-03-31,3.46382336
2018-04-07,3.44134245
2018-04-14,4.10252717
2018-04-21,3.48761544
2018-04-28,7.57525991
2018-05-05,2.83088885
2018-05-12,2.39163676
2018-05-19,3.56366172
2018-05-26,1.77786843
2018-06-02,2.53858418
2018-06-09,1.53747033
2018-06-16,5.14621060
2018-06-23,10.57686463
2018-06-30,6.00495120
2018-07-07,2.82556588
2018-07-14,2.99455051
2018-07-21,5.09089734
2018-07-28,4.34504483
2018-08-04,6.84535638
2018-08-11,3.38133506
2018-08-18,3.11616465
2018-08-25,4.14255500
2018-09-01,2.36546852
2018-09-08,6.49676803
2018-09-15,3.30786125
2018-09-22,2.88817536
2018-09-29,3.06489518
2018-10-06,2.71601634
2018-10-13,5.71799928
2018-10-20,3.88119735
2018-10-27,2.68488884
2018-11-03,5.97865029
2018-11-10,9.22253817
2018-11-17,4.15613655
2018-11-24,9.17521437
2018-12-01,15.88779378
2018-12-08,12.59245049
2018-12-15,14.24513045
2018-12-22,11.14088245
2018-12-29,6.66481727
2019-01-05,12.00164310
2019-01-12,13.05815016
2019-01-19,7.51156819
2019-01-26,10.36354872
2019-02-02,15.32715417
2019-02-09,33.59186519
2019-02-16,9.09995855
2019-02-23,14.50221107
2019-03-02,12.00264766
2019-03-09,15.03217885
2019-03-16,19.26744722
2019-03-23,12.10394804
2019-03-30,9.66057488
2019-04-06,20.33744123
2019-04-13,11.95177437
2019-04-20,19.60984410
2019-04-27,11.19775327
2019-05-04,14.99124564
2019-05-11,15.49359464
2019-05-18,21.21952865
2019-05-25,22.06212784
2019-06-01,10.53927113
2019-06-08,21.00945843
2019-06-15,10.83577927
2019-06-22,7.39613897
2019-06-29,9.13185225
2019-07-06,11.98803689
2019-07-13,9.46210911
2019-07-20,6.48234153
2019-07-27,11.43770556
2019-08-03,9.58693877
2019-08-10,8.73160203
2019-08-17,9.97759950
2019-08-24,12.42789528
2019-08-31,16.49772239
2019-09-07,13.71534178
2019-09-14,9.11386422
2019-09-21,11.03537202
2019-09-28,14.55699044
2019-10-05,9.17700481
2019-10-12,13.44299974
2019-10-19,5.09693813
2019-10-26,10.59285975
2019-11-02,8.32105250
2019-11-09,6.78203256
2019-11-16,5.28848196
2019-11-23,9.40060234
2019-11-30,5.91388818
2019-12-07,3.47988825
2019-12-14,2.50848445
2019-12-21,2.60212647
2019-12-28,2.02480764
2020-01-04,3.72673867
2020-01-11,2.70996624
2020-01-18,8.94273614
2020-01-25,1.79219510
2020-02-01,1.90438785
2020-02-08,1.85410654
2020-02-15,2.83790352
2020-02-22,2.83378148
2020-02-29,3.50564925
2020-03-07,4.69993433
2020-03-14,4.14310866
2020-03-21,4.26033236
2020-03-28,3.48346088
2020-04-04,5.20395158
2020-04-11,5.68919983
2020-04-18,7.20000611
2020-04-25,7.56995049
2020-05-02,7.98625336
2020-05-09,4.96034614
2020-05-16,6.38401817
2020-05-23,9.69743654
2020-05-30,5.17204144
2020-06-06,7.06235109
2020-06-13,2.95681979
2020-06-20,6.31511918
2020-06-27,4.89543843
2020-07-04,2.92035654
2020-07-11,3.65056610
2020-07-18,3.43241141
2020-07-25,4.83986179
2020-08-01,4.71167396
2020-08-08,5.64866922
2020-08-15,5.09360561
2020-08-22,5.09206446
2020-08-29,5.62405326
2020-09-05,6.73628292
2020-09-12,7.25020567
2020-09-19,10.01970161
2020-09-26,7.32091240
2020-10-03,4.68796354
2020-10-10,3.99316440
2020-10-17,10.38845048
2020-10-24,4.61497898
2020-10-31,5.14291911
2020-11-07,3.66763149
2020-11-14,4.92347881
2020-11-21,3.26035912
2020-11-28,4.16363467
2020-12-05,4.25442815
2020-12-12,3.75133943
2020-12-19,4.76012356
2020-12-26,5.55720896
2021-01-02,4.91177631
2021-01-09,2.69193334
2021-01-16,2.69299120
2021-01-23,2.55712760
2021-01-30,1.50717005
2021-02-06,3.23913813
2021-02-13,2.96591248
2021-02-20,1.75084699
2021-02-27,0.87585095
2021-03-06,0.66448317
2021-03-13,2.13874953
2021-03-20,1.91812524
2021-03-27,0.34342271
2021-04-03,1.02383483
2021-04-10,1.55315533
2021-04-17,0.87012375
