Label,Value
2014-11-22,2.80000000
2014-12-27,0.13000000
2015-01-10,0.00000000
2015-02-21,19.99000000
2015-04-25,3.00000000
2015-05-23,1.93000000
2015-06-20,0.10000000
2015-06-27,0.85000000
2015-07-04,0.17000000
2015-07-18,0.58000000
2015-07-25,0.97000000
2015-08-01,0.00000000
2015-08-08,0.53000000
2015-08-15,0.27000000
2015-08-22,0.04000000
2015-08-29,0.00000000
2015-09-05,0.00000000
2015-09-12,0.00000000
2015-10-03,2.00000000
2015-11-21,0.00000000
2015-12-19,1.00000000
2015-12-26,0.01000000
2016-02-27,0.06000000
2016-03-05,1.00000000
2016-03-12,0.91000000
2016-03-19,1.06000000
2016-04-30,0.18000000
2016-05-07,1.07000000
2016-05-14,1.23000000
2016-05-21,0.39000000
2016-05-28,0.70000000
2016-06-11,0.16000000
2016-06-18,0.71000000
2016-06-25,0.04000000
2016-07-02,0.99000000
2016-07-09,0.42000000
2016-07-16,0.79000000
2016-07-23,1.98000000
2016-07-30,0.41000000
2016-08-06,1.28000000
2016-08-13,0.46000000
2016-08-20,0.05000000
2016-08-27,0.53000000
2016-09-10,1.56000000
2016-09-17,0.12000000
2016-09-24,0.80000000
2016-10-01,3.57000000
2016-10-08,2.50000000
2016-10-15,0.75000000
2016-10-22,1.00000000
2016-10-29,5.97000000
2016-11-05,4.42000000
2016-11-12,1.68000000
2016-11-19,0.44000000
2016-11-26,3.83130000
2016-12-03,0.39000000
2016-12-10,2.93090000
2016-12-17,2.18000000
2016-12-24,1.82510000
2016-12-31,4.69000000
2017-01-07,2.52690000
2017-01-14,2.43000000
2017-01-21,2.07230000
2017-01-28,12.78900000
2017-02-04,10.69450000
2017-02-11,6.77010000
2017-02-18,23.05090000
2017-02-25,2.32900000
2017-03-04,3.51220000
2017-03-11,5.55590000
2017-03-18,3.05425049
2017-03-25,3.00052197
2017-04-01,2.99238683
2017-04-08,23.22065773
2017-04-15,13.66205520
2017-04-22,4.22841173
2017-04-29,4.61198956
2017-05-06,1.75420557
2017-05-13,5.70600972
2017-05-20,5.50705190
2017-05-27,2.28543379
2017-06-03,5.09902104
2017-06-10,6.75330545
2017-06-17,13.18863514
2017-06-24,7.72106078
2017-07-01,6.90439681
2017-07-08,5.96847626
2017-07-15,6.95818947
2017-07-22,9.02889367
2017-07-29,10.26356315
2017-08-05,8.26955728
2017-08-12,8.27526084
2017-08-19,6.42312864
2017-08-26,9.80083708
2017-09-02,9.90932828
2017-09-09,5.37371509
2017-09-16,2.13463203
2017-09-23,10.03243637
2017-09-30,4.28050277
2017-10-07,9.26752016
2017-10-14,5.20791271
2017-10-21,10.92700267
2017-10-28,7.68106953
2017-11-04,8.07674613
2017-11-11,5.14876378
2017-11-18,6.77305018
2017-11-25,5.73675720
2017-12-02,10.56686417
2017-12-09,6.42945538
2017-12-16,6.21979283
2017-12-23,3.85698899
2017-12-30,5.05335215
2018-01-06,5.13403103
2018-01-13,5.00543561
2018-01-20,6.92876046
2018-01-27,6.58909386
2018-02-03,7.34209977
2018-02-10,8.23080454
2018-02-17,6.87787111
2018-02-24,8.38714317
2018-03-03,6.46758468
2018-03-10,5.54465656
2018-03-17,4.50742720
2018-03-24,2.90142888
2018-03-31,4.96718008
2018-04-07,9.39929557
2018-04-14,10.00591582
2018-04-21,7.42340101
2018-04-28,8.57307133
2018-05-05,4.61513820
2018-05-12,6.18205012
2018-05-19,4.92472753
2018-05-26,4.33850985
2018-06-02,8.20508101
2018-06-09,6.13732310
2018-06-16,4.69459640
2018-06-23,8.82644986
2018-06-30,5.39953833
2018-07-07,5.39239337
2018-07-14,6.44959488
2018-07-21,8.35243173
2018-07-28,8.63105179
2018-08-04,5.29702338
2018-08-11,7.44380256
2018-08-18,9.94697023
2018-08-25,6.27376765
2018-09-01,3.53027799
2018-09-08,6.08892493
2018-09-15,4.96449451
2018-09-22,7.82471819
2018-09-29,6.61283143
2018-10-06,7.35122037
2018-10-13,8.54978484
2018-10-20,12.33521290
2018-10-27,10.08069402
2018-11-03,12.52326779
2018-11-10,15.69600393
2018-11-17,12.02619581
2018-11-24,11.89285902
2018-12-01,13.25971472
2018-12-08,13.54479795
2018-12-15,12.42113423
2018-12-22,17.42046842
2018-12-29,20.68387357
2019-01-05,8.57274562
2019-01-12,10.78354852
2019-01-19,12.31624899
2019-01-26,13.58086869
2019-02-02,21.72148867
2019-02-09,17.36150812
2019-02-16,13.56872830
2019-02-23,17.42453269
2019-03-02,21.60299197
2019-03-09,17.62340103
2019-03-16,23.53010000
2019-03-23,23.91891931
2019-03-30,23.32133599
2019-04-06,21.13032402
2019-04-13,26.99569642
2019-04-20,18.53614595
2019-04-27,18.71644668
2019-05-04,22.79316819
2019-05-11,17.28842162
2019-05-18,18.62270032
2019-05-25,15.17260810
2019-06-01,20.73744987
2019-06-08,21.76736575
2019-06-15,19.20295509
2019-06-22,17.33205028
2019-06-29,19.96152402
2019-07-06,20.28415122
2019-07-13,13.53689827
2019-07-20,15.39499330
2019-07-27,13.68116721
2019-08-03,12.34486917
2019-08-10,17.20383190
2019-08-17,14.52879511
2019-08-24,13.68265677
2019-08-31,15.77476910
2019-09-07,15.31185985
2019-09-14,15.57389737
2019-09-21,13.38365196
2019-09-28,18.51872114
2019-10-05,16.11083454
2019-10-12,12.43257829
2019-10-19,10.84426617
2019-10-26,11.38798527
2019-11-02,9.31063723
2019-11-09,10.64033072
2019-11-16,12.24614213
2019-11-23,13.18453887
2019-11-30,10.78224481
2019-12-07,7.54319373
2019-12-14,11.81293096
2019-12-21,8.31493749
2019-12-28,13.39967805
2020-01-04,11.64255367
2020-01-11,9.22052674
2020-01-18,6.99591256
2020-01-25,8.10279169
2020-02-01,7.09636598
2020-02-08,8.04899156
2020-02-15,8.44692441
2020-02-22,9.13206101
2020-02-29,6.15164797
2020-03-07,7.88463013
2020-03-14,6.59313710
2020-03-21,5.77407061
2020-03-28,13.57818016
2020-04-04,5.75662891
2020-04-11,6.35129195
2020-04-18,4.93875650
2020-04-25,5.99734514
2020-05-02,6.87585329
2020-05-09,6.92326917
2020-05-16,6.89517647
2020-05-23,12.86077843
2020-05-30,8.96378603
2020-06-06,7.06133938
2020-06-13,5.18361380
2020-06-20,6.00384872
2020-06-27,7.31601411
2020-07-04,6.26877467
2020-07-11,8.43282532
2020-07-18,5.56121889
2020-07-25,9.20526291
2020-08-01,9.16072593
2020-08-08,5.31338909
2020-08-15,5.35067598
2020-08-22,7.17596680
2020-08-29,6.10559471
2020-09-05,10.28759180
2020-09-12,8.96349242
2020-09-19,9.20273179
2020-09-26,7.95993908
2020-10-03,7.18175278
2020-10-10,12.23624283
2020-10-17,10.17155212
2020-10-24,10.96514491
2020-10-31,10.09507554
2020-11-07,8.80534230
2020-11-14,5.52988183
2020-11-21,4.58531109
2020-11-28,3.70099504
2020-12-05,5.85639524
2020-12-12,5.04108518
2020-12-19,6.45279009
2020-12-26,4.93026381
2021-01-02,3.21092215
2021-01-09,3.15127296
2021-01-16,1.89138165
2021-01-23,2.35486922
2021-01-30,2.95223356
2021-02-06,3.88468983
2021-02-13,1.67714617
2021-02-20,1.85725402
2021-02-27,2.16505322
2021-03-06,1.97005724
2021-03-13,1.78694695
2021-03-20,1.39173058
2021-03-27,1.11164176
2021-04-03,1.26001997
2021-04-10,1.55922242
2021-04-17,1.42683547
2021-04-24,1.05591938
2021-05-01,1.11920869
2021-05-08,0.92016381
2021-05-15,0.97822816
2021-05-22,1.04617519
2021-05-29,1.72503090
2021-06-05,0.74444188
2021-06-12,1.55936702
2021-06-19,1.11766399
2021-06-26,0.60406864
2021-07-03,0.91650377
2021-07-10,0.99114610
2021-07-17,0.88900702
2021-07-24,0.77243097
2021-07-31,0.51615614
2021-08-07,0.34895441
2021-08-14,0.54901116
2021-08-21,0.31956615
2021-08-28,0.61190389
2021-09-04,0.51618014
2021-09-11,0.64105942
2021-09-18,0.61265697
2021-09-25,0.36662009
2021-10-02,0.29028963
2021-10-09,0.26185213
2021-10-16,0.27316225
2021-10-23,0.31589493
2021-10-30,0.69612209
2021-11-06,0.25064158
2021-11-13,0.21866970
2021-11-20,0.24104311
2021-11-27,0.14294776
2021-12-04,0.24197805
2021-12-11,0.10434870
2021-12-18,0.28740918
2021-12-25,0.75067774
2022-01-01,0.38055625
2022-01-08,0.04115619
2022-01-15,0.25307554
2022-01-22,0.12848064
2022-01-29,0.18153380
2022-02-05,0.12459006
2022-02-12,0.28330956
2022-02-19,0.39331254
2022-02-26,0.26807665
2022-03-05,0.37701538
2022-03-12,0.68644370
2022-03-19,0.69525445
2022-03-26,0.35853943
2022-04-02,0.64803385
2022-04-09,0.82106588
2022-04-16,0.96125422
2022-04-23,0.62570696
2022-04-30,0.74809780
2022-05-07,0.60445233
2022-05-14,0.79604791
2022-05-21,0.91550433
2022-05-28,0.97136514
2022-06-04,0.55642497
2022-06-11,0.65258329
2022-06-18,0.98820040
2022-06-25,0.71587010
2022-07-02,0.89350698
2022-07-09,0.68669336
2022-07-16,0.96821591
2022-07-23,0.24574054
2022-07-30,0.94877533
2022-08-06,0.90277883
2022-08-13,0.85122373
2022-08-20,0.51627674
2022-08-27,0.36460955
2022-09-03,0.51398936
2022-09-10,0.38608559
2022-09-17,1.13611172
2022-09-24,0.33196895
2022-10-01,0.64832054
2022-10-08,0.88510300
2022-10-15,0.35949387
2022-10-22,0.45346945
2022-10-29,0.21679713
2022-11-05,0.81038963
2022-11-12,0.88045928
2022-11-19,0.37721353
2022-11-26,0.34220333
