Label,Value
2013-03-16,261.18000000
2013-03-23,6.10000000
2013-03-30,12.09000000
2013-04-06,1.00000000
2013-04-13,5.67000000
2013-04-27,1.01000000
2013-05-04,3.88000000
2013-05-11,1.87000000
2013-05-18,3.10000000
2013-05-25,2.00000000
2013-06-08,7.31000000
2013-06-22,4.81000000
2013-06-29,2.00000000
2013-07-06,0.09000000
2013-07-13,1.50000000
2013-07-20,5.13000000
2013-07-27,3.46000000
2013-08-03,4.27000000
2013-08-10,2.10000000
2013-08-17,16.43000000
2013-08-24,6.59000000
2013-08-31,10.44000000
2013-09-07,3.80000000
2013-09-14,11.29000000
2013-09-21,14.66000000
2013-09-28,32.25000000
2013-10-05,70.30000000
2013-10-12,38.82000000
2013-10-19,74.87000000
2013-10-26,50.86000000
2013-11-02,60.59000000
2013-11-09,87.20000000
2013-11-16,62.01000000
2013-11-23,23.91000000
2013-11-30,28.68000000
2013-12-07,25.45000000
2013-12-14,19.12000000
2013-12-21,38.59000000
2013-12-28,41.27000000
2014-01-04,55.11000000
2014-01-11,90.35000000
2014-01-18,118.82000000
2014-01-25,28.66000000
2014-02-01,50.34000000
2014-02-08,58.41000000
2014-02-15,85.66000000
2014-02-22,44.55000000
2014-03-01,43.68000000
2014-03-08,35.13000000
2014-03-15,20.99000000
2014-03-22,33.87000000
2014-03-29,33.57000000
2014-04-05,45.89000000
2014-04-12,44.97000000
2014-04-19,51.96000000
2014-04-26,62.84000000
2014-05-03,79.85000000
2014-05-10,46.61000000
2014-05-17,52.44000000
2014-05-24,66.41000000
2014-05-31,96.49000000
2014-06-07,51.53000000
2014-06-14,44.43000000
2014-06-21,46.57000000
2014-06-28,30.32000000
2014-07-05,42.09000000
2014-07-12,32.52000000
2014-07-19,34.64000000
2014-07-26,49.50000000
2014-08-02,39.08000000
2014-08-09,42.02000000
2014-08-16,51.49000000
2014-08-23,83.97000000
2014-08-30,72.16000000
2014-09-06,92.83000000
2014-09-13,110.59000000
2014-09-20,94.14000000
2014-09-27,101.92000000
2014-10-04,107.44000000
2014-10-11,116.22000000
2014-10-18,126.86000000
2014-10-25,66.98000000
2014-11-01,83.39000000
2014-11-08,68.22000000
2014-11-15,78.29000000
2014-11-22,70.97000000
2014-11-29,81.76000000
2014-12-06,66.04000000
2014-12-13,86.56000000
2014-12-20,107.74000000
2014-12-27,58.33000000
2015-01-03,66.43000000
2015-01-10,89.10000000
2015-01-17,145.03000000
2015-01-24,156.03000000
2015-01-31,128.39000000
2015-02-07,150.35000000
2015-02-14,126.18000000
2015-02-21,166.31000000
2015-02-28,145.85000000
2015-03-07,99.65000000
2015-03-14,125.38000000
2015-03-21,138.50000000
2015-03-28,101.51000000
2015-04-04,86.68000000
2015-04-11,94.26000000
2015-04-18,155.56000000
2015-04-25,96.85000000
2015-05-02,107.66000000
2015-05-09,131.76000000
2015-05-16,162.96000000
2015-05-23,145.92000000
2015-05-30,118.78000000
2015-06-06,120.34000000
2015-06-13,93.99000000
2015-06-20,130.65000000
2015-06-27,109.70000000
2015-07-04,155.33000000
2015-07-11,144.96000000
2015-07-18,144.41000000
2015-07-25,133.72000000
2015-08-01,127.97000000
2015-08-08,124.12000000
2015-08-15,144.84000000
2015-08-22,165.35000000
2015-08-29,178.50000000
2015-09-05,135.92000000
2015-09-12,170.60000000
2015-09-19,167.09000000
2015-09-26,228.03000000
2015-10-03,228.30000000
2015-10-10,180.84000000
2015-10-17,153.75000000
2015-10-24,116.94000000
2015-10-31,128.33000000
2015-11-07,111.92000000
2015-11-14,107.30000000
2015-11-21,103.30000000
2015-11-28,106.31000000
2015-12-05,129.00000000
2015-12-12,105.05000000
2015-12-19,113.44000000
2015-12-26,78.96000000
2016-01-02,71.59000000
2016-01-09,94.62000000
2016-01-16,118.60000000
2016-01-23,147.46000000
2016-01-30,179.31000000
2016-02-06,116.75000000
2016-02-13,105.78000000
2016-02-20,120.20000000
2016-02-27,112.65000000
2016-03-05,98.75000000
2016-03-12,102.99000000
2016-03-19,169.51000000
2016-03-26,93.30000000
2016-04-02,110.71000000
2016-04-09,95.24000000
2016-04-16,98.71000000
2016-04-23,87.35000000
2016-04-30,110.32000000
2016-05-07,143.95000000
2016-05-14,89.37000000
2016-05-21,134.12000000
2016-05-28,102.22000000
2016-06-04,113.65000000
2016-06-11,80.88000000
2016-06-18,73.39000000
2016-06-25,82.85000000
2016-07-02,93.88000000
2016-07-09,100.88000000
2016-07-16,106.18000000
2016-07-23,87.48000000
2016-07-30,73.09000000
2016-08-06,73.92000000
2016-08-13,98.47000000
2016-08-20,86.81000000
2016-08-27,84.40000000
2016-09-03,114.33000000
2016-09-10,93.09000000
2016-09-17,84.93000000
2016-09-24,113.07000000
2016-10-01,88.35000000
2016-10-08,81.75000000
2016-10-15,106.10000000
2016-10-22,100.05000000
2016-10-29,84.54000000
2016-11-05,83.92000000
2016-11-12,76.93000000
2016-11-19,160.65000000
2016-11-26,97.54000000
2016-12-03,89.82000000
2016-12-10,97.40000000
2016-12-17,70.49000000
2016-12-24,88.23590000
2016-12-31,70.60000000
2017-01-07,75.38000000
2017-01-14,91.91000000
2017-01-21,71.44210000
2017-01-28,69.56090000
2017-02-04,73.25260000
2017-02-11,119.11010000
2017-02-18,119.85500000
2017-02-25,66.77880000
2017-03-04,77.95380000
2017-03-11,95.63330000
2017-03-18,89.84737232
2017-03-25,104.24257548
2017-04-01,101.96868619
2017-04-08,78.97737931
2017-04-15,50.01614925
2017-04-22,108.09637825
2017-04-29,108.35515576
2017-05-06,119.41392056
2017-05-13,119.93933325
2017-05-20,73.51411419
2017-05-27,69.33190179
2017-06-03,86.00195592
2017-06-10,48.62221774
2017-06-17,42.34467775
2017-06-24,47.94031529
2017-07-01,66.60276319
2017-07-08,45.49669613
2017-07-15,68.51478579
2017-07-22,45.81831935
2017-07-29,49.30503206
2017-08-05,35.45022937
2017-08-12,36.67929595
2017-08-19,27.33702939
2017-08-26,35.27359980
2017-09-02,38.53202215
2017-09-09,40.09611630
2017-09-16,48.98393728
2017-09-23,43.18549447
2017-09-30,49.31592961
2017-10-07,34.28804833
2017-10-14,31.25471984
2017-10-21,28.65917795
2017-10-28,25.30272998
2017-11-04,38.41884883
2017-11-11,34.17734796
2017-11-18,35.74448468
2017-11-25,26.91989088
2017-12-02,36.02900612
2017-12-09,27.76489402
2017-12-16,16.83674580
2017-12-23,19.90558432
2017-12-30,14.99158967
2018-01-06,13.37874103
2018-01-13,19.05867321
2018-01-20,33.73326220
2018-01-27,38.67115517
2018-02-03,44.83727961
2018-02-10,37.66344193
2018-02-17,37.27170167
2018-02-24,44.09209181
2018-03-03,52.42713574
2018-03-10,36.19310302
2018-03-17,43.15735872
2018-03-24,47.11884195
2018-03-31,33.60847835
2018-04-07,44.78940795
2018-04-14,33.61474192
2018-04-21,36.12099932
2018-04-28,33.83658931
2018-05-05,40.22209425
2018-05-12,44.84705941
2018-05-19,35.10533360
2018-05-26,36.16917758
2018-06-02,40.17131238
2018-06-09,33.34731065
2018-06-16,52.21526832
2018-06-23,26.53749850
2018-06-30,32.40464839
2018-07-07,34.82993505
2018-07-14,49.25171828
2018-07-21,43.05763024
2018-07-28,42.46528455
2018-08-04,58.25703522
2018-08-11,45.96903924
2018-08-18,37.25093003
2018-08-25,42.68690597
2018-09-01,34.22849756
2018-09-08,49.94549318
2018-09-15,42.07846088
2018-09-22,57.69257223
2018-09-29,53.12897671
2018-10-06,39.98005806
2018-10-13,40.06118654
2018-10-20,54.80859135
2018-10-27,52.69968454
2018-11-03,33.23183112
2018-11-10,65.53254006
2018-11-17,41.99360257
2018-11-24,56.25161357
2018-12-01,67.16749916
2018-12-08,98.65376124
2018-12-15,116.59899509
2018-12-22,115.24448018
2018-12-29,62.06858615
2019-01-05,69.54078077
2019-01-12,85.93046576
2019-01-19,101.26965584
2019-01-26,102.00681852
2019-02-02,105.44171862
2019-02-09,119.90361015
2019-02-16,105.87593888
2019-02-23,79.51491600
2019-03-02,90.62174923
2019-03-09,83.04171574
2019-03-16,101.20840337
2019-03-23,87.94625683
2019-03-30,80.50125999
2019-04-06,92.18675254
2019-04-13,106.00149939
2019-04-20,54.49625600
2019-04-27,56.91938593
2019-05-04,65.82612703
2019-05-11,61.87844175
2019-05-18,54.07545560
2019-05-25,58.77067469
2019-06-01,46.47312407
2019-06-08,49.09650305
2019-06-15,57.96387998
2019-06-22,64.30212906
2019-06-29,37.55509863
2019-07-06,44.40124125
2019-07-13,31.52041518
