Label,Value
2013-09-14,0.19000000
2013-09-21,1.17000000
2013-09-28,0.12000000
2013-10-12,0.38000000
2013-10-19,0.12000000
2013-11-09,0.48000000
2013-11-16,0.26000000
2013-12-07,0.85000000
2013-12-21,0.25000000
2013-12-28,0.09000000
2014-01-18,0.41000000
2014-03-08,0.29000000
2014-03-15,0.00000000
2014-03-29,0.36000000
2014-05-10,0.11000000
2014-05-17,0.09000000
2014-06-07,1.37000000
2014-06-14,0.19000000
2014-06-21,0.66000000
2014-06-28,1.32000000
2014-07-05,1.37000000
2014-07-12,0.28000000
2014-07-19,0.24000000
2014-07-26,0.13000000
2014-08-02,0.32000000
2014-08-09,0.52000000
2014-08-16,0.14000000
2014-08-23,0.14000000
2014-08-30,0.07000000
2014-09-06,0.24000000
2014-09-20,0.72000000
2014-11-15,1.30000000
2014-11-22,10.71000000
2014-11-29,1.85000000
2014-12-06,0.08000000
2014-12-13,0.06000000
2014-12-20,0.30000000
2015-01-03,1.65000000
2015-01-10,2.62000000
2015-01-31,0.40000000
2015-02-07,0.36000000
2015-02-14,9.41000000
2015-02-21,12.89000000
2015-02-28,33.62000000
2015-03-07,15.72000000
2015-03-21,5.22000000
2015-03-28,2.44000000
2015-04-04,14.17000000
2015-04-11,6.53000000
2015-04-18,2.09000000
2015-04-25,0.21000000
2015-05-02,0.12000000
2015-05-09,1.06000000
2015-05-16,0.41000000
2015-05-23,3.91000000
2015-05-30,2.17000000
2015-06-06,1.69000000
2015-06-13,11.56000000
2015-06-20,1.51000000
2015-06-27,1.13000000
2015-07-04,5.86000000
2015-07-11,0.20000000
2015-07-18,3.29000000
2015-07-25,0.87000000
2015-08-01,1.86000000
2015-08-08,4.17000000
2015-08-15,2.46000000
2015-08-22,26.50000000
2015-08-29,1.96000000
2015-09-05,3.67000000
2015-09-12,3.97000000
2015-09-19,9.50000000
2015-09-26,0.12000000
2015-10-03,5.31000000
2015-10-10,23.08000000
2015-10-17,0.40000000
2015-11-07,3.87000000
2015-11-14,0.19000000
2015-11-21,0.18000000
2015-11-28,1.97000000
2015-12-05,1.04000000
2015-12-12,5.17000000
2015-12-19,9.13000000
2015-12-26,2.03000000
2016-01-02,3.52000000
2016-01-09,1.23000000
2016-01-16,4.10000000
2016-01-23,4.87000000
2016-01-30,2.89000000
2016-02-06,9.51000000
2016-02-13,21.75000000
2016-02-20,7.56000000
