Label,Value
2013-03-16,3.00000000
2013-03-23,2.51000000
2013-04-06,7.90000000
2013-04-13,36.06000000
2013-04-20,19.62000000
2013-04-27,12.25000000
2013-05-04,8.07000000
2013-05-11,11.43000000
2013-05-18,10.84000000
2013-05-25,4.01000000
2013-06-01,14.91000000
2013-06-08,13.71000000
2013-06-15,16.74000000
2013-06-22,13.49000000
2013-06-29,19.85000000
2013-07-06,26.11000000
2013-07-13,47.80000000
2013-07-20,41.23000000
2013-07-27,28.48000000
2013-08-03,70.56000000
2013-08-10,53.94000000
2013-08-17,51.36000000
2013-08-24,61.87000000
2013-08-31,52.91000000
2013-09-07,36.86000000
2013-09-14,72.19000000
2013-09-21,92.07000000
2013-09-28,55.77000000
2013-10-05,44.09000000
2013-10-12,47.25000000
2013-10-19,58.49000000
2013-10-26,61.47000000
2013-11-02,90.30000000
2013-11-09,111.75000000
2013-11-16,47.58000000
2013-11-23,83.97000000
2013-11-30,67.25000000
2013-12-07,61.19000000
2013-12-14,15.12000000
2013-12-21,37.14000000
2013-12-28,16.98000000
2014-01-04,27.86000000
2014-01-11,29.32000000
2014-01-18,30.18000000
2014-01-25,20.04000000
2014-02-01,15.32000000
2014-02-08,25.07000000
2014-02-15,7.27000000
2014-02-22,14.09000000
2014-03-01,22.69000000
2014-03-08,21.20000000
2014-03-15,10.05000000
2014-03-22,30.98000000
2014-03-29,21.02000000
2014-04-05,32.51000000
2014-04-12,29.90000000
2014-04-19,32.56000000
2014-04-26,47.32000000
2014-05-03,20.67000000
2014-05-10,21.10000000
2014-05-17,25.17000000
2014-05-24,30.03000000
2014-05-31,19.11000000
2014-06-07,27.95000000
2014-06-14,22.81000000
2014-06-21,33.75000000
2014-06-28,43.95000000
2014-07-05,27.95000000
2014-07-12,21.95000000
2014-07-19,33.20000000
2014-07-26,34.79000000
2014-08-02,33.15000000
2014-08-09,30.77000000
2014-08-16,39.03000000
2014-08-23,49.93000000
2014-08-30,31.52000000
2014-09-06,39.95000000
2014-09-13,28.21000000
2014-09-20,39.90000000
2014-09-27,65.19000000
2014-10-04,46.65000000
2014-10-11,66.85000000
2014-10-18,52.07000000
2014-10-25,50.72000000
2014-11-01,80.38000000
2014-11-08,82.53000000
2014-11-15,57.35000000
2014-11-22,52.50000000
2014-11-29,55.84000000
2014-12-06,44.93000000
2014-12-13,81.28000000
2014-12-20,97.85000000
2014-12-27,33.04000000
2015-01-03,57.36000000
2015-01-10,55.83000000
2015-01-17,77.51000000
2015-01-24,63.97000000
2015-01-31,106.17000000
2015-02-07,99.83000000
2015-02-14,65.50000000
2015-02-21,123.43000000
2015-02-28,90.67000000
2015-03-07,69.50000000
2015-03-14,73.12000000
2015-03-21,61.73000000
2015-03-28,52.51000000
2015-04-04,45.45000000
2015-04-11,79.87000000
2015-04-18,96.43000000
2015-04-25,114.42000000
2015-05-02,100.30000000
2015-05-09,116.86000000
2015-05-16,81.06000000
2015-05-23,90.08000000
2015-05-30,143.82000000
2015-06-06,91.53000000
2015-06-13,100.59000000
2015-06-20,104.77000000
2015-06-27,99.03000000
2015-07-04,85.48000000
2015-07-11,113.84000000
2015-07-18,90.00000000
2015-07-25,132.08000000
2015-08-01,137.10000000
2015-08-08,126.14000000
2015-08-15,130.27000000
2015-08-22,140.86000000
2015-08-29,124.72000000
2015-09-05,134.71000000
2015-09-12,102.41000000
2015-09-19,130.67000000
2015-09-26,110.53000000
2015-10-03,103.82000000
2015-10-10,116.00000000
2015-10-17,113.90000000
2015-10-24,91.33000000
2015-10-31,124.53000000
2015-11-07,151.32000000
2015-11-14,74.10000000
2015-11-21,78.99000000
2015-11-28,101.97000000
2015-12-05,113.26000000
2015-12-12,125.24000000
2015-12-19,113.51000000
2015-12-26,83.00000000
2016-01-02,133.66000000
2016-01-09,90.12000000
2016-01-16,120.31000000
2016-01-23,92.21000000
2016-01-30,74.58000000
2016-02-06,95.84000000
2016-02-13,74.94000000
2016-02-20,117.20000000
2016-02-27,98.54000000
2016-03-05,116.32000000
2016-03-12,177.99000000
2016-03-19,157.91000000
2016-03-26,104.88000000
2016-04-02,149.36000000
2016-04-09,157.38000000
2016-04-16,125.12000000
2016-04-23,177.79000000
2016-04-30,193.71000000
2016-05-07,170.71000000
2016-05-14,134.74000000
2016-05-21,151.45000000
2016-05-28,134.61000000
2016-06-04,135.83000000
2016-06-11,152.26000000
2016-06-18,132.14000000
2016-06-25,221.96000000
2016-07-02,85.65000000
2016-07-09,117.72000000
2016-07-16,84.03000000
2016-07-23,113.57000000
2016-07-30,129.64000000
2016-08-06,124.94000000
2016-08-13,135.98000000
2016-08-20,110.61000000
2016-08-27,135.50000000
2016-09-03,124.94000000
2016-09-10,143.12000000
2016-09-17,121.76000000
2016-09-24,131.88000000
2016-10-01,118.97000000
2016-10-08,101.79000000
2016-10-15,156.54000000
2016-10-22,153.22000000
2016-10-29,162.91000000
2016-11-05,129.63000000
2016-11-12,182.56000000
2016-11-19,195.34000000
2016-11-26,167.16000000
2016-12-03,185.55000000
2016-12-10,141.59000000
2016-12-17,164.62000000
2016-12-24,90.43000000
2016-12-31,98.97000000
2017-01-07,158.71000000
2017-01-14,125.01650000
2017-01-21,120.16000000
2017-01-28,120.24000000
2017-02-04,128.31040000
2017-02-11,150.82880000
2017-02-18,170.94360000
2017-02-25,107.44610000
2017-03-04,181.62330000
2017-03-11,142.55670000
2017-03-18,148.93649885
2017-03-25,140.41749553
2017-04-01,102.96734372
2017-04-08,97.27723698
2017-04-15,87.78972332
2017-04-22,137.57054059
2017-04-29,118.29686741
2017-05-06,173.22459256
2017-05-13,157.85951466
2017-05-20,111.97596452
2017-05-27,286.19780714
2017-06-03,171.12851619
2017-06-10,157.82048516
2017-06-17,294.57129109
2017-06-24,149.30223065
2017-07-01,153.97325121
2017-07-08,69.41153482
2017-07-15,101.27012932
2017-07-22,129.88595648
2017-07-29,80.46790056
2017-08-05,84.54889692
2017-08-12,111.92587214
2017-08-19,142.28486349
2017-08-26,86.21270631
2017-09-02,125.14228990
2017-09-09,111.89146320
2017-09-16,104.60190795
2017-09-23,98.01948961
2017-09-30,47.59596482
2017-10-07,51.92891107
2017-10-14,66.28864461
2017-10-21,114.97708119
2017-10-28,101.78767463
2017-11-04,106.33585915
2017-11-11,110.52564075
2017-11-18,92.50731166
2017-11-25,88.61107556
2017-12-02,123.20595884
2017-12-09,160.94724836
2017-12-16,104.35124943
2017-12-23,115.38964143
2017-12-30,57.38520733
2018-01-06,66.50701055
2018-01-13,66.82397370
2018-01-20,87.31791149
2018-01-27,58.02927405
2018-02-03,87.91773076
2018-02-10,96.09871634
2018-02-17,39.98911465
2018-02-24,34.50256429
2018-03-03,37.56091639
2018-03-10,53.83728367
2018-03-17,46.23085172
2018-03-24,50.62543786
2018-03-31,21.33156510
2018-04-07,53.45035094
2018-04-14,48.62250039
2018-04-21,54.62638841
2018-04-28,40.44711134
2018-05-05,31.10163423
2018-05-12,37.25701768
2018-05-19,32.21958279
2018-05-26,22.87783245
2018-06-02,27.00681186
2018-06-09,25.19428563
2018-06-16,35.59099705
2018-06-23,25.61375939
2018-06-30,30.99128518
2018-07-07,20.75313403
2018-07-14,20.00086187
2018-07-21,21.36725753
2018-07-28,22.19212036
2018-08-04,21.38885399
2018-08-11,32.52860748
2018-08-18,29.13210061
2018-08-25,26.81489406
2018-09-01,23.40935299
2018-09-08,22.92958410
2018-09-15,23.51183142
2018-09-22,22.54411522
2018-09-29,15.60010427
2018-10-06,22.26823689
2018-10-13,29.43286942
2018-10-20,20.21582449
2018-10-27,15.62193962
2018-11-03,18.88928815
2018-11-10,28.81055502
2018-11-17,26.18204298
2018-11-24,33.34914974
2018-12-01,33.32884773
2018-12-08,49.13458690
2018-12-15,36.98472103
2018-12-22,33.44859480
2018-12-29,17.77034364
2019-01-05,19.53432543
2019-01-12,44.03862633
2019-01-19,27.65542208
2019-01-26,22.51229254
2019-02-02,35.16725419
2019-02-09,26.86215945
2019-02-16,23.79805259
2019-02-23,17.58438942
2019-03-02,27.13710814
2019-03-09,26.95388251
2019-03-16,19.29091131
2019-03-23,15.85883034
2019-03-30,21.40970877
2019-04-06,23.00402088
2019-04-13,22.59438849
2019-04-20,13.17724012
2019-04-27,18.38393136
2019-05-04,19.97919981
2019-05-11,11.85419151
2019-05-18,13.06557440
2019-05-25,24.93921212
2019-06-01,9.57844177
2019-06-08,7.75785495
2019-06-15,10.61363778
2019-06-22,15.40270154
2019-06-29,15.43345866
2019-07-06,10.19410050
