Label,Value
2014-01-11,0.55000000
2014-01-18,2.00000000
2014-01-25,0.21000000
2014-02-01,0.19000000
2014-02-08,1.71000000
2014-02-15,4.70000000
2014-03-08,5.51000000
2014-03-29,0.18000000
2014-04-12,2.57000000
2014-04-19,2.63000000
2014-04-26,2.00000000
2014-05-03,0.73000000
2014-05-17,2.20000000
2014-05-31,7.72000000
2014-06-14,0.20000000
2014-06-21,1.00000000
2014-07-12,1.19000000
2014-07-19,4.32000000
2014-08-16,7.14000000
2014-08-23,0.20000000
2014-08-30,2.00000000
2014-09-06,0.54000000
2014-09-27,0.07000000
2014-10-04,5.02000000
2014-10-25,1.75000000
2014-11-22,1.44000000
2014-11-29,2.02000000
2014-12-06,1.76000000
2014-12-13,4.62000000
2014-12-20,7.96000000
2014-12-27,2.69000000
2015-01-03,1.57000000
2015-01-10,2.28000000
2015-01-24,1.36000000
2015-01-31,0.23000000
2015-02-07,3.00000000
2015-02-14,2.50000000
2015-02-21,3.00000000
2015-02-28,4.00000000
2015-03-14,0.84000000
2015-03-28,1.00000000
2015-04-04,3.85000000
2015-04-18,1.36000000
2015-04-25,0.31000000
2015-05-16,3.79000000
2015-05-23,4.20000000
2015-06-06,3.98000000
2015-06-13,2.00000000
2015-06-27,0.19000000
2015-07-04,9.92000000
2015-07-11,6.47000000
2015-07-18,1.12000000
2015-07-25,5.92000000
2015-08-01,6.20000000
2015-08-08,9.58000000
2015-08-15,4.63000000
2015-08-22,4.60000000
2015-08-29,8.78000000
2015-09-05,10.91000000
2015-09-12,8.36000000
2015-09-19,1.85000000
2015-09-26,28.04000000
2015-10-03,35.43000000
2015-10-10,3.97000000
2015-10-17,16.18000000
2015-10-24,16.04000000
2015-10-31,10.35000000
2015-11-07,4.19000000
2015-11-14,13.57000000
2015-11-21,7.49000000
2015-11-28,1.21000000
2015-12-05,6.66000000
2015-12-12,4.33000000
2015-12-19,1.19000000
2015-12-26,1.10000000
2016-01-02,7.81000000
2016-01-09,2.02000000
2016-01-16,0.20000000
2016-01-23,3.00000000
2016-01-30,3.21000000
2016-02-06,6.21000000
2016-02-13,1.01000000
2016-02-20,2.36000000
2016-02-27,5.99000000
2016-03-05,3.40000000
2016-03-12,1.40000000
2016-03-19,0.87000000
2016-03-26,2.06000000
2016-04-02,5.99000000
2016-04-09,3.75000000
2016-04-16,2.96000000
2016-04-23,2.56000000
2016-04-30,17.06000000
2016-05-07,13.66000000
2016-05-14,12.33000000
2016-05-21,6.27000000
2016-05-28,21.67000000
2016-06-04,11.73000000
2016-06-11,13.69000000
2016-06-18,16.67000000
2016-06-25,6.66000000
2016-07-02,9.49000000
2016-07-09,2.77000000
2016-07-16,9.60000000
2016-07-23,6.88000000
2016-07-30,3.94000000
2016-08-06,6.88000000
2016-08-13,4.51000000
