Label,Value
2013-03-16,31.80000000
2013-03-23,60.00000000
2013-03-30,12.44000000
2013-04-06,3.06000000
2013-04-13,25.70000000
2013-04-20,15.00000000
2013-04-27,5.77000000
2013-05-04,3.87000000
2013-05-11,29.71000000
2013-05-18,3.06000000
2013-05-25,10.14000000
2013-06-01,1.71000000
2013-06-08,1.04000000
2013-06-15,4.28000000
2013-06-22,41.53000000
2013-06-29,4.99000000
2013-07-06,43.51000000
2013-07-13,11.88000000
2013-07-20,11.15000000
2013-07-27,10.92000000
2013-08-03,12.73000000
2013-08-10,152.51000000
2013-08-17,20.14000000
2013-08-24,101.54000000
2013-08-31,16.01000000
2013-09-07,85.96000000
2013-09-14,33.64000000
2013-09-21,47.38000000
2013-09-28,134.50000000
2013-10-05,92.77000000
2013-10-12,63.04000000
2013-10-19,20.16000000
2013-10-26,40.06000000
2013-11-02,30.48000000
2013-11-09,28.52000000
2013-11-16,29.19000000
2013-11-23,29.95000000
2013-11-30,27.19000000
2013-12-07,19.98000000
2013-12-14,21.99000000
2013-12-21,21.49000000
2013-12-28,19.88000000
2014-01-04,83.89000000
2014-01-11,36.07000000
2014-01-18,21.88000000
2014-01-25,38.65000000
2014-02-01,34.27000000
2014-02-08,23.86000000
2014-02-15,21.08000000
2014-02-22,32.79000000
2014-03-01,37.94000000
2014-03-08,18.40000000
2014-03-15,37.32000000
2014-03-22,41.83000000
2014-03-29,50.93000000
2014-04-05,50.81000000
2014-04-12,69.71000000
2014-04-19,54.67000000
2014-04-26,45.29000000
2014-05-03,40.53000000
2014-05-10,59.27000000
2014-05-17,46.49000000
2014-05-24,58.02000000
2014-05-31,70.18000000
2014-06-07,64.86000000
2014-06-14,59.83000000
2014-06-21,73.78000000
2014-06-28,76.97000000
2014-07-05,70.50000000
2014-07-12,63.61000000
2014-07-19,65.66000000
2014-07-26,62.04000000
2014-08-02,80.45000000
2014-08-09,72.13000000
2014-08-16,101.44000000
2014-08-23,98.03000000
2014-08-30,124.29000000
2014-09-06,101.17000000
2014-09-13,108.60000000
2014-09-20,124.91000000
2014-09-27,194.99000000
2014-10-04,186.91000000
2014-10-11,159.58000000
2014-10-18,166.89000000
2014-10-25,233.43000000
2014-11-01,175.79000000
2014-11-08,130.25000000
2014-11-15,83.25000000
2014-11-22,120.66000000
2014-11-29,147.95000000
2014-12-06,156.07000000
2014-12-13,196.58000000
2014-12-20,189.00000000
2014-12-27,165.86000000
2015-01-03,149.03000000
2015-01-10,189.70000000
2015-01-17,352.10000000
2015-01-24,409.03000000
2015-01-31,396.54550000
2015-02-07,350.18000000
2015-02-14,416.93000000
2015-02-21,361.59000000
2015-02-28,462.63000000
2015-03-07,412.38000000
2015-03-14,360.60000000
2015-03-21,327.82000000
2015-03-28,322.27000000
2015-04-04,323.08000000
2015-04-11,396.43000000
2015-04-18,333.59000000
2015-04-25,497.54000000
2015-05-02,480.49000000
2015-05-09,482.45000000
2015-05-16,476.41000000
2015-05-23,411.59000000
2015-05-30,534.76000000
2015-06-06,477.84000000
2015-06-13,526.58000000
2015-06-20,469.91000000
2015-06-27,651.27000000
2015-07-04,526.52000000
2015-07-11,424.63480000
2015-07-18,401.27620000
2015-07-25,561.30720000
2015-08-01,427.12000000
2015-08-08,420.46000000
2015-08-15,473.93000000
2015-08-22,451.68000000
2015-08-29,636.67000000
2015-09-05,541.63000000
2015-09-12,568.71000000
2015-09-19,526.92000000
2015-09-26,680.74000000
2015-10-03,643.04000000
2015-10-10,561.98000000
2015-10-17,580.83000000
2015-10-24,595.37000000
2015-10-31,580.96000000
2015-11-07,579.24000000
2015-11-14,402.00000000
2015-11-21,387.57000000
2015-11-28,533.96000000
2015-12-05,407.25000000
2015-12-12,466.46000000
2015-12-19,417.56000000
2015-12-26,364.10000000
2016-01-02,278.60000000
2016-01-09,233.69000000
2016-01-16,413.20000000
2016-01-23,451.38000000
2016-01-30,622.61000000
2016-02-06,506.40000000
2016-02-13,491.06000000
2016-02-20,462.05000000
2016-02-27,533.18000000
2016-03-05,569.54000000
2016-03-12,467.94000000
2016-03-19,481.08000000
2016-03-26,468.85000000
2016-04-02,614.15000000
2016-04-09,492.29000000
2016-04-16,515.27000000
2016-04-23,485.58000000
2016-04-30,645.28000000
2016-05-07,569.18000000
2016-05-14,514.43000000
2016-05-21,522.36000000
2016-05-28,556.81960000
2016-06-04,505.50550000
2016-06-11,481.25000000
2016-06-18,388.48000000
2016-06-25,379.71000000
2016-07-02,370.09000000
2016-07-09,333.81000000
2016-07-16,350.04000000
2016-07-23,333.44000000
2016-07-30,406.55210000
2016-08-06,367.02600000
2016-08-13,344.65000000
2016-08-20,365.87000000
2016-08-27,573.46000000
2016-09-03,458.09000000
2016-09-10,366.01590000
2016-09-17,352.17000000
2016-09-24,408.00000000
2016-10-01,422.47000000
2016-10-08,432.79000000
2016-10-15,347.39000000
2016-10-22,333.43000000
2016-10-29,453.04000000
2016-11-05,343.80000000
2016-11-12,306.14000000
2016-11-19,332.01000000
2016-11-26,346.27000000
2016-12-03,327.05000000
2016-12-10,328.48200000
2016-12-17,274.76810000
2016-12-24,352.56000000
2016-12-31,308.04000000
2017-01-07,342.55350000
2017-01-14,338.61800000
2017-01-21,441.18920000
2017-01-28,319.10070000
2017-02-04,277.80000000
2017-02-11,229.12800000
2017-02-18,234.28760000
2017-02-25,311.64220000
2017-03-04,293.53070000
2017-03-11,256.91100000
2017-03-18,255.15553051
2017-03-25,268.88237577
2017-04-01,322.74516723
2017-04-08,303.43247861
2017-04-15,192.72884080
2017-04-22,248.31913265
2017-04-29,283.03895974
2017-05-06,244.71990625
2017-05-13,196.38660503
2017-05-20,191.50040235
2017-05-27,270.60044074
2017-06-03,272.03998389
2017-06-10,178.12978761
2017-06-17,151.73464119
2017-06-24,166.78119494
2017-07-01,152.19288683
2017-07-08,118.32309360
2017-07-15,170.56211540
2017-07-22,146.86028932
2017-07-29,177.75920237
2017-08-05,147.73343472
2017-08-12,156.35551915
2017-08-19,133.58408338
2017-08-26,113.55220849
2017-09-02,142.92039448
2017-09-09,108.98654631
2017-09-16,138.07423096
2017-09-23,134.96242967
2017-09-30,149.00516608
2017-10-07,130.40509043
2017-10-14,102.35979418
2017-10-21,96.74497644
2017-10-28,149.85096523
2017-11-04,238.96345427
2017-11-11,108.24136221
2017-11-18,100.13383681
2017-11-25,118.56875352
2017-12-02,143.84845115
2017-12-09,137.20508317
2017-12-16,108.41493580
2017-12-23,114.75976877
2017-12-30,80.94039185
2018-01-06,92.81309430
2018-01-13,80.61380292
2018-01-20,100.76365204
2018-01-27,102.53948920
2018-02-03,112.85315982
2018-02-10,110.58877152
2018-02-17,84.28060571
2018-02-24,64.69377756
2018-03-03,79.64874944
2018-03-10,65.63253584
2018-03-17,66.73042948
2018-03-24,78.73574217
2018-03-31,88.06189510
2018-04-07,87.86660166
2018-04-14,115.35733763
2018-04-21,70.18925413
2018-04-28,70.68998729
2018-05-05,78.31146278
2018-05-12,74.69941690
2018-05-19,63.11110195
2018-05-26,79.02789741
2018-06-02,76.51185659
2018-06-09,104.87738062
2018-06-16,115.72736067
2018-06-23,86.72250099
2018-06-30,113.60876955
2018-07-07,111.98975175
2018-07-14,89.01329248
2018-07-21,122.58699343
2018-07-28,75.18774833
2018-08-04,77.22488087
2018-08-11,92.71703041
2018-08-18,120.95352483
2018-08-25,148.82617589
2018-09-01,66.63980917
2018-09-08,83.21959628
2018-09-15,87.50032662
2018-09-22,134.33219598
2018-09-29,117.08946668
2018-10-06,56.88251686
2018-10-13,85.15944678
2018-10-20,112.36493575
2018-10-27,82.02586085
2018-11-03,105.40665289
2018-11-10,77.22487932
2018-11-17,70.20597744
2018-11-24,119.16805191
2018-12-01,117.61943690
2018-12-08,98.86998848
2018-12-15,143.33932540
2018-12-22,170.06709895
2018-12-29,103.31384491
2019-01-05,97.76773156
2019-01-12,120.09007194
2019-01-19,150.67271891
2019-01-26,135.22916091
2019-02-02,136.37986744
2019-02-09,134.83639415
2019-02-16,112.17630623
2019-02-23,123.00888303
2019-03-02,122.93646931
2019-03-09,104.88673083
2019-03-16,89.57867474
2019-03-23,107.31707934
2019-03-30,136.70429341
2019-04-06,98.91697096
2019-04-13,80.74414160
2019-04-20,58.74139431
2019-04-27,89.81095584
2019-05-04,77.65021800
2019-05-11,62.85298523
2019-05-18,57.31370905
2019-05-25,63.54172096
2019-06-01,50.61729571
2019-06-08,47.99450413
2019-06-15,67.03778920
2019-06-22,51.16293098
2019-06-29,53.51776854
2019-07-06,45.61560175
2019-07-13,36.99768213
2019-07-20,48.54693115
2019-07-27,43.34428804
2019-08-03,42.88260436
2019-08-10,38.55428072
2019-08-17,34.83953517
2019-08-24,36.69733637
2019-08-31,42.32692315
2019-09-07,35.60500856
2019-09-14,37.03333622
2019-09-21,35.19006968
2019-09-28,50.52836084
2019-10-05,45.34849827
2019-10-12,34.67979008
2019-10-19,40.43600069
2019-10-26,45.02541171
2019-11-02,39.45320373
2019-11-09,37.31543964
2019-11-16,33.39685204
2019-11-23,43.04571506
2019-11-30,49.13333462
2019-12-07,41.63134085
2019-12-14,40.09901467
2019-12-21,41.94256059
2019-12-28,43.26733817
2020-01-04,32.81289281
2020-01-11,35.06629469
2020-01-18,35.85975265
2020-01-25,35.30134356
2020-02-01,36.63988510
2020-02-08,34.99942533
2020-02-15,31.87000462
2020-02-22,31.84849497
2020-02-29,48.24284391
2020-03-07,36.40866212
2020-03-14,42.68820354
2020-03-21,46.65462990
2020-03-28,54.19485424
2020-04-04,53.81087673
2020-04-11,38.57084647
2020-04-18,50.98282071
