Label,Value
2013-03-30,1.50000000
2013-04-06,22.63000000
2013-04-13,16.01000000
2013-04-20,1.00000000
2013-04-27,11.77000000
2013-05-04,1.52000000
2013-05-11,1.10000000
2013-05-25,10.90000000
2013-06-01,0.85000000
2013-06-08,89.48000000
2013-06-15,189.98000000
2013-06-22,190.31000000
2013-06-29,140.23000000
2013-07-06,12.93000000
2013-07-13,49.14000000
2013-07-20,140.68000000
2013-07-27,49.09000000
2013-08-03,323.87000000
2013-08-10,173.03000000
2013-08-17,69.58000000
2013-08-24,34.88000000
2013-08-31,308.75000000
2013-09-07,216.48000000
2013-09-14,87.05000000
2013-09-21,48.70000000
2013-09-28,135.51000000
2013-10-05,148.79000000
2013-10-12,294.84000000
2013-10-19,217.29000000
2013-10-26,404.86000000
2013-11-02,69.73000000
2013-11-09,98.67000000
2013-11-16,96.48000000
2013-11-23,111.52000000
2013-11-30,85.57000000
2013-12-07,96.87000000
2013-12-14,137.83000000
2013-12-21,111.52000000
2013-12-28,48.94000000
2014-01-04,66.69000000
2014-01-11,62.55000000
2014-01-18,84.52000000
2014-01-25,81.92000000
2014-02-01,76.29000000
2014-02-08,181.25000000
2014-02-15,112.07000000
2014-02-22,119.73000000
2014-03-01,104.43000000
2014-03-08,147.72000000
2014-03-15,100.52000000
2014-03-22,104.95000000
2014-03-29,136.77000000
2014-04-05,269.82000000
2014-04-12,120.00000000
2014-04-19,207.40000000
2014-04-26,149.51000000
2014-05-03,255.78000000
2014-05-10,140.63000000
2014-05-17,160.38000000
2014-05-24,219.83000000
2014-05-31,125.42000000
2014-06-07,91.80000000
2014-06-14,173.80000000
2014-06-21,156.43000000
2014-06-28,163.86000000
2014-07-05,118.65000000
2014-07-12,148.05000000
2014-07-19,189.12000000
2014-07-26,184.74000000
2014-08-02,126.62000000
2014-08-09,168.46000000
2014-08-16,238.49000000
2014-08-23,228.30000000
2014-08-30,212.44000000
2014-09-06,193.26950000
2014-09-13,145.80000000
2014-09-20,366.57950000
2014-09-27,288.12000000
2014-10-04,298.65000000
2014-10-11,195.64000000
2014-10-18,317.31000000
2014-10-25,155.73000000
2014-11-01,302.28000000
2014-11-08,367.57000000
2014-11-15,325.26000000
2014-11-22,186.76000000
2014-11-29,185.15000000
2014-12-06,142.62000000
2014-12-13,180.17000000
2014-12-20,136.58000000
2014-12-27,134.42000000
2015-01-03,123.45000000
2015-01-10,220.25000000
2015-01-17,493.72000000
2015-01-24,258.13000000
2015-01-31,225.83000000
2015-02-07,225.50000000
2015-02-14,258.83000000
2015-02-21,164.21000000
2015-02-28,353.11000000
2015-03-07,151.19000000
2015-03-14,174.74000000
2015-03-21,136.53000000
2015-03-28,165.84000000
2015-04-04,216.71000000
2015-04-11,181.51000000
2015-04-18,283.09000000
2015-04-25,345.03000000
2015-05-02,313.95000000
2015-05-09,289.23000000
2015-05-16,268.27000000
2015-05-23,300.52000000
2015-05-30,233.49000000
2015-06-06,458.09000000
2015-06-13,383.31000000
2015-06-20,428.09000000
2015-06-27,460.35000000
2015-07-04,168.33000000
2015-07-11,283.00000000
2015-07-18,308.67000000
2015-07-25,660.31000000
2015-08-01,275.47000000
2015-08-08,192.55000000
2015-08-15,237.31000000
2015-08-22,178.37000000
2015-08-29,429.23000000
2015-09-05,278.41000000
2015-09-12,304.73000000
2015-09-19,251.62000000
2015-09-26,269.19000000
2015-10-03,292.77000000
2015-10-10,277.82000000
2015-10-17,393.14000000
2015-10-24,357.74370000
2015-10-31,389.25000000
2015-11-07,602.40000000
2015-11-14,268.10000000
2015-11-21,428.12000000
2015-11-28,301.05000000
2015-12-05,280.80000000
2015-12-12,330.62000000
2015-12-19,375.27000000
2015-12-26,144.32000000
2016-01-02,156.61000000
