Label,Value
2015-02-21,0.07000000
2015-04-11,0.17000000
2015-05-09,0.73000000
2015-05-16,0.13000000
2015-05-23,0.18000000
2015-05-30,0.25000000
2015-06-06,0.46000000
2015-06-20,0.08000000
2015-06-27,0.39000000
2015-07-04,0.41000000
2015-07-11,0.14000000
2015-07-18,0.05000000
2015-07-25,0.01000000
2015-08-01,0.22000000
2015-08-08,0.07000000
2015-08-22,0.23000000
2015-08-29,0.03000000
2015-09-05,0.18000000
2015-09-12,0.71000000
2015-09-19,2.17000000
2015-09-26,0.35000000
2015-10-03,0.43000000
2015-10-10,0.35000000
2015-10-24,0.05000000
2015-10-31,0.17000000
2015-11-07,0.23000000
2015-11-14,0.45000000
2015-11-28,0.19000000
2015-12-05,0.01000000
2016-01-09,0.62000000
2016-01-16,0.68000000
2016-01-23,0.02000000
2016-01-30,0.01000000
2016-02-06,0.01000000
2016-02-13,0.05000000
2016-02-20,0.01000000
2016-03-05,0.68000000
2016-03-19,0.65000000
2016-04-09,0.19000000
2016-04-16,0.01000000
2016-04-23,0.35000000
2016-04-30,0.14000000
2016-05-28,0.20000000
2016-06-04,0.23000000
2016-06-11,0.29000000
2016-06-18,1.57000000
2016-06-25,1.59000000
2016-07-02,2.18000000
2016-07-09,3.45000000
2016-07-16,1.89000000
2016-07-23,2.37000000
2016-07-30,0.37000000
2016-08-06,1.76000000
2016-08-13,1.88000000
2016-08-20,0.54000000
2016-08-27,1.25000000
2016-09-03,3.98000000
2016-09-10,2.21000000
2016-09-17,0.51000000
2016-09-24,3.17000000
2016-10-01,1.87000000
2016-10-08,2.39000000
2016-10-15,1.70000000
2016-10-22,4.52000000
2016-10-29,7.52000000
2016-11-05,2.36000000
2016-11-12,1.06000000
2016-11-19,6.97000000
2016-11-26,1.99000000
2016-12-03,2.04000000
2016-12-10,5.15000000
2016-12-17,2.46000000
2016-12-24,0.71000000
2016-12-31,4.69000000
2017-01-07,7.66000000
2017-01-14,10.66000000
2017-01-21,3.59000000
2017-01-28,4.37000000
2017-02-04,7.75000000
2017-02-11,6.62000000
2017-02-18,3.69350000
2017-02-25,2.38870000
2017-03-04,2.43300000
2017-03-11,1.67160000
2017-03-18,3.68626215
2017-03-25,1.01672509
2017-04-01,1.90597558
2017-04-08,2.48860533
2017-04-15,3.21926589
2017-04-22,2.84616573
2017-04-29,5.76974616
2017-05-06,3.35906576
2017-05-13,2.63431425
2017-05-20,1.31845526
2017-05-27,3.54827755
2017-06-03,1.70174373
2017-06-10,2.65442556
2017-06-17,2.04373103
2017-06-24,2.27884724
2017-07-01,4.59226829
2017-07-08,6.98823905
2017-07-15,15.83137654
2017-07-22,6.46885737
2017-07-29,8.26084491
2017-08-05,3.44724749
