Label,Value
2013-03-16,157.49000000
2013-03-23,325.71000000
2013-03-30,181.58000000
2013-04-06,451.16000000
2013-04-13,700.71000000
2013-04-20,367.07000000
2013-04-27,236.84000000
2013-05-04,302.98000000
2013-05-11,331.93000000
2013-05-18,562.42000000
2013-05-25,519.84000000
2013-06-01,456.14000000
2013-06-08,937.37000000
2013-06-15,940.85000000
2013-06-22,999.72000000
2013-06-29,1264.80000000
2013-07-06,2112.00000000
2013-07-13,2117.42000000
2013-07-20,3450.76000000
2013-07-27,4721.47000000
2013-08-03,5262.36000000
2013-08-10,5714.94000000
2013-08-17,6022.41000000
2013-08-24,6967.37000000
2013-08-31,5949.96000000
2013-09-07,5800.26000000
2013-09-14,6759.06000000
2013-09-21,7410.99000000
2013-09-28,7983.33000000
2013-10-05,7151.79000000
2013-10-12,5367.05000000
2013-10-19,6018.70000000
2013-10-26,5182.79000000
2013-11-02,5339.41000000
2013-11-09,5491.57000000
2013-11-16,3893.71000000
2013-11-23,2853.11000000
2013-11-30,2186.44000000
2013-12-07,2034.20000000
2013-12-14,1826.96000000
2013-12-21,2498.06000000
2013-12-28,1623.02000000
2014-01-04,1896.28000000
2014-01-11,2090.43000000
2014-01-18,2353.64000000
2014-01-25,2386.07000000
2014-02-01,2231.33000000
2014-02-08,2585.32000000
2014-02-15,2043.45000000
2014-02-22,2322.05000000
2014-03-01,2816.63000000
2014-03-08,2861.74000000
2014-03-15,2962.93000000
2014-03-22,2950.40527670
2014-03-29,3302.63543290
2014-04-05,4011.37462970
2014-04-12,4444.46650860
2014-04-19,4057.20340980
2014-04-26,4153.27000550
2014-05-03,4144.18000000
2014-05-10,4370.16000000
2014-05-17,3968.21000000
2014-05-24,4587.94300000
2014-05-31,3464.24140000
2014-06-07,3666.83290000
2014-06-14,4245.98000000
2014-06-21,4119.77980000
2014-06-28,3905.31000000
2014-07-05,3726.21400000
2014-07-12,4230.34930000
2014-07-19,4238.83770000
2014-07-26,4069.78720000
2014-08-02,4374.34880000
2014-08-09,4277.52910000
2014-08-16,4670.06980000
2014-08-23,4917.55050000
2014-08-30,4542.49290000
2014-09-06,6464.61370000
2014-09-13,7037.16390000
2014-09-20,7256.31000000
2014-09-27,7857.83000000
2014-10-04,7957.35000000
2014-10-11,8389.28000000
2014-10-18,7549.09860000
2014-10-25,8584.00530000
2014-11-01,8964.17280000
2014-11-08,9309.93690000
2014-11-15,8182.63920000
