Label,Value
2013-10-12,0.03
2013-10-19,0.23
2013-11-09,1
2013-11-23,0.02
2013-11-30,0.93
2013-12-07,0.02
2014-02-01,2.03
2014-02-08,8.37
2014-02-15,12.33
2014-02-22,0.15
2014-03-01,2.67
2014-03-08,5.01
2014-03-15,1.04
2014-03-22,0.01
2014-03-29,0.01
2014-04-19,4
2014-04-26,20
2014-05-03,20
2014-05-10,2.4
2014-05-17,3
2014-05-24,0.1
2014-05-31,0.59
2014-06-28,0.16
2014-07-05,1.99
2014-07-19,0.2
2014-07-26,3.01
2014-08-02,0.61
2014-08-09,1.82
2014-08-16,1.9282
2014-08-23,3.7674
2014-08-30,0.8591
2014-09-06,0.9518
2014-09-13,3.7701
2014-09-20,2.2274
2014-09-27,0.7724
2014-10-04,1.36
2014-10-11,1.9857
2014-10-18,2.71
2014-10-25,2.4812
2014-11-01,3.7287
2014-11-08,2.5305
2014-11-15,3.6856
2014-11-22,2.8491
2014-11-29,2.15
2014-12-06,3.6343
2014-12-13,9.73
2014-12-20,18.385
2014-12-27,31.9678
2015-01-03,19.97
2015-01-10,22.5881
2015-01-17,45.79
2015-01-24,71.67
2015-01-31,84.0918
2015-02-07,84.52
2015-02-14,63.51
2015-02-21,70.77
2015-02-28,99.2629
2015-03-07,63.5059
2015-03-14,77.834
2015-03-21,57.2839
2015-03-28,43.37
2015-04-04,25.558
2015-04-11,42.28
2015-04-18,28.73
2015-04-25,51.91
2015-05-02,32.22
2015-05-09,52.4964
2015-05-16,24.8812
2015-05-23,21.74
2015-05-30,27.942
2015-06-06,18.23
2015-06-13,22.17
2015-06-20,35.54
2015-06-27,21.8389
2015-07-04,29.4964
2015-07-11,29.63
2015-07-18,35.21
2015-07-25,47.9
2015-08-01,37.4753
2015-08-08,27.62
2015-08-15,22.28
2015-08-22,30.82
2015-08-29,60.13
2015-09-05,33.29
2015-09-12,48.86
2015-09-19,27.9561
2015-09-26,34.67
2015-10-03,27.04
2015-10-10,28.4655
2015-10-17,32.88
2015-10-24,34.9
2015-10-31,27.29
2015-11-07,29.0288
2015-11-14,31.9
2015-11-21,23.37
2015-11-28,40.4304
2015-12-05,33.2926
2015-12-12,30.0477
2015-12-19,24.28
2015-12-26,21.496
2016-01-02,25.85
2016-01-09,24.21
2016-01-16,23.0161
2016-01-23,41.5243
2016-01-30,32.2034
2016-02-06,36.9318
2016-02-13,36.72
2016-02-20,45.11
2016-02-27,32.53
2016-03-05,38.978
2016-03-12,49.64
2016-03-19,44.04
2016-03-26,34.876
2016-04-02,53.1414
2016-04-09,51.5329
2016-04-16,78.69
2016-04-23,70.6111
2016-04-30,88.4251
2016-05-07,75.3256
2016-05-14,99.66
2016-05-21,123.87
2016-05-28,168.39
2016-06-04,101.3681
2016-06-11,134.2673
2016-06-18,113.3644
2016-06-25,98
2016-07-02,87.0907
2016-07-09,160.1049
2016-07-16,157.0348
2016-07-23,152.3979
2016-07-30,189.5495
2016-08-06,241.5228
2016-08-13,224.8769
2016-08-20,245.2765
2016-08-27,280.5656
2016-09-03,271.952
2016-09-10,241.8415
2016-09-17,333.6201
2016-09-24,294.4605
2016-10-01,248.6782
2016-10-08,316.127
2016-10-15,375.3623
2016-10-22,256.5897
2016-10-29,291.2165
2016-11-05,325.2584
2016-11-12,277.3054
2016-11-19,308.9167
2016-11-26,282.4068
2016-12-03,255.9623
2016-12-10,256.4521
2016-12-17,250.9264
2016-12-24,302.3917
2016-12-31,274.1695
2017-01-07,242.2756
2017-01-14,314.6175
2017-01-21,310.8606
2017-01-28,274.7973
2017-02-04,388.2528
2017-02-11,507.29
2017-02-18,485.5783
2017-02-25,498.0501
2017-03-04,412.2653
2017-03-11,510.5258
2017-03-18,507.6786381
2017-03-25,619.25341259
2017-04-01,683.37045737
2017-04-08,805.28192678
2017-04-15,507.97312005
2017-04-22,659.83288842
2017-04-29,618.0298143
2017-05-06,608.54233696
2017-05-13,588.50625377
2017-05-20,554.05706153
2017-05-27,457.04507622
2017-06-03,507.24814854
2017-06-10,465.64155663
2017-06-17,482.77323755
2017-06-24,434.82139032
2017-07-01,452.46815228
2017-07-08,384.1212169
2017-07-15,474.18940738
2017-07-22,447.14180614
2017-07-29,442.04737401
2017-08-05,450.43372827
2017-08-12,414.64750963
2017-08-19,359.07741383
2017-08-26,334.19005837
2017-09-02,347.79503231
2017-09-09,384.52149637
2017-09-16,453.94581893
2017-09-23,345.81815064
2017-09-30,396.41415113
2017-10-07,390.81371388
2017-10-14,313.09195774
2017-10-21,359.69510598
2017-10-28,303.40114415
2017-11-04,302.76923688
2017-11-11,251.82019546
2017-11-18,275.62242887
2017-11-25,243.15040517
2017-12-02,234.6234091
2017-12-09,189.22880415
2017-12-16,172.47261407
2017-12-23,212.20498508
2017-12-30,176.17728929
2018-01-06,156.63489664
2018-01-13,244.03332622
2018-01-20,234.18370147
