Label,Value
2014-02-15,0.70180000
2014-03-29,0.38424090
2014-04-05,0.20000000
2014-05-17,0.21570000
2014-05-31,0.15560000
2014-06-21,0.00360000
2014-08-09,1.18410000
2014-08-16,0.08910000
2014-08-23,0.20040000
2014-10-04,0.03000000
2014-10-11,0.13330000
2015-04-04,1.00000000
2015-05-16,0.00060000
2015-05-23,0.18000000
2015-06-13,0.39650000
2015-06-20,0.39870000
2015-07-04,0.45130000
2015-08-01,6.44150000
2015-08-15,0.21640000
2015-08-22,1.55120000
2015-09-05,1.61960000
2015-09-12,10.17730000
2015-09-19,1.10080000
2015-09-26,0.78680000
2015-10-03,5.46080000
2015-10-10,0.05140000
2015-10-17,0.16630000
2015-10-24,0.77540000
2015-10-31,3.64230000
2015-11-07,4.87520000
2015-11-14,2.30020000
2015-11-21,23.12670000
2015-11-28,6.91360000
2015-12-05,20.70000000
2015-12-12,11.64270000
2015-12-19,9.92210000
2015-12-26,8.69840000
2016-01-02,4.26900000
2016-01-09,1.42350000
2016-01-16,3.17570000
2016-01-23,3.09200000
2016-01-30,1.84010000
2016-02-13,1.04670000
2016-02-20,11.22820000
2016-02-27,3.26930000
2016-03-05,16.65230000
2016-03-12,2.97910000
2016-03-19,26.83090000
2016-03-26,3.74400000
2016-04-02,3.33880000
2016-04-09,17.13600000
2016-04-16,3.04030000
2016-04-23,9.30450000
2016-04-30,24.48750000
2016-05-07,0.86110000
2016-05-14,9.94080000
2016-05-21,8.16120000
2016-05-28,7.99420000
2016-06-04,19.30390000
2016-06-11,8.98580000
2016-06-18,15.02940000
2016-06-25,0.63890000
2016-07-02,2.90560000
2016-07-09,1.16620000
2016-07-16,8.95550000
2016-07-23,10.57700000
2016-07-30,2.13720000
2016-08-06,3.14050000
2016-08-13,13.02300000
2016-08-20,9.12880000
2016-08-27,6.65290000
2016-09-03,11.64490000
2016-09-10,5.61710000
2016-09-17,21.91630000
2016-09-24,27.10460000
2016-10-01,2.82830000
2016-10-08,21.91490000
2016-10-15,5.15360000
2016-10-22,0.94360000
2016-10-29,3.69840000
2016-11-05,10.21610000
2016-11-12,2.14930000
2016-11-19,1.12530000
2016-11-26,28.91460000
2016-12-03,27.79680000
2016-12-10,39.99040000
2016-12-17,2.33720000
2016-12-24,27.82240000
2016-12-31,8.29230000
2017-01-07,34.78730000
2017-01-14,22.32820000
2017-01-21,8.73990000
2017-01-28,4.69440000
2017-02-04,7.16290000
2017-02-11,8.77390000
2017-02-18,0.44280000
2017-02-25,17.45450000
2017-03-04,14.87840000
2017-03-11,3.25540000
2017-03-18,5.86079089
2017-03-25,1.80078222
2017-04-01,5.50013273
2017-04-08,21.34080514
2017-04-15,6.85806773
2017-04-22,7.82174878
2017-04-29,6.31522051
2017-05-06,5.96167193
2017-05-13,8.31590161
2017-05-20,16.27433075
2017-05-27,12.38702813
2017-06-03,5.48584847
2017-06-10,2.40870594
2017-06-17,2.78735250
2017-06-24,20.26137828
2017-07-01,4.31803327
2017-07-08,6.74236820
2017-07-15,2.84513025
2017-07-22,2.71042474
2017-07-29,3.77788145
2017-08-05,3.35641815
2017-08-12,5.08110142
2017-08-19,1.42088037
2017-08-26,4.19743738
2017-09-02,5.42970723
2017-09-09,6.00284573
2017-09-16,2.99662313
2017-09-23,3.91594709
2017-09-30,4.06125765
2017-10-07,14.20369634
2017-10-14,8.90334282
2017-10-21,3.26597901
2017-10-28,3.10311242
2017-11-04,2.54382279
2017-11-11,3.68908427
2017-11-18,3.17190373
2017-11-25,1.68246767
2017-12-02,6.74651630
2017-12-09,2.67235200
2017-12-16,3.03686584
2017-12-23,6.97517980
2017-12-30,6.93746928
2018-01-06,3.97746039
2018-01-13,11.95689294
2018-01-20,8.83648992
2018-01-27,5.19125818
2018-02-03,5.29735761
2018-02-10,14.84483834
2018-02-17,4.68923199
2018-02-24,3.18467192
2018-03-03,3.23415498
2018-03-10,7.18045478
2018-03-17,18.09784204
2018-03-24,3.82414221
2018-03-31,3.21585290
2018-04-07,8.08633337
2018-04-14,13.51025684
2018-04-21,10.60198428
2018-04-28,6.58156353
2018-05-05,6.13423031
2018-05-12,3.69572177
2018-05-19,1.42401410
2018-05-26,4.71979074
2018-06-02,16.81611952
2018-06-09,18.60849438
2018-06-16,8.28812152
2018-06-23,2.23370173
2018-06-30,0.93867417
2018-07-07,3.53654157
2018-07-14,3.68445230
2018-07-21,5.69597943
2018-07-28,5.25915298
2018-08-04,2.46891375
2018-08-11,6.08578700
2018-08-18,2.26782619
2018-08-25,7.17449386
2018-09-01,3.62427857
2018-09-08,6.11673478
2018-09-15,3.98492862
2018-09-22,3.39796635
2018-09-29,2.54442480
2018-10-06,2.01333674
2018-10-13,2.21577005
2018-10-20,3.24639651
2018-10-27,3.26566723
2018-11-03,4.37969978
2018-11-10,6.21336753
2018-11-17,3.67734936
2018-11-24,5.54907137
2018-12-01,2.50848632
2018-12-08,4.91150811
2018-12-15,5.67601963
2018-12-22,3.28833644
2018-12-29,1.67094465
2019-01-05,1.95153357
2019-01-12,1.72143346
2019-01-19,2.42156235
2019-01-26,4.04702289
2019-02-02,8.13708899
2019-02-09,1.39262125
2019-02-16,3.43211490
2019-02-23,5.21930267
2019-03-02,6.46375261
2019-03-09,4.96938446
2019-03-16,10.66808611
2019-03-23,2.13111315
2019-03-30,8.24073693
2019-04-06,4.41940428
2019-04-13,4.12886411
2019-04-20,10.41047940
2019-04-27,5.17838599
2019-05-04,7.56523905
2019-05-11,6.84588991
2019-05-18,8.33195286
2019-05-25,8.24476152
2019-06-01,12.09590971
2019-06-08,7.77398267
2019-06-15,3.80554942
2019-06-22,2.89680863
2019-06-29,6.59876543
2019-07-06,5.69377903
