Label,Value
2013-06-29,544
2013-08-31,2215
2013-09-21,479
2013-09-28,2650
2013-11-09,1493
2013-12-14,65986
2013-12-21,3078
2013-12-28,17133
2014-01-04,1009
2014-01-11,27257
2014-01-18,109056
2014-01-25,31712
2014-02-01,34614
2014-02-08,21238
2014-02-15,28010
2014-02-22,32693
2014-03-08,19845
2014-03-15,5103
2014-03-22,21540
2014-03-29,19254
2014-04-05,4937
2014-04-12,5521
2014-05-03,807
2014-05-10,6137
2014-05-17,19493
2014-05-24,30046
2014-05-31,12718
2014-06-07,22960
2014-06-14,37343
2014-06-21,990
2014-06-28,2507
2014-07-05,24438
2014-07-12,2986
2014-07-19,2421
2014-07-26,28559
2014-08-02,25945
2014-08-09,47775
2014-08-16,43267
2014-08-23,15930
2014-08-30,37827
2014-09-06,31059
2014-09-13,19079
2014-09-20,22975
2014-09-27,31457
2014-10-04,18879
2014-10-11,49078
2014-10-18,30762
2014-10-25,26081
2014-11-01,53597
2014-11-08,14931
2014-11-15,21959
2014-11-22,3572
2014-11-29,7068
2014-12-06,12415
2014-12-13,5233
2014-12-20,3121
2014-12-27,4004
2015-01-03,11655
2015-01-10,11521
2015-01-17,24277
2015-01-24,62453
2015-01-31,30463
2015-02-07,29986
2015-02-14,18064
2015-02-21,11541
2015-02-28,11512
2015-03-07,25562
2015-03-14,11980
2015-03-21,3804
2015-03-28,9577
2015-04-04,10595
2015-04-11,18604
2015-04-18,11905
2015-04-25,12981
2015-05-02,6217
2015-05-09,7500
2015-05-16,5773
2015-05-23,3871
2015-05-30,4490
2015-06-06,13143
2015-06-13,5461
2015-06-20,2260
2015-06-27,3015
2015-07-04,3189
2015-07-11,13521
2015-07-18,40009
2015-07-25,34833
2015-08-01,62196
2015-08-08,34266
2015-08-15,26050
2015-08-22,60117
2015-08-29,39860
2015-09-05,11117
2015-09-12,22116
2015-09-19,10903
2015-09-26,16743
2015-10-03,5298
2015-10-10,1606
2015-10-17,6352
2015-10-24,13971
2015-10-31,82985
2015-11-07,29638
2015-11-14,64212
2015-11-21,109463
2015-11-28,214085
2015-12-05,78414
2015-12-12,35149
2015-12-19,38139
2015-12-26,33221
2016-01-02,28673
2016-01-09,28266
2016-01-16,104898
2016-01-23,15170
2016-01-30,41297
2016-02-06,25474
2016-02-13,65645
2016-02-20,92812
2016-02-27,157716
2016-03-05,62754
2016-03-12,78113
2016-03-19,60005
2016-03-26,48703
2016-04-02,537545
2016-04-09,863158
2016-04-16,67974
