Label,Value
2013-04-20,999
2013-04-27,3677
2013-05-04,4271
2013-05-11,2999
2013-05-18,9992
2013-05-25,12146
2013-06-01,2010
2013-06-08,3763
2013-06-22,2704
2013-06-29,14090
2013-07-06,22556
2013-07-13,7608
2013-07-20,14059
2013-07-27,9277
2013-08-03,16872
2013-08-10,18025
2013-08-17,7084
2013-08-24,23514
2013-08-31,24567
2013-09-07,25851
2013-09-14,33984
2013-09-21,20821
2013-09-28,13221
2013-10-05,29777
2013-10-12,37295
2013-10-19,29849
2013-10-26,83485
2013-11-02,44846
2013-11-09,142263
2013-11-16,176809
2013-11-23,317354
2013-11-30,348602
2013-12-07,338180
2013-12-14,360834
2013-12-21,279177
2013-12-28,70934
2014-01-04,185864
2014-01-11,163330
2014-01-18,134713
2014-01-25,114718
2014-02-01,259826
2014-02-08,255947
2014-02-15,161747
2014-02-22,177364
2014-03-01,151128
2014-03-08,193404
2014-03-15,97831
2014-03-22,90904
2014-03-29,188853
2014-04-05,123649
2014-04-12,120247
2014-04-19,123683
2014-04-26,197980
2014-05-03,106801
2014-05-10,115448
2014-05-17,154891
2014-05-24,297136
2014-05-31,114847
2014-06-07,222420
2014-06-14,157458
2014-06-21,90375
2014-06-28,223028
2014-07-05,249344
2014-07-12,178938
2014-07-19,228298
2014-07-26,279664
2014-08-02,202212
2014-08-09,148374
2014-08-16,241411
2014-08-23,467412
2014-08-30,185698
2014-09-06,279526
2014-09-13,132373
2014-09-20,465528
2014-09-27,293811
2014-10-04,465036
2014-10-11,309103
2014-10-18,329333
2014-10-25,209183
2014-11-01,287758
2014-11-08,204293
2014-11-15,344986
2014-11-22,465572
2014-11-29,112733
2014-12-06,360340
2014-12-13,199272
2014-12-20,229422
2014-12-27,346325
2015-01-03,170873
2015-01-10,246847
2015-01-17,356545
2015-01-24,282599
2015-01-31,191477
2015-02-07,256316
2015-02-14,365686
2015-02-21,123683
2015-02-28,665402
2015-03-07,296567
2015-03-14,569948
2015-03-21,326914
2015-03-28,125780
2015-04-04,128069
2015-04-11,211901
2015-04-18,511594
2015-04-25,303641
2015-05-02,351603
2015-05-09,412931
2015-05-16,577623
2015-05-23,236827
2015-05-30,109630
2015-06-06,391551
2015-06-13,535380
2015-06-20,268756
2015-06-27,234901
2015-07-04,475721
2015-07-11,712025
2015-07-18,357000
2015-07-25,357579
2015-08-01,652829
2015-08-08,541086
2015-08-15,506390
2015-08-22,339050
2015-08-29,400253
2015-09-05,562717
2015-09-12,391572
2015-09-19,625876
2015-09-26,572913
2015-10-03,466280
2015-10-10,348391
2015-10-17,581274
2015-10-24,590545
2015-10-31,845291
2015-11-07,883934
2015-11-14,542990
2015-11-21,726433
2015-11-28,325767
2015-12-05,843397
2015-12-12,404959
2015-12-19,1052878
2015-12-26,663034
2016-01-02,280313
2016-01-09,512838
2016-01-16,404854
2016-01-23,1001875
2016-01-30,693540
2016-02-06,969571
2016-02-13,488636
2016-02-20,638345
2016-02-27,714980
2016-03-05,1097461
2016-03-12,526259
2016-03-19,431713
2016-03-26,531982
2016-04-02,602127
2016-04-09,1441311
2016-04-16,608559
2016-04-23,499687
2016-04-30,854784
2016-05-07,528447
2016-05-14,1007139
2016-05-21,786618
2016-05-28,581554
2016-06-04,805928
2016-06-11,812708
2016-06-18,820211
2016-06-25,390141
2016-07-02,474838
2016-07-09,614862
2016-07-16,776675
2016-07-23,558865
2016-07-30,702747
2016-08-06,415941
2016-08-13,409573
2016-08-20,328754
2016-08-27,589356
2016-09-03,510392
2016-09-10,624625
2016-09-17,687329
2016-09-24,744268
2016-10-01,514203
2016-10-08,739575
2016-10-15,522003
2016-10-22,390181
2016-10-29,297392
2016-11-05,638909
2016-11-12,714227
2016-11-19,678565
2016-11-26,701112
2016-12-03,803201
2016-12-10,680388
2016-12-17,964231
2016-12-24,1088615
2016-12-31,1148069
2017-01-07,930660
2017-01-14,728169
2017-01-21,618086
2017-01-28,628814
2017-02-04,709987
2017-02-11,734196
2017-02-18,894437
2017-02-25,686673
2017-03-04,726667
2017-03-11,1272863
2017-03-18,931421
2017-03-25,989709
2017-04-01,783413
2017-04-08,778619
2017-04-15,510532
2017-04-22,892927
2017-04-29,826925
2017-05-06,1144781
2017-05-13,1238375
2017-05-20,920514
2017-05-27,1628871
2017-06-03,1507474
2017-06-10,1906724
2017-06-17,2073528
2017-06-24,1452955
2017-07-01,1836346
2017-07-08,1315837
2017-07-15,1389911
2017-07-22,1556532
2017-07-29,1070504
2017-08-05,961834
2017-08-12,2050549
2017-08-19,1487118
2017-08-26,1070749
2017-09-02,1756060
2017-09-09,1718491
2017-09-16,1691983
2017-09-23,1084977
2017-09-30,1408258
2017-10-07,1980090
2017-10-14,2125881
2017-10-21,1391504
2017-10-28,1610471
2017-11-04,2603385
2017-11-11,2821881
2017-11-18,2223911
2017-11-25,2282375
2017-12-02,3861490
2017-12-09,4504915
2017-12-16,5728457
2017-12-23,4514202
2017-12-30,3141515
2018-01-06,4159341
2018-01-13,4570167
2018-01-20,3820002
2018-01-27,2433588
2018-02-03,3410317
2018-02-10,4365964
2018-02-17,2551320
2018-02-24,2551392
2018-03-03,2535990
2018-03-10,3661047
2018-03-17,2660461
2018-03-24,3098082
2018-03-31,2096132
2018-04-07,3298232
2018-04-14,4522444
2018-04-21,2745411
2018-04-28,3713814
2018-05-05,3300210
2018-05-12,4576331
2018-05-19,3591169
2018-05-26,3201113
2018-06-02,3342529
2018-06-09,4593312
2018-06-16,4542532
2018-06-23,3859602
2018-06-30,4340243
2018-07-07,6047934
2018-07-14,4346444
2018-07-21,5438384
2018-07-28,4530029
2018-08-04,5231782
2018-08-11,6085475
2018-08-18,5076884
2018-08-25,4208962
2018-09-01,4806949
2018-09-08,6933217
2018-09-15,6157016
2018-09-22,5407110
2018-09-29,5210593
2018-10-06,6977042
2018-10-13,7472262
2018-10-20,5778025
2018-10-27,6418177
2018-11-03,6463240
2018-11-10,8254620
2018-11-17,5908279
2018-11-24,7423575
2018-12-01,7017606
2018-12-08,9446227
2018-12-15,7694852
2018-12-22,7680489
2018-12-29,5676037
2019-01-05,4667705
2019-01-12,7580463
2019-01-19,5958015
2019-01-26,5577851
2019-02-02,6839558
2019-02-09,8520542
2019-02-16,6693704
2019-02-23,6565628
2019-03-02,8515671
2019-03-09,8253911
2019-03-16,8803074
2019-03-23,8107328
2019-03-30,7987245
2019-04-06,11022646
2019-04-13,10111071
2019-04-20,7112885
2019-04-27,9252521
2019-05-04,9420209
2019-05-11,13097360
2019-05-18,10274938
2019-05-25,9842966
2019-06-01,10431999
2019-06-08,13799743
2019-06-15,13713959
2019-06-22,10777015
2019-06-29,13498872
2019-07-06,15485665
2019-07-13,13651416
2019-07-20,10123695
2019-07-27,9197472
2019-08-03,11510931
2019-08-10,12680439
