Label,Value
2013-03-16,11358
2013-03-23,34962
2013-03-30,38996
2013-04-06,39354
2013-04-13,141927
2013-04-20,65814
2013-04-27,44301
2013-05-04,35024
2013-05-11,43677
2013-05-18,47211
2013-05-25,40048
2013-06-01,48253
2013-06-08,63621
2013-06-15,44583
2013-06-22,37400
2013-06-29,46582
2013-07-06,64113
2013-07-13,75231
2013-07-20,74313
2013-07-27,90935
2013-08-03,130914
2013-08-10,85264
2013-08-17,96506
2013-08-24,146129
2013-08-31,185949
2013-09-07,221489
2013-09-14,184413
2013-09-21,195073
2013-09-28,192473
2013-10-05,118882
2013-10-12,156442
2013-10-19,185668
2013-10-26,234985
2013-11-02,138551
2013-11-09,257351
2013-11-16,389477
2013-11-23,368769
2013-11-30,685704
2013-12-07,553455
2013-12-14,353247
2013-12-21,316114
2013-12-28,152793
2014-01-04,160401
2014-01-11,271541
2014-01-18,360040
2014-01-25,346235
2014-02-01,335560
2014-02-08,391611
2014-02-15,271513
2014-02-22,254333
2014-03-01,305443
2014-03-08,337720
2014-03-15,311671
2014-03-22,325491
2014-03-29,295725
2014-04-05,256625
2014-04-12,335779
2014-04-19,286196
2014-04-26,266551
2014-05-03,317493
2014-05-10,340176
2014-05-17,318883
2014-05-24,448240
2014-05-31,440432
2014-06-07,467162
2014-06-14,431791
2014-06-21,348368
2014-06-28,329715
2014-07-05,339307
2014-07-12,364450
2014-07-19,452829
2014-07-26,410427
2014-08-02,270621
2014-08-09,410048
2014-08-16,428376
2014-08-23,556478
2014-08-30,535886
2014-09-06,477135
2014-09-13,385298
2014-09-20,589559
2014-09-27,573301
2014-10-04,476934
2014-10-11,463450
2014-10-18,681904
2014-10-25,430386
2014-11-01,422284
2014-11-08,565322
2014-11-15,501673
2014-11-22,476963
2014-11-29,552061
2014-12-06,666719
2014-12-13,521152
2014-12-20,731566
2014-12-27,500906
2015-01-03,453381
2015-01-10,539397
2015-01-17,545336
2015-01-24,491892
2015-01-31,538927
2015-02-07,594926
2015-02-14,755763
2015-02-21,590961
2015-02-28,629051
2015-03-07,618195
2015-03-14,648050
2015-03-21,596087
2015-03-28,460372
2015-04-04,361397
2015-04-11,562431
2015-04-18,475850
2015-04-25,532067
2015-05-02,509906
2015-05-09,530831
2015-05-16,567643
2015-05-23,527322
2015-05-30,605203
2015-06-06,603562
2015-06-13,658340
2015-06-20,619526
2015-06-27,623498
2015-07-04,592441
2015-07-11,762558
2015-07-18,630171
2015-07-25,572074
2015-08-01,701832
2015-08-08,720722
2015-08-15,634612
2015-08-22,652665
2015-08-29,636970
2015-09-05,632116
2015-09-12,650183
2015-09-19,680208
2015-09-26,718797
2015-10-03,647984
2015-10-10,712066
2015-10-17,866519
2015-10-24,802265
2015-10-31,884210
2015-11-07,1027211
2015-11-14,899836
2015-11-21,849407
2015-11-28,886804
2015-12-05,826431
2015-12-12,899143
2015-12-19,1123264
2015-12-26,704217
2016-01-02,503627
2016-01-09,615382
2016-01-16,682399
2016-01-23,658266
2016-01-30,682568
2016-02-06,669358
2016-02-13,748141
2016-02-20,632846
2016-02-27,679331
2016-03-05,862558
2016-03-12,707028
2016-03-19,763631
2016-03-26,467791
2016-04-02,854669
2016-04-09,813398
2016-04-16,807455
2016-04-23,763118
2016-04-30,813658
2016-05-07,703973
2016-05-14,693901
2016-05-21,743377
2016-05-28,744628
2016-06-04,792709
2016-06-11,788875
2016-06-18,891041
2016-06-25,881767
2016-07-02,799609
2016-07-09,794609
2016-07-16,818090
2016-07-23,812426
2016-07-30,760685
2016-08-06,935612
2016-08-13,912232
2016-08-20,798473
2016-08-27,972910
2016-09-03,869840
2016-09-10,794488
2016-09-17,921002
2016-09-24,1020951
2016-10-01,877479
2016-10-08,976073
2016-10-15,908774
2016-10-22,986768
2016-10-29,1054930
2016-11-05,1070686
2016-11-12,1153420
2016-11-19,1293273
2016-11-26,1181884
2016-12-03,1179863
2016-12-10,1143081
2016-12-17,1339567
2016-12-24,1090865
2016-12-31,769102
2017-01-07,1179412
2017-01-14,1131225
2017-01-21,1150208
2017-01-28,1033347
2017-02-04,1060322
2017-02-11,1143951
