Label,Value
2013-03-23,2262
2013-04-20,489
2013-05-25,1646
2013-06-01,1644
2013-06-08,8552
2013-06-15,401
2013-07-06,4394
2013-07-13,3854
2013-07-20,2918
2013-07-27,710
2013-08-03,5024
2013-08-10,12742
2013-08-17,14642
2013-08-24,5305
2013-08-31,1308
2013-09-07,4036
2013-09-14,8748
2013-09-21,18219
2013-09-28,20945
2013-10-05,29692
2013-10-12,25617
2013-10-19,2790
2013-10-26,13256
2013-11-02,9987
2013-11-09,16078
2013-11-16,17390
2013-11-23,7652
2013-11-30,71253
2013-12-07,20905
2013-12-14,25076
2013-12-21,29994
2013-12-28,14477
2014-01-04,9082
2014-01-11,25166
2014-01-18,41237
2014-01-25,23080
2014-02-01,38476
2014-02-08,47733
2014-02-15,32260
2014-02-22,56602
2014-03-01,107216
2014-03-08,29949
2014-03-15,101073
2014-03-22,32280
2014-03-29,17395
2014-04-05,16781
2014-04-12,9235
2014-04-19,11125
2014-04-26,9148
2014-05-03,9662
2014-05-10,25349
2014-05-17,8624
2014-05-24,16220
2014-05-31,27459
2014-06-07,26476
2014-06-14,18330
2014-06-21,30991
2014-06-28,17745
2014-07-05,6974
2014-07-12,11110
2014-07-19,4337
2014-07-26,11944
2014-08-02,11759
2014-08-09,14639
2014-08-16,40925
2014-08-23,31741
2014-08-30,25546
2014-09-06,26480
2014-09-13,20965
2014-09-20,18223
2014-09-27,14864
2014-10-04,25034
2014-10-11,19909
2014-10-18,18130
2014-10-25,25744
2014-11-01,12959
2014-11-08,17936
2014-11-15,39947
2014-11-22,18140
2014-11-29,8898
2014-12-06,13581
2014-12-13,45309
2014-12-20,20530
2014-12-27,7193
2015-01-03,16594
2015-01-10,33823
2015-01-17,16014
2015-01-24,7423
2015-01-31,14712
2015-02-07,24093
2015-02-14,14767
2015-02-21,9069
2015-02-28,16908
2015-03-07,40826
2015-03-14,19334
2015-03-21,19311
2015-03-28,46004
2015-04-04,15818
2015-04-11,75961
2015-04-18,30657
2015-04-25,67587
2015-05-02,55729
2015-05-09,41235
2015-05-16,42339
2015-05-23,48109
2015-05-30,49284
2015-06-06,43270
2015-06-13,35675
2015-06-20,43799
2015-06-27,37861
2015-07-04,50481
2015-07-11,99962
2015-07-18,52711
2015-07-25,45575
2015-08-01,61175
2015-08-08,73423
2015-08-15,33059
2015-08-22,33771
2015-08-29,57752
2015-09-05,52836
2015-09-12,75929
2015-09-19,63099
2015-09-26,58955
2015-10-03,69037
2015-10-10,84509
2015-10-17,51072
2015-10-24,71123
2015-10-31,139185
2015-11-07,129907
2015-11-14,103943
2015-11-21,139442
2015-11-28,97292
2015-12-05,124925
2015-12-12,181748
2015-12-19,114272
2015-12-26,123246
2016-01-02,63618
2016-01-09,139434
2016-01-16,116663
2016-01-23,153267
2016-01-30,92963
2016-02-06,136157
2016-02-13,130439
2016-02-20,118661
2016-02-27,127745
2016-03-05,126863
2016-03-12,111018
2016-03-19,127777
2016-03-26,92651
2016-04-02,128214
2016-04-09,199202
2016-04-16,118038
2016-04-23,114808
2016-04-30,236763
2016-05-07,133700
2016-05-14,217792
2016-05-21,173915
2016-05-28,190520
2016-06-04,143656
2016-06-11,191371
2016-06-18,323477
2016-06-25,160355
2016-07-02,143477
2016-07-09,148689
2016-07-16,150132
2016-07-23,114105
2016-07-30,113229
2016-08-06,171894
2016-08-13,137919
2016-08-20,167910
2016-08-27,149630
2016-09-03,195158
2016-09-10,257232
2016-09-17,230908
2016-09-24,149101
2016-10-01,231069
2016-10-08,266823
2016-10-15,263446
2016-10-22,259045
2016-10-29,333910
2016-11-05,321977
2016-11-12,299876
2016-11-19,288957
2016-11-26,255266
2016-12-03,404725
2016-12-10,236973
2016-12-17,294193
2016-12-24,368765
2016-12-31,401383
2017-01-07,510456
2017-01-14,274959
2017-01-21,406763
2017-01-28,303904
2017-02-04,374203
2017-02-11,405467
2017-02-18,238999
2017-02-25,714014
2017-03-04,494907
2017-03-11,423309
2017-03-18,404221
2017-03-25,240183
2017-04-01,361742
2017-04-08,434207
2017-04-15,325359
2017-04-22,498389
2017-04-29,701539
2017-05-06,982781
2017-05-13,1422616
2017-05-20,1089005
2017-05-27,1941203
2017-06-03,1634884
2017-06-10,1490958
2017-06-17,577342
2017-06-24,548445
2017-07-01,431210
2017-07-08,610046
2017-07-15,361801
2017-07-22,450303
2017-07-29,494609
2017-08-05,523218
2017-08-12,713168
2017-08-19,4477874
2017-08-26,7227706
2017-09-02,2409498
2017-09-09,778441
2017-09-16,875568
2017-09-23,893786
2017-09-30,1039979
2017-10-07,936847
2017-10-14,1159122
2017-10-21,1801625
2017-10-28,1586300
2017-11-04,1812083
2017-11-11,1741992
2017-11-18,1371850
2017-11-25,1870614
2017-12-02,2252507
2017-12-09,2440593
2017-12-16,2230688
2017-12-23,2285826
2017-12-30,858368
2018-01-06,1448718
2018-01-13,2234416
2018-01-20,2099441
2018-01-27,2194977
2018-02-03,2925233
2018-02-10,1735604
2018-02-17,1078159
2018-02-24,1721272
2018-03-03,1659985
2018-03-10,1435405
2018-03-17,991509
2018-03-24,1639245
2018-03-31,1333752
2018-04-07,1316354
2018-04-14,1579129
2018-04-21,1565633
2018-04-28,1246289
2018-05-05,1261968
2018-05-12,1331458
2018-05-19,1707671
2018-05-26,934547
2018-06-02,1162663
2018-06-09,1615881
2018-06-16,1350711
2018-06-23,1081658
2018-06-30,1201545
2018-07-07,3201828
2018-07-14,1436288
2018-07-21,1646193
2018-07-28,1283573
2018-08-04,860929
2018-08-11,1622523
2018-08-18,1411859
2018-08-25,1302443
2018-09-01,715961
2018-09-08,1232764
2018-09-15,1295808
2018-09-22,1379495
2018-09-29,1019505
2018-10-06,1142100
2018-10-13,1406499
2018-10-20,1239133
2018-10-27,1157584
2018-11-03,1424896
2018-11-10,1532659
2018-11-17,1109407
2018-11-24,1566287
2018-12-01,1211539
2018-12-08,1294516
2018-12-15,1284200
2018-12-22,1429910
2018-12-29,886502
2019-01-05,691807
2019-01-12,1192107
2019-01-19,1254037
2019-01-26,1180248
2019-02-02,1300360
2019-02-09,1269187
2019-02-16,1470123
2019-02-23,1350824
2019-03-02,1907340
2019-03-09,773952
2019-03-16,1593418
2019-03-23,1423239
2019-03-30,1345288
2019-04-06,1939620
2019-04-13,1649949
2019-04-20,1323155
2019-04-27,1599563
2019-05-04,1157945
2019-05-11,1535432
2019-05-18,1709668
2019-05-25,1410778
2019-06-01,1572409
2019-06-08,1722352
2019-06-15,1749222
2019-06-22,1870700
2019-06-29,2255390
2019-07-06,1636360
2019-07-13,1831798
2019-07-20,1400792
2019-07-27,1342734
2019-08-03,2680079
2019-08-10,1772551
2019-08-17,1470972
2019-08-24,1517562
2019-08-31,1765028
2019-09-07,1729017
2019-09-14,1908418
2019-09-21,2264400
2019-09-28,1530725
2019-10-05,1555584
2019-10-12,1308362
2019-10-19,1133712
2019-10-26,1110198
2019-11-02,1045751
2019-11-09,1407343
2019-11-16,1191109
2019-11-23,1346919
2019-11-30,1143753
2019-12-07,1204838
2019-12-14,1519263
2019-12-21,1214132
2019-12-28,919816
2020-01-04,816488
2020-01-11,1083170
2020-01-18,1102232
2020-01-25,1214976
2020-02-01,745299
2020-02-08,1328921
2020-02-15,1270351
2020-02-22,1271829
2020-02-29,890463
2020-03-07,1324512
2020-03-14,1228026
2020-03-21,1067907
2020-03-28,895026
2020-04-04,1076734
2020-04-11,1410734
2020-04-18,1255715
2020-04-25,1529997
2020-05-02,2194627
2020-05-09,2658145
2020-05-16,1559245
2020-05-23,1516130
2020-05-30,2282635
2020-06-06,2117897
2020-06-13,2292715
2020-06-20,2254320
2020-06-27,1881207
2020-07-04,2301459
2020-07-11,2122821
2020-07-18,1647579
2020-07-25,1605352
2020-08-01,2749725
2020-08-08,2786728
2020-08-15,2663968
2020-08-22,1916759
2020-08-29,1956872
2020-09-05,2500741
2020-09-12,1689855
2020-09-19,1547291
2020-09-26,1714913
2020-10-03,2326139
2020-10-10,2328849
2020-10-17,1674890
2020-10-24,1862293
2020-10-31,2140537
2020-11-07,3244304
2020-11-14,2348384
2020-11-21,2764258
2020-11-28,2243280
2020-12-05,2668613
2020-12-12,1978340
2020-12-19,2470353
2020-12-26,1903718
2021-01-02,2027907
2021-01-09,4017200
2021-01-16,2707022
2021-01-23,2014833
2021-01-30,2481257
2021-02-06,2330761
2021-02-13,3653416
2021-02-20,3042843
2021-02-27,3159730
2021-03-06,2371479
2021-03-13,2510848
2021-03-20,3427488
2021-03-27,3138898
2021-04-03,3376658
2021-04-10,3828804
2021-04-17,2787133
2021-04-24,1806330
2021-05-01,1812427
2021-05-08,1868330
2021-05-15,1574571
2021-05-22,2160710
2021-05-29,1528615
2021-06-05,1724203
2021-06-12,1783640
2021-06-19,1665478
2021-06-26,990184
2021-07-03,1362947
2021-07-10,1794289
2021-07-17,1918565
2021-07-24,1272838
2021-07-31,1405362
2021-08-07,1509361
2021-08-14,1443589
2021-08-21,957610
2021-08-28,1400394
2021-09-04,1526237
2021-09-11,1030372
2021-09-18,1508813
2021-09-25,1134271
2021-10-02,1326130
2021-10-09,1488998
2021-10-16,848339
2021-10-23,2152214
2021-10-30,1426107
2021-11-06,929982
2021-11-13,1020521
2021-11-20,1159282
2021-11-27,1215614
2021-12-04,1679683
2021-12-11,2197488
2021-12-18,1102649
2021-12-25,1853258
2022-01-01,917492
2022-01-08,1148259
2022-01-15,819264
2022-01-22,872396
2022-01-29,857064
2022-02-05,1077120
2022-02-12,728148
2022-02-19,727025
2022-02-26,1073197
2022-03-05,944010
2022-03-12,1237218
2022-03-19,906927
2022-03-26,689879
2022-04-02,1207241
2022-04-09,1091028
2022-04-16,712365
2022-04-23,619252
2022-04-30,753325
2022-05-07,1087556
2022-05-14,831245
2022-05-21,718978
2022-05-28,508277
2022-06-04,740951
2022-06-11,712714
2022-06-18,651073
2022-06-25,750309
2022-07-02,930461
2022-07-09,487274
2022-07-16,626890
2022-07-23,698709
2022-07-30,657012
2022-08-06,920498
2022-08-13,724368
2022-08-20,701849
2022-08-27,746931
2022-09-03,481165
2022-09-10,551149
2022-09-17,479138
2022-09-24,923674
2022-10-01,473402
2022-10-08,501746
2022-10-15,696361
2022-10-22,494242
2022-10-29,503453
2022-11-05,713362
2022-11-12,492990
2022-11-19,624113
2022-11-26,697408
2022-12-03,555822
2022-12-10,556928
2022-12-17,610227
2022-12-24,444822
2022-12-31,494744
2023-01-07,504778
2023-01-14,656181
2023-01-21,547818
2023-01-28,617921
2023-02-04,456553
2023-02-11,527076
2023-02-18,124991
