Label,Value
2013-04-06,326
2013-04-13,3159
2013-04-20,4528
2013-04-27,2927
2013-05-04,2694
2013-05-11,2905
2013-05-18,4543
2013-05-25,577
2013-06-01,1489
2013-06-08,742
2013-06-15,550
2013-07-06,413
2013-07-13,780
2013-08-10,999
2013-08-17,2373
2013-08-24,756
2013-08-31,120
2013-09-07,4128
2013-09-14,2686
2013-09-21,4727
2013-09-28,1390
2013-10-05,6359
2013-10-12,9297
2013-10-19,9549
2013-10-26,12221
2013-11-02,9842
2013-11-09,20829
2013-11-16,24611
2013-11-23,38863
2013-11-30,93987
2013-12-07,80120
2013-12-14,30064
2013-12-21,35177
2013-12-28,4536
2014-01-04,16406
2014-01-11,48949
2014-01-18,31408
2014-01-25,29498
2014-02-01,56436
2014-02-08,59448
2014-02-15,32702
2014-02-22,33825
2014-03-01,33154
2014-03-08,39382
2014-03-15,19592
2014-03-22,13124
2014-03-29,34614
2014-04-05,35793
2014-04-12,24724
2014-04-19,9114
2014-04-26,12832
2014-05-03,14232
2014-05-10,25931
2014-05-17,17845
2014-05-24,21381
2014-05-31,27569
2014-06-07,28741
2014-06-14,17940
2014-06-21,14368
2014-06-28,33273
2014-07-05,35670
2014-07-12,21030
2014-07-19,19111
2014-07-26,22069
2014-08-02,24275
2014-08-09,12510
2014-08-16,19887
2014-08-23,16862
2014-08-30,18802
2014-09-06,21639
2014-09-13,29755
2014-09-20,16852
2014-09-27,20133
2014-10-04,34125
2014-10-11,17209
2014-10-18,15048
2014-10-25,25557
2014-11-01,31419
2014-11-08,52077
2014-11-15,25428
2014-11-22,20661
2014-11-29,30657
2014-12-06,19323
2014-12-13,21498
2014-12-20,36692
2014-12-27,10502
2015-01-03,10817
2015-01-10,21819
2015-01-17,47248
2015-01-24,28782
2015-01-31,36769
2015-02-07,13721
2015-02-14,17099
2015-02-21,21109
2015-02-28,37800
2015-03-07,27109
2015-03-14,48515
2015-03-21,35023
2015-03-28,10652
2015-04-04,22300
2015-04-11,15696
2015-04-18,21939
2015-04-25,16439
2015-05-02,17212
2015-05-09,19207
2015-05-16,26797
2015-05-23,38658
2015-05-30,26536
2015-06-06,19364
2015-06-13,12748
2015-06-20,18437
2015-06-27,14121
2015-07-04,19888
2015-07-11,22434
2015-07-18,10269
2015-07-25,18499
2015-08-01,12028
2015-08-08,21640
2015-08-15,17684
2015-08-22,28125
2015-08-29,23960
2015-09-05,16788
2015-09-12,11706
2015-09-19,31126
2015-09-26,23394
2015-10-03,21363
2015-10-10,29391
2015-10-17,23778
2015-10-24,40969
2015-10-31,41644
2015-11-07,40176
2015-11-14,32367
2015-11-21,25591
2015-11-28,27472
2015-12-05,40905
2015-12-12,44582
2015-12-19,62624
2015-12-26,28487
2016-01-02,25678
2016-01-09,36578
2016-01-16,38404
2016-01-23,56549
2016-01-30,80644
2016-02-06,22292
2016-02-13,27884
2016-02-20,18013
2016-02-27,32326
2016-03-05,45317
2016-03-12,21857
2016-03-19,20790
2016-03-26,25114
2016-04-02,25646
2016-04-09,19808
2016-04-16,19991
2016-04-23,27590
2016-04-30,35327
2016-05-07,16958
2016-05-14,18749
2016-05-21,21665
2016-05-28,22829
2016-06-04,12495
2016-06-11,29229
2016-06-18,19242
2016-06-25,38593
2016-07-02,29804
2016-07-09,15480
2016-07-16,27835
2016-07-23,27510
2016-07-30,30838
2016-08-06,26438
2016-08-13,13333
2016-08-20,15033
2016-08-27,33694
2016-09-03,30573
2016-09-10,19712
2016-09-17,17996
2016-09-24,11303
2016-10-01,13704
2016-10-08,20179
2016-10-15,19210
2016-10-22,28979
2016-10-29,22777
2016-11-05,31389
2016-11-12,14808
2016-11-19,18206
2016-11-26,11176
2016-12-03,33436
2016-12-10,76441
2016-12-17,21897
2016-12-24,43878
