Label,Value
2013-08-17,534715
2013-08-24,712683
2013-09-14,19881
2013-09-28,306445
2013-10-05,187894
2013-10-12,73426
2013-10-26,50372
2013-11-02,288581
2013-11-09,3128551
2013-11-16,1967475
2013-11-23,3423575
2013-11-30,12588241
2013-12-07,9431922
2013-12-14,7029616
2013-12-21,5111169
2013-12-28,2934059
2014-01-04,3543095
2014-01-11,3172766
2014-01-18,3515254
2014-01-25,8459843
2014-02-01,2768365
2014-02-08,2377323
2014-02-15,2853711
2014-02-22,5569354
2014-03-01,6866838
2014-03-08,1194623
2014-03-15,700169
2014-03-22,1066498
2014-03-29,2145240
2014-04-05,736250
2014-04-12,2751783
2014-04-19,2002573
2014-04-26,610032
2014-05-03,1919566
2014-05-10,492781
2014-05-17,347964
2014-05-24,1562837
2014-05-31,883081
2014-06-07,531496
2014-06-14,1682396
2014-06-21,1497386
2014-06-28,340727
2014-07-05,2459611
2014-07-12,2510843
2014-07-19,1272534
2014-07-26,889301
2014-08-02,1651294
2014-08-09,172859
2014-08-16,348808
2014-08-23,1301185
2014-08-30,388619
2014-09-06,1178903
2014-09-13,155936
2014-09-27,1717265
2014-10-04,1283864
2014-10-11,3802248
2014-10-18,2696718
2014-10-25,3659660
2014-11-01,4832820
2014-11-08,6185940
2014-11-15,1648803
2014-11-22,1604416
2014-11-29,1231954
2014-12-06,1719496
2014-12-13,2414687
2014-12-20,3409777
2014-12-27,596912
2015-01-03,2633475
2015-01-10,1827394
2015-01-17,1165981
2015-01-24,1250812
2015-01-31,1029099
2015-02-07,2702927
2015-02-14,769416
2015-02-21,1674560
2015-02-28,1430775
2015-03-07,1455712
2015-03-14,1569672
2015-03-21,123801
2015-03-28,140811
2015-04-04,564247
2015-04-11,1487081
2015-04-18,1853105
2015-04-25,1494242
2015-05-02,733929
2015-05-09,1901053
2015-05-16,739500
2015-05-23,2478340
2015-05-30,3519357
2015-06-06,1928945
2015-06-13,1742620
2015-06-20,2262823
2015-06-27,2865102
2015-07-04,4108391
2015-07-11,25563984
2015-07-18,5586362
2015-07-25,5684665
2015-08-01,3084523
2015-08-08,11838655
2015-08-15,8214475
2015-08-22,10296608
2015-08-29,6661494
2015-09-05,7062992
2015-09-12,4899080
2015-09-19,7949210
2015-09-26,5800420
2015-10-03,3678443
2015-10-10,10436145
2015-10-17,21354994
2015-10-24,20177214
2015-10-31,4156098
2015-11-07,16740497
2015-11-14,8855215
2015-11-21,2663012
2015-11-28,6268220
2015-12-05,4136182
2015-12-12,5687474
2015-12-19,7746448
2015-12-26,5360369
2016-01-02,5631946
2016-01-09,4168717
2016-01-16,3668967
2016-01-23,4651744
2016-01-30,4878900
2016-02-06,5263251
2016-02-13,5438860
2016-02-20,3161987
2016-02-27,3729664
2016-03-05,7123360
2016-03-12,4495015
2016-03-19,4409499
2016-03-26,4348917
2016-04-02,3455521
2016-04-09,4735229
2016-04-16,3616611
2016-04-23,9241765
2016-04-30,7089474
2016-05-07,5639063
2016-05-14,5164852
2016-05-21,4691504
2016-05-28,5827149
2016-06-04,5263754
2016-06-11,6239467
2016-06-18,13714636
2016-06-25,6977816
2016-07-02,5283451
2016-07-09,10383621
2016-07-16,10470572
2016-07-23,4878016
2016-07-30,4196321
2016-08-06,8507312
2016-08-13,5261550
2016-08-20,6604712
2016-08-27,6087544
2016-09-03,3136801
2016-09-10,6791328
2016-09-17,7108337
2016-09-24,7796592
2016-10-01,8619621
2016-10-08,6174878
2016-10-15,10742783
2016-10-22,12059712
2016-10-29,10461535
2016-11-05,9449667
2016-11-12,12028186
2016-11-19,10528439
2016-11-26,22568851
2016-12-03,25897760
2016-12-10,17302829
2016-12-17,16770067
2016-12-24,27893960
2016-12-31,26756673
2017-01-07,28577925
2017-01-14,23312914
2017-01-21,36307159
2017-01-28,25065607
2017-02-04,31928380
2017-02-11,37300379
2017-02-18,24622606
2017-02-25,25610903
2017-03-04,42197763
2017-03-11,33391082
2017-03-18,27827211
2017-03-25,32265216
2017-04-01,37469946
2017-04-08,41989958
2017-04-15,22444578
2017-04-22,23337990
2017-04-29,39014998
2017-05-06,41578532
2017-05-13,40250473
2017-05-20,28416330
2017-05-27,53560193
2017-06-03,47004505
2017-06-10,46913274
2017-06-17,57444357
2017-06-24,34740067
2017-07-01,37929623
2017-07-08,29048333
2017-07-15,43836648
2017-07-22,46678683
2017-07-29,43348292
2017-08-05,63605205
2017-08-12,45052413
2017-08-19,49259149
2017-08-26,56095620
2017-09-02,73733080
2017-09-09,76637780
2017-09-16,58349935
2017-09-23,30229692
2017-09-30,48892235
2017-10-07,105292250
2017-10-14,75203012
2017-10-21,77879953
2017-10-28,71193164
2017-11-04,119816789
2017-11-11,149537210
2017-11-18,85283780
2017-11-25,104304249
2017-12-02,127059600
2017-12-09,129528405
2017-12-16,164565672
2017-12-23,213285583
2017-12-30,77131575
2018-01-06,86593256
2018-01-13,97720953
2018-01-20,81272466
2018-01-27,108020453
2018-02-03,104090705
2018-02-10,85526948
2018-02-17,200595520
2018-02-24,99073463
2018-03-03,117323384
2018-03-10,109188165
2018-03-17,69845915
2018-03-24,61878571
2018-03-31,76011745
2018-04-07,118647118
2018-04-14,112836991
2018-04-21,103783595
2018-04-28,150370453
2018-05-05,234383152
2018-05-12,171475891
2018-05-19,151933671
2018-05-26,141660503
2018-06-02,167351602
2018-06-09,139285592
2018-06-16,125809900
2018-06-23,101928917
2018-06-30,97315287
2018-07-07,145059075
2018-07-14,123396616
2018-07-21,133631037
2018-07-28,105623454
2018-08-04,173482400
2018-08-11,145214696
2018-08-18,132632582
2018-08-25,83070957
2018-09-01,61616531
2018-09-08,140946903
2018-09-15,110295792
2018-09-22,143616336
2018-09-29,137806965
2018-10-06,153522501
2018-10-13,131839042
2018-10-20,138324766
2018-10-27,120377225
2018-11-03,201179806
2018-11-10,243450536
2018-11-17,162294636
2018-11-24,124663601
2018-12-01,125293885
2018-12-08,176371821
2018-12-15,149767119
2018-12-22,163855801
2018-12-29,141708724
2019-01-05,123251309
2019-01-12,146800479
2019-01-19,162784214
2019-01-26,134376244
2019-02-02,162946341
2019-02-09,212420334
2019-02-16,165516528
2019-02-23,176821678
2019-03-02,204773651
2019-03-09,171561782
2019-03-16,203253276
2019-03-23,170710958
2019-03-30,189929765
2019-04-06,237480702
2019-04-13,186882500
2019-04-20,146774355
2019-04-27,149780986
2019-05-04,184888458
2019-05-11,199161213
2019-05-18,192321406
2019-05-25,163979529
2019-06-01,216259555
2019-06-08,211060082
2019-06-15,197215144
2019-06-22,238297441
2019-06-29,206110593
2019-07-06,244943836
2019-07-13,202152085
2019-07-20,150479540
2019-07-27,123136192
2019-08-03,201473173
2019-08-10,209845806
2019-08-17,164819691
2019-08-24,143900825
2019-08-31,175567187
2019-09-07,217460711
2019-09-14,204192142
2019-09-21,175823500
2019-09-28,195719020
2019-10-05,215390607
2019-10-12,188052333
2019-10-19,162525245
2019-10-26,158341506
2019-11-02,213750500
2019-11-09,224948465
2019-11-16,187695497
2019-11-23,180258722
2019-11-30,226569570
2019-12-07,242071548
2019-12-14,194635582
2019-12-21,212466920
2019-12-28,178849174
2020-01-04,241831488
2020-01-11,202265452
2020-01-18,209775440
2020-01-25,187638605
2020-02-01,243610940
2020-02-08,294148687
2020-02-15,252332091
2020-02-22,197044326
2020-02-29,191578810
2020-03-07,252237810
2020-03-14,216265769
2020-03-21,213734169
