Label,Value
2013-04-20,2848
2013-05-11,1502
2013-08-10,3011
2013-08-17,99
2013-08-31,4439
2013-09-07,7819
2013-09-14,8826
2013-09-21,121
2013-09-28,4055
2013-10-05,2166
2013-10-12,2903
2013-11-02,12777
2013-11-09,9402
2013-11-16,12926
2013-11-23,2841
2013-11-30,10077
2013-12-07,8599
2013-12-14,3054
2013-12-21,13599
2014-01-04,14448
2014-01-11,5327
2014-01-18,1199
2014-01-25,5122
2014-02-01,21861
2014-02-08,9797
2014-02-15,8746
2014-02-22,6334
2014-03-01,4752
2014-03-08,18040
2014-03-22,28371
2014-03-29,36311
2014-04-05,19729
2014-04-12,18469
2014-04-19,986
2014-04-26,2558
2014-05-03,4632
2014-05-10,6370
2014-05-17,23572
2014-05-24,22723
2014-05-31,48343
2014-06-07,9953
2014-06-14,2229
2014-06-21,11447
2014-06-28,7525
2014-07-05,12087
2014-07-12,3536
2014-07-19,6407
2014-07-26,3718
2014-08-02,9107
2014-08-09,10482
2014-08-16,7759
2014-08-23,3965
2014-08-30,30500
2014-09-06,41220
2014-09-13,3207
2014-09-20,2322
2014-09-27,250
2014-10-04,5318
2014-10-11,5571
2014-10-18,6410
2014-10-25,9142
2014-11-01,2664
2014-11-08,490
2014-11-15,1409
2014-11-29,52
2014-12-06,2094
2014-12-13,608
2014-12-20,1827
2014-12-27,1144
2015-01-03,3205
2015-01-10,1715
2015-01-17,1947
2015-01-31,1014
2015-02-07,145
2015-02-14,95
2015-02-21,1251
2015-02-28,2594
2015-03-21,8771
2015-03-28,5606
2015-04-04,7477
2015-04-11,17033
2015-04-18,15052
2015-04-25,14540
2015-05-02,8490
2015-05-09,11570
2015-05-16,4142
2015-05-23,8211
2015-05-30,4833
2015-06-06,17095
2015-06-13,10906
2015-06-20,4178
2015-06-27,4196
2015-07-04,26583
2015-07-11,10635
2015-07-18,14500
2015-07-25,7845
2015-08-01,77458
2015-08-08,41417
2015-08-15,18579
2015-08-22,11256
2015-08-29,16331
2015-09-05,22135
2015-09-12,12560
2015-09-19,4842
2015-09-26,33841
2015-10-03,47071
2015-10-10,26414
2015-10-17,10146
2015-10-24,12464
2015-10-31,57888
2015-11-07,39575
2015-11-14,14843
2015-11-21,42801
2015-11-28,38366
2015-12-05,34935
2015-12-12,32879
2015-12-19,48875
2015-12-26,14473
2016-01-02,31550
2016-01-09,31291
2016-01-16,50175
2016-01-23,50945
2016-01-30,50749
2016-02-06,57484
2016-02-13,38966
2016-02-20,35530
2016-02-27,31961
2016-03-05,59953
2016-03-12,28347
2016-03-19,34156
2016-03-26,39498
2016-04-02,36374
2016-04-09,44993
2016-04-16,43293
2016-04-23,43081
2016-04-30,32256
2016-05-07,29128
2016-05-14,32716
2016-05-21,31459
2016-05-28,21567
2016-06-04,141866
