Label,Value
2013-11-02,866
2013-11-23,2012
2013-11-30,1122
2013-12-28,112
2014-01-18,319
2015-08-29,4598
2015-10-17,161
2015-10-31,60757
2015-11-21,403
2016-02-13,118
2016-07-30,120000
2016-08-06,1556
2016-08-13,15012
2016-08-20,49721
2016-09-03,3382
2016-10-08,2289
2016-10-15,7100
2016-12-10,2959
2016-12-24,5155
2016-12-31,12878
2017-01-07,7260
2017-01-14,114180
2017-01-21,71570
2017-01-28,115477
2017-02-04,577209
2017-02-11,403490
2017-02-18,183523
2017-02-25,77421
2017-03-04,119500
2017-03-11,96940
2017-03-18,138900
2017-03-25,13297
2017-04-01,45715
2017-04-08,500
2017-04-15,500
2017-04-29,3500
2017-05-06,4000
2017-05-13,4000
2017-05-20,5500
2017-05-27,1000
2017-06-10,4350
2017-06-17,2904
2017-06-24,6000
2017-07-01,12000
2017-07-08,42815
2017-07-15,172525
2017-07-22,39577
2017-07-29,44294
2017-08-05,23447
2017-08-12,21879
2017-08-19,81234
2017-08-26,109806
2017-09-02,28269
2017-09-09,41138
2017-09-16,383086
2017-09-23,464249
2017-09-30,243552
2017-10-07,64791
2017-10-14,109312
2017-10-21,80175
2017-10-28,35299
2017-11-04,302325
2017-11-11,91284
2017-11-18,586396
2017-11-25,50708
2017-12-02,300524
2017-12-09,777278
2017-12-16,252345
2017-12-23,369865
2017-12-30,435803
2018-01-06,441363
2018-01-13,649582
2018-01-20,429726
2018-01-27,192178
2018-02-03,116838
2018-02-10,350062
2018-02-17,437392
2018-02-24,357356
2018-03-03,287667
2018-03-10,283788
2018-03-17,233942
2018-03-24,88301
2018-03-31,181066
2018-04-07,300260
2018-04-14,158342
2018-04-21,183067
2018-04-28,133359
2018-05-05,209538
2018-05-12,351737
2018-05-19,272338
2018-05-26,191993
2018-06-02,234046
2018-06-09,186509
2018-06-16,70904
2018-06-23,203238
2018-06-30,180697
2018-07-07,194608
2018-07-14,157817
2018-07-21,223817
2018-07-28,329962
2018-08-04,433991
2018-08-11,186528
2018-08-18,192361
2018-08-25,159417
2018-09-01,168916
2018-09-08,271188
2018-09-15,208106
2018-09-22,197271
2018-09-29,171272
2018-10-06,398504
2018-10-13,1114273
2018-10-20,440676
2018-10-27,417901
2018-11-03,712813
2018-11-10,519190
2018-11-17,300323
2018-11-24,346043
2018-12-01,241757
2018-12-08,362446
2018-12-15,390954
2018-12-22,350828
2018-12-29,419438
2019-01-05,358063
2019-01-12,437881
2019-01-19,357344
2019-01-26,348392
2019-02-02,349159
2019-02-09,341164
2019-02-16,297618
2019-02-23,255081
2019-03-02,382116
2019-03-09,328674
2019-03-16,253599
2019-03-23,351999
2019-03-30,318352
2019-04-06,364876
2019-04-13,408362
2019-04-20,248001
2019-04-27,387692
2019-05-04,453636
2019-05-11,349332
2019-05-18,372292
2019-05-25,411411
2019-06-01,316060
2019-06-08,326827
2019-06-15,454699
2019-06-22,513950
2019-06-29,643685
2019-07-06,1020396
2019-07-13,559785
2019-07-20,265261
2019-07-27,383694
2019-08-03,511670
2019-08-10,348967
2019-08-17,363575
2019-08-24,591170
2019-08-31,730220
2019-09-07,1018667
2019-09-14,859476
2019-09-21,875646
2019-09-28,654653
2019-10-05,438834
2019-10-12,514913
2019-10-19,426113
2019-10-26,627346
2019-11-02,488894
2019-11-09,370184
2019-11-16,374467
2019-11-23,580874
2019-11-30,420285
2019-12-07,583684
2019-12-14,577721
2019-12-21,580232
2019-12-28,592112
2020-01-04,551438
2020-01-11,588373
2020-01-18,683521
2020-01-25,589687
2020-02-01,692845
2020-02-08,810379
2020-02-15,501156
2020-02-22,878606
2020-02-29,832848
2020-03-07,858735
2020-03-14,1283130
2020-03-21,577060
2020-03-28,447876
2020-04-04,609861
2020-04-11,589160
2020-04-18,492554
2020-04-25,696443
2020-05-02,1008774
2020-05-09,1154491
2020-05-16,841191
2020-05-23,695792
2020-05-30,642249
2020-06-06,2190546
2020-06-13,1854972
2020-06-20,1468545
2020-06-27,1557103
2020-07-04,1201393
2020-07-11,1768963
2020-07-18,2245462
2020-07-25,1740980
2020-08-01,1671897
2020-08-08,1948360
2020-08-15,1940084
2020-08-22,1671415
2020-08-29,1706236
2020-09-05,1900935
2020-09-12,1397420
2020-09-19,1516708
2020-09-26,1688464
2020-10-03,1372055
2020-10-10,1886326
2020-10-17,1185879
2020-10-24,1258640
2020-10-31,1342540
2020-11-07,1838680
2020-11-14,1592318
2020-11-21,2141445
2020-11-28,1888994
2020-12-05,1809620
2020-12-12,1212941
2020-12-19,1824039
2020-12-26,1211079
2021-01-02,1920376
2021-01-09,2248445
2021-01-16,1823844
2021-01-23,1446960
2021-01-30,1890644
2021-02-06,1411081
2021-02-13,2405273
2021-02-20,3219489
2021-02-27,1702057
2021-03-06,2561603
2021-03-13,2350355
2021-03-20,1853654
2021-03-27,1841322
2021-04-03,1392794
2021-04-10,1655173
2021-04-17,1767185
2021-04-24,1668881
2021-05-01,1347909
2021-05-08,2532514
2021-05-15,1446218
2021-05-22,2176639
2021-05-29,1706318
2021-06-05,2713517
2021-06-12,1900955
2021-06-19,1380809
2021-06-26,2192927
2021-07-03,1224010
2021-07-10,1448878
2021-07-17,1722731
2021-07-24,630365
2021-07-31,925104
2021-08-07,1951441
2021-08-14,726731
2021-08-21,1155605
2021-08-28,1747873
2021-09-04,1989604
2021-09-11,942241
2021-09-18,984548
2021-09-25,933017
2021-10-02,1275866
2021-10-09,1596391
2021-10-16,1178990
2021-10-23,1177904
2021-10-30,1553488
2021-11-06,1873453
2021-11-13,1516005
2021-11-20,1711144
2021-11-27,1330098
2021-12-04,1422389
2021-12-11,964032
2021-12-18,1107837
2021-12-25,851506
2022-01-01,803069
2022-01-08,1009043
2022-01-15,833230
2022-01-22,965612
2022-01-29,483060
2022-02-05,750633
2022-02-12,783938
2022-02-19,512055
2022-02-26,549010
2022-03-05,636778
2022-03-12,468672
2022-03-19,659086
2022-03-26,721815
2022-04-02,1060496
2022-04-09,723815
2022-04-16,666173
2022-04-23,2131073
2022-04-30,784576
2022-05-07,897278
2022-05-14,885593
2022-05-21,556383
2022-05-28,651056
2022-06-04,1047597
2022-06-11,741180
2022-06-18,857321
2022-06-25,578954
2022-07-02,718344
2022-07-09,621560
2022-07-16,304954
2022-07-23,441821
2022-07-30,489365
2022-08-06,470650
2022-08-13,438732
2022-08-20,594388
2022-08-27,501138
2022-09-03,582834
2022-09-10,706042
2022-09-17,771583
2022-09-24,623434
2022-10-01,348261
2022-10-08,410986
2022-10-15,376363
2022-10-22,255700
2022-10-29,636385
2022-11-05,430036
2022-11-12,362500
2022-11-19,416517
2022-11-26,622690
2022-12-03,530405
2022-12-10,720349
2022-12-17,620115
2022-12-24,946108
2022-12-31,350538
2023-01-07,452249
2023-01-14,548878
2023-01-21,773597
2023-01-28,737507
2023-02-04,802508
2023-02-11,1466601
2023-02-18,217681
