Label,Value
2013-03-16,1902
2013-03-23,16008
2013-03-30,18398
2013-04-06,39914
2013-04-13,69923
2013-04-20,30652
2013-04-27,20378
2013-05-04,27541
2013-05-11,17630
2013-05-18,13627
2013-05-25,22846
2013-06-01,29793
2013-06-08,33855
2013-06-15,45745
2013-06-22,30845
2013-06-29,40782
2013-07-06,47790
2013-07-13,56566
2013-07-20,50732
2013-07-27,58930
2013-08-03,49115
2013-08-10,47173
2013-08-17,63597
2013-08-24,88173
2013-08-31,98306
2013-09-07,101935
2013-09-14,88381
2013-09-21,104213
2013-09-28,120925
2013-10-05,189420
2013-10-12,159651
2013-10-19,213887
2013-10-26,187726
2013-11-02,159561
2013-11-09,326428
2013-11-16,529575
2013-11-23,478844
2013-11-30,785056
2013-12-07,802746
2013-12-14,414904
2013-12-21,384775
2013-12-28,215629
2014-01-04,231294
2014-01-11,351537
2014-01-18,262104
2014-01-25,292761
2014-02-01,307438
2014-02-08,487117
2014-02-15,351235
2014-02-22,341057
2014-03-01,302249
2014-03-08,379719
2014-03-15,344837
2014-03-22,282613
2014-03-29,236834
2014-04-05,246766
2014-04-12,281193
2014-04-19,261092
2014-04-26,237347
2014-05-03,196806
2014-05-10,251270
2014-05-17,305452
2014-05-24,295371
2014-05-31,299972
2014-06-07,326537
2014-06-14,325255
2014-06-21,278259
2014-06-28,305067
2014-07-05,348260
2014-07-12,403384
2014-07-19,319914
2014-07-26,253892
2014-08-02,280942
2014-08-09,347609
2014-08-16,282086
2014-08-23,308994
2014-08-30,332271
2014-09-06,282778
2014-09-13,348790
2014-09-20,333381
2014-09-27,382010
2014-10-04,364246
2014-10-11,442996
2014-10-18,333208
2014-10-25,305519
2014-11-01,309432
2014-11-08,329244
2014-11-15,358903
2014-11-22,382853
2014-11-29,363508
2014-12-06,477377
2014-12-13,432137
2014-12-20,449485
2014-12-27,229258
2015-01-03,226635
2015-01-10,349407
2015-01-17,482194
2015-01-24,421375
2015-01-31,414402
2015-02-07,454966
2015-02-14,441608
2015-02-21,416259
2015-02-28,420591
2015-03-07,477031
2015-03-14,391561
2015-03-21,426418
2015-03-28,281133
2015-04-04,250019
2015-04-11,359279
2015-04-18,330400
2015-04-25,324986
2015-05-02,328636
2015-05-09,383224
2015-05-16,433794
2015-05-23,413471
2015-05-30,379960
2015-06-06,460930
2015-06-13,353001
2015-06-20,468108
2015-06-27,506626
2015-07-04,596299
2015-07-11,491044
2015-07-18,505704
2015-07-25,375141
2015-08-01,461324
2015-08-08,544745
2015-08-15,465810
2015-08-22,458919
2015-08-29,411557
2015-09-05,489037
2015-09-12,417170
2015-09-19,484167
2015-09-26,399393
2015-10-03,533029
2015-10-10,443829
2015-10-17,441809
2015-10-24,547029
2015-10-31,505325
2015-11-07,676249
2015-11-14,580262
2015-11-21,400656
2015-11-28,577664
2015-12-05,620603
2015-12-12,580732
2015-12-19,628877
2015-12-26,455100
2016-01-02,453735
2016-01-09,504946
2016-01-16,620210
2016-01-23,516498
2016-01-30,630180
2016-02-06,502985
2016-02-13,624631
2016-02-20,495931
2016-02-27,557988
2016-03-05,563621
2016-03-12,636851
2016-03-19,669938
2016-03-26,578914
2016-04-02,565506
2016-04-09,579333
2016-04-16,530719
2016-04-23,527739
2016-04-30,477645
2016-05-07,478435
2016-05-14,513352
2016-05-21,472721
2016-05-28,461847
2016-06-04,622712
2016-06-11,539978
2016-06-18,532675
2016-06-25,531053
2016-07-02,471258
2016-07-09,478221
2016-07-16,442554
2016-07-23,415443
2016-07-30,433306
2016-08-06,674257
2016-08-13,640258
2016-08-20,460466
2016-08-27,558617
2016-09-03,533185
2016-09-10,523171
2016-09-17,514782
2016-09-24,645578
