Label,Value
2013-03-16,37627
2013-03-23,89197
2013-03-30,96363
2013-04-06,185998
2013-04-13,273181
2013-04-20,161189
2013-04-27,191025
2013-05-04,151409
2013-05-11,113330
2013-05-18,144992
2013-05-25,187946
2013-06-01,188492
2013-06-08,176060
2013-06-15,136505
2013-06-22,167487
2013-06-29,136058
2013-07-06,203796
2013-07-13,195513
2013-07-20,211602
2013-07-27,205639
2013-08-03,217099
2013-08-10,216857
2013-08-17,282264
2013-08-24,318035
2013-08-31,305498
2013-09-07,320051
2013-09-14,284226
2013-09-21,317830
2013-09-28,304756
2013-10-05,309602
2013-10-12,211680
2013-10-19,342932
2013-10-26,408062
2013-11-02,430336
2013-11-09,1082002
2013-11-16,1110282
2013-11-23,1527322
2013-11-30,2895198
2013-12-07,1866619
2013-12-14,1260979
2013-12-21,1248518
2013-12-28,493140
2014-01-04,818236
2014-01-11,1053205
2014-01-18,761056
2014-01-25,862539
2014-02-01,892750
2014-02-08,883557
2014-02-15,1006619
2014-02-22,749874
2014-03-01,866463
2014-03-08,859833
2014-03-15,621895
2014-03-22,590209
2014-03-29,639633
2014-04-05,646740
2014-04-12,536543
2014-04-19,696465
2014-04-26,540193
2014-05-03,523931
2014-05-10,615451
2014-05-17,507895
2014-05-24,773709
2014-05-31,840333
2014-06-07,838262
2014-06-14,890323
2014-06-21,918265
2014-06-28,788759
2014-07-05,705457
2014-07-12,836102
2014-07-19,623992
2014-07-26,631392
2014-08-02,716950
2014-08-09,730325
2014-08-16,846949
2014-08-23,716175
2014-08-30,716494
2014-09-06,665073
2014-09-13,889024
2014-09-20,1027304
2014-09-27,796982
2014-10-04,882619
2014-10-11,756609
2014-10-18,731960
2014-10-25,867670
2014-11-01,672032
2014-11-08,746070
2014-11-15,753161
2014-11-22,645895
2014-11-29,731329
2014-12-06,825589
2014-12-13,644954
2014-12-20,740505
2014-12-27,488914
2015-01-03,543775
2015-01-10,728726
2015-01-17,827872
2015-01-24,733473
2015-01-31,743711
2015-02-07,700758
2015-02-14,724907
2015-02-21,680666
2015-02-28,779623
2015-03-07,785444
2015-03-14,749912
2015-03-21,629885
2015-03-28,546403
2015-04-04,615400
2015-04-11,643720
2015-04-18,618047
2015-04-25,664956
2015-05-02,683394
2015-05-09,610336
2015-05-16,681669
2015-05-23,653767
2015-05-30,687726
2015-06-06,706423
2015-06-13,741826
2015-06-20,737498
2015-06-27,722596
2015-07-04,810661
2015-07-11,730138
2015-07-18,703348
2015-07-25,753956
2015-08-01,790941
2015-08-08,813828
2015-08-15,800551
2015-08-22,906348
2015-08-29,819726
2015-09-05,709521
2015-09-12,837622
2015-09-19,814623
2015-09-26,747160
2015-10-03,852139
2015-10-10,813710
2015-10-17,892411
2015-10-24,965028
2015-10-31,1080479
2015-11-07,1296086
2015-11-14,1003304
2015-11-21,986685
2015-11-28,969957
2015-12-05,1038826
2015-12-12,985782
2015-12-19,1063972
2015-12-26,632299
2016-01-02,607066
2016-01-09,804845
2016-01-16,994423
2016-01-23,939889
2016-01-30,1080107
2016-02-06,1016371
2016-02-13,1013676
2016-02-20,992120
2016-02-27,1135827
2016-03-05,1156920
2016-03-12,1117072
2016-03-19,981928
2016-03-26,981252
2016-04-02,1091392
2016-04-09,1103001
2016-04-16,1154531
2016-04-23,1142770
2016-04-30,1227609
2016-05-07,1072570
2016-05-14,1216363
2016-05-21,1266631
2016-05-28,1492867
2016-06-04,1434639
2016-06-11,1227659
2016-06-18,1489311
2016-06-25,1374748
2016-07-02,1376130
2016-07-09,1288617
2016-07-16,1187360
2016-07-23,1123649
2016-07-30,1300322
2016-08-06,1356223
2016-08-13,1375121
2016-08-20,1269453
2016-08-27,1423733
2016-09-03,1224454
2016-09-10,1314281
2016-09-17,1284654
2016-09-24,1294516
2016-10-01,1551166
2016-10-08,1462848
2016-10-15,1500520
2016-10-22,1503836
2016-10-29,1583961
2016-11-05,1580986
2016-11-12,1444241
2016-11-19,1726282
2016-11-26,1699121
2016-12-03,1846864
2016-12-10,1989805
2016-12-17,1793689
2016-12-24,1831078
2016-12-31,1476400
2017-01-07,2363470
2017-01-14,2046072
2017-01-21,1796560
2017-01-28,1749934
2017-02-04,2116956
2017-02-11,1925285
2017-02-18,1660442
2017-02-25,2140389
2017-03-04,2234750
2017-03-11,2348445
2017-03-18,2491149
2017-03-25,2262619
2017-04-01,2288523
2017-04-08,2408904
2017-04-15,2029446
2017-04-22,2040730
2017-04-29,2611413
2017-05-06,3676742
2017-05-13,3670015
2017-05-20,3938685
2017-05-27,6635391
2017-06-03,4055861
2017-06-10,5463547
2017-06-17,4694014
2017-06-24,3705113
2017-07-01,3954225
2017-07-08,2893240
2017-07-15,3395040
2017-07-22,3817491
2017-07-29,3434529
2017-08-05,3640444
2017-08-12,5307101
2017-08-19,5355881
2017-08-26,3916288
2017-09-02,5042613
2017-09-09,4722797
2017-09-16,5392797
2017-09-23,3481675
2017-09-30,3853183
2017-10-07,3907875
2017-10-14,4734920
2017-10-21,4555405
2017-10-28,4745811
2017-11-04,7004261
2017-11-11,5656818
2017-11-18,5838603
2017-11-25,7674906
2017-12-02,13607817
2017-12-09,16782294
2017-12-16,17115997
2017-12-23,19123777
2017-12-30,8718402
2018-01-06,16146736
2018-01-13,15643864
2018-01-20,13456889
2018-01-27,6997114
2018-02-03,8294631
2018-02-10,8243532
2018-02-17,6819411
2018-02-24,5608810
2018-03-03,4676809
2018-03-10,4344697
2018-03-17,5225271
2018-03-24,3671475
2018-03-31,3382494
2018-04-07,3196572
2018-04-14,3577383
2018-04-21,3792311
2018-04-28,4565898
2018-05-05,4450606
2018-05-12,3828826
2018-05-19,3225540
2018-05-26,3433637
2018-06-02,3238891
2018-06-09,3138640
2018-06-16,3123651
2018-06-23,3280573
2018-06-30,3097119
2018-07-07,3064145
2018-07-14,2869602
2018-07-21,2996755
2018-07-28,3126802
2018-08-04,3175777
2018-08-11,2827014
2018-08-18,2878668
2018-08-25,2368672
2018-09-01,1883576
2018-09-08,2704124
2018-09-15,2699967
2018-09-22,2570872
2018-09-29,2251759
2018-10-06,2166073
2018-10-13,2407434
2018-10-20,2266016
2018-10-27,2602288
2018-11-03,2491833
2018-11-10,2856089
2018-11-17,1931732
2018-11-24,2605119
2018-12-01,2482464
2018-12-08,2341501
2018-12-15,2174277
2018-12-22,2556642
2018-12-29,1508621
2019-01-05,1860196
2019-01-12,2013795
2019-01-19,1956920
2019-01-26,2129198
2019-02-02,2340551
2019-02-09,2156022
2019-02-16,1903189
2019-02-23,2145704
2019-03-02,2372870
2019-03-09,2345736
2019-03-16,2339039
2019-03-23,2265415
2019-03-30,2061838
2019-04-06,2402852
2019-04-13,2278979
2019-04-20,1906657
2019-04-27,1990673
2019-05-04,2218213
2019-05-11,2223454
2019-05-18,2945746
2019-05-25,2419714
2019-06-01,2457013
2019-06-08,2566796
2019-06-15,2443222
2019-06-22,2899956
2019-06-29,3587592
2019-07-06,2631088
2019-07-13,3207162
2019-07-20,2276625
2019-07-27,2098564
2019-08-03,2628391
2019-08-10,2359352
2019-08-17,2229440
2019-08-24,2154230
2019-08-31,2072544
2019-09-07,2309279
2019-09-14,2132287
2019-09-21,2311655
2019-09-28,2399856
2019-10-05,1890581
2019-10-12,1868940
2019-10-19,1556915
2019-10-26,1654768
2019-11-02,1551404
2019-11-09,1393786
2019-11-16,1346124
2019-11-23,1375687
2019-11-30,1655035
2019-12-07,1394544
2019-12-14,1416547
2019-12-21,1599179
2019-12-28,1034603
2020-01-04,1143352
2020-01-11,1374238
2020-01-18,1443523
2020-01-25,1543406
2020-02-01,1510904
2020-02-08,1579442
2020-02-15,1763942
2020-02-22,1510918
2020-02-29,1597525
2020-03-07,1509339
2020-03-14,1648264
2020-03-21,1869782
2020-03-28,1678882
2020-04-04,1516726
2020-04-11,1706210
2020-04-18,1545626
2020-04-25,1733807
2020-05-02,2290391
2020-05-09,2346104
2020-05-16,2820698
2020-05-23,2753396
2020-05-30,1927257
2020-06-06,2443374
2020-06-13,2662334
2020-06-20,2312839
2020-06-27,2059810
2020-07-04,2386254
2020-07-11,2269755
2020-07-18,2216720
2020-07-25,2237411
2020-08-01,2779666
2020-08-08,2427416
2020-08-15,2326702
2020-08-22,2387503
2020-08-29,2126845
2020-09-05,2040534
2020-09-12,2082295
2020-09-19,2052065
2020-09-26,1702908
2020-10-03,1593314
2020-10-10,1861393
2020-10-17,1629080
2020-10-24,2144968
2020-10-31,2111504
2020-11-07,2440011
2020-11-14,1867548
2020-11-21,2198733
2020-11-28,2542102
2020-12-05,2087576
2020-12-12,2018044
2020-12-19,2406069
2020-12-26,1812331
2021-01-02,2165651
2021-01-09,3606095
2021-01-16,3007272
2021-01-23,2626105
2021-01-30,2179684
2021-02-06,2389530
2021-02-13,3185990
2021-02-20,2514479
2021-02-27,2373027
2021-03-06,1580272
2021-03-13,2378763
2021-03-20,1699825
2021-03-27,1642839
2021-04-03,3790140
2021-04-10,2070973
2021-04-17,2010467
2021-04-24,1601177
2021-05-01,1882317
2021-05-08,1276369
2021-05-15,2352005
2021-05-22,1372073
2021-05-29,1073850
2021-06-05,1093170
2021-06-12,1018376
