Label,Value
2013-04-06,69997
2013-04-20,6561
2013-04-27,11754
2013-05-04,497
2013-05-11,2051
2013-05-25,4412
2013-06-01,2945
2013-06-08,13399
2013-06-15,6835
2013-06-22,18000
2013-06-29,13278
2013-07-06,5308
2013-07-13,16904
2013-07-20,23361
2013-07-27,5944
2013-08-03,8247
2013-08-10,1502
2013-08-17,501
2013-08-24,16342
2013-08-31,12753
2013-09-07,42100
2013-09-14,55011
2013-09-21,9448
2013-09-28,88282
2013-10-05,43681
2013-10-12,107971
2013-10-19,14434
2013-10-26,37731
2013-11-02,7830
2013-11-09,169333
2013-11-16,314101
2013-11-23,589965
2013-11-30,866162
2013-12-07,593072
2013-12-14,553026
2013-12-21,483405
2013-12-28,101355
2014-01-04,147463
2014-01-11,241232
2014-01-18,227794
2014-01-25,216346
2014-02-01,256949
2014-02-08,494135
2014-02-15,449435
2014-02-22,262249
2014-03-01,425024
2014-03-08,84688
2014-03-15,128130
2014-03-22,190398
2014-03-29,284493
2014-04-05,212733
2014-04-12,116812
2014-04-19,100492
2014-04-26,36890
2014-05-03,69378
2014-05-10,92480
2014-05-17,57345
2014-05-24,88185
2014-05-31,68412
2014-06-07,80403
2014-06-14,75494
2014-06-21,126364
2014-06-28,88746
2014-07-05,38194
2014-07-12,71096
2014-07-19,34406
2014-07-26,27567
2014-08-02,77187
2014-08-09,199199
2014-08-16,143149
2014-08-23,117354
2014-08-30,213404
2014-09-06,123364
2014-09-13,164376
2014-09-20,136353
2014-09-27,212096
2014-10-04,322413
2014-10-11,279444
2014-10-18,191554
2014-10-25,231317
2014-11-01,310392
2014-11-08,256610
2014-11-15,27325
2014-11-22,113800
2014-11-29,148198
2014-12-06,162963
2014-12-13,202165
2014-12-20,218868
2014-12-27,217149
2015-01-03,22739
2015-01-10,198812
2015-01-17,177873
2015-01-24,253608
2015-01-31,96252
2015-02-07,141024
2015-02-14,219192
2015-02-21,137411
2015-02-28,161249
2015-03-07,174430
2015-03-14,144850
2015-03-21,173086
2015-03-28,152377
2015-04-04,98790
2015-04-11,78017
2015-04-18,137880
2015-04-25,170989
2015-05-02,114923
2015-05-09,241515
2015-05-16,138412
2015-05-23,46445
2015-05-30,113015
2015-06-06,148558
2015-06-13,6586
2015-06-20,236627
2015-06-27,150903
2015-07-04,49803
2015-07-11,176369
2015-07-18,174891
2015-07-25,134709
2015-08-01,170457
2015-08-08,162104
2015-08-15,302158
2015-08-22,181751
2015-08-29,64114
2015-09-05,187525
2015-09-12,185319
2015-09-19,346853
2015-09-26,476036
2015-10-03,147855
2015-10-10,314023
2015-10-17,153816
2015-10-24,199485
2015-10-31,167144
2015-11-07,350791
2015-11-14,270872
2015-11-21,1485364
2015-11-28,3025671
2015-12-05,110646
2015-12-12,313552
2015-12-19,59559
2015-12-26,1458715
2016-01-02,212899
2016-01-09,140520
2016-01-16,103673
2016-01-23,181670
2016-01-30,141606
2016-02-06,471222
2016-02-13,317155
2016-02-20,74173
2016-02-27,468002
2016-03-05,168717
2016-03-12,96155
2016-03-19,138158
2016-03-26,180284
2016-04-02,229058
2016-04-09,544709
2016-04-16,531242
2016-04-23,200424
2016-04-30,398546
2016-05-07,174202
2016-05-14,261247
2016-05-21,198587
2016-05-28,745377
2016-06-04,288336
2016-06-11,377556
2016-06-18,927252
2016-06-25,955737
2016-07-02,282710
2016-07-09,1450397
2016-07-16,216092
2016-07-23,364698
2016-07-30,544879
2016-08-06,503403
2016-08-13,730137
2016-08-20,344609
2016-08-27,546695
2016-09-03,726454
2016-09-10,974882
2016-09-17,541485
2016-09-24,497119
2016-10-01,473382
2016-10-08,629670
2016-10-15,386169
2016-10-22,540086
2016-10-29,496238
2016-11-05,426386
2016-11-12,367785
2016-11-19,994768
2016-11-26,230035
2016-12-03,510640
2016-12-10,616634
2016-12-17,611117
2016-12-24,463653
2016-12-31,950504
2017-01-07,828423
2017-01-14,550887
2017-01-21,457928
2017-01-28,230941
2017-02-04,949408
2017-02-11,607155
2017-02-18,338236
2017-02-25,564647
2017-03-04,823310
2017-03-11,691464
2017-03-18,829631
2017-03-25,497136
2017-04-01,642640
2017-04-08,865371
2017-04-15,1803791
2017-04-22,767856
2017-04-29,1286057
2017-05-06,839314
2017-05-13,1130445
2017-05-20,1379649
2017-05-27,2048207
2017-06-03,1157948
2017-06-10,2095098
2017-06-17,2013373
2017-06-24,1730543
2017-07-01,1087143
2017-07-08,773576
2017-07-15,955124
2017-07-22,970433
2017-07-29,1146750
2017-08-05,950673
2017-08-12,4084416
2017-08-19,4380031
2017-08-26,4247962
2017-09-02,5850249
2017-09-09,3774571
2017-09-16,4011014
2017-09-23,1931293
2017-09-30,2359357
2017-10-07,3092031
2017-10-14,4211328
2017-10-21,1892517
2017-10-28,4318448
2017-11-04,7064392
2017-11-11,3036704
2017-11-18,4800155
2017-11-25,7653251
2017-12-02,8862580
2017-12-09,9617576
2017-12-16,10956193
2017-12-23,9276663
2017-12-30,5621756
2018-01-06,8806310
2018-01-13,10479977
2018-01-20,11666176
2018-01-27,5981668
2018-02-03,7137679
2018-02-10,5585090
2018-02-17,3011945
2018-02-24,3102984
2018-03-03,4081166
2018-03-10,4148307
2018-03-17,6552022
2018-03-24,4025265
2018-03-31,3369084
2018-04-07,3615008
2018-04-14,5116639
2018-04-21,5532851
2018-04-28,6620202
2018-05-05,3606261
2018-05-12,1944688
2018-05-19,2198445
2018-05-26,5481403
2018-06-02,4258437
2018-06-09,3395417
2018-06-16,1865528
2018-06-23,2956140
2018-06-30,2981188
2018-07-07,7214356
2018-07-14,3672934
2018-07-21,5577285
2018-07-28,4408593
2018-08-04,2879688
2018-08-11,1828902
2018-08-18,3472291
2018-08-25,5780053
2018-09-01,3598090
2018-09-08,4317250
2018-09-15,1820970
2018-09-22,2616840
2018-09-29,2309464
2018-10-06,3561241
2018-10-13,3496899
2018-10-20,1620220
2018-10-27,3971713
2018-11-03,2731312
2018-11-10,4381323
2018-11-17,3361483
2018-11-24,2643716
2018-12-01,2895216
2018-12-08,2530999
2018-12-15,1615633
2018-12-22,3380803
2018-12-29,2054257
2019-01-05,1478212
2019-01-12,2401253
2019-01-19,1779722
2019-01-26,1237835
2019-02-02,2868012
2019-02-09,2461088
2019-02-16,1419030
2019-02-23,3564115
2019-03-02,2621315
2019-03-09,1595349
2019-03-16,2439299
2019-03-23,1572556
2019-03-30,1981861
2019-04-06,3447937
2019-04-13,2962479
2019-04-20,2399631
2019-04-27,2855428
2019-05-04,4615202
