Label,Value
2013-04-13,3111
2013-04-27,148
2013-05-04,148
2013-05-18,449
2013-06-15,1998
2013-07-06,999
2013-07-13,1198
2013-07-27,1753
2013-08-10,1002
2013-08-17,863
2013-08-24,550
2013-08-31,2778
2013-09-07,2002
2013-09-14,24
2013-09-21,401
2013-09-28,606
2013-10-05,212
2013-10-19,3917
2013-10-26,1792
2013-11-02,2693
2013-11-09,2637
2013-11-16,11354
2013-11-23,6891
2013-11-30,2822
2013-12-14,32305
2013-12-21,10178
2013-12-28,4032
2014-01-04,683
2014-01-11,2535
2014-01-18,6955
2014-01-25,4958
2014-02-01,16662
2014-02-08,7773
2014-02-15,15794
2014-02-22,16870
2014-03-01,4367
2014-03-08,7627
2014-03-15,8105
2014-03-22,5339
2014-03-29,24366
2014-04-05,4390
2014-04-12,4898
2014-04-19,4355
2014-04-26,3401
2014-05-03,17745
2014-05-10,4076
2014-05-17,7904
2014-05-24,6340
2014-05-31,6958
2014-06-07,21563
2014-06-14,17000
2014-06-21,7506
2014-06-28,12532
2014-07-05,8469
2014-07-12,6401
2014-07-19,13404
2014-07-26,6412
2014-08-02,14081
2014-08-09,12859
2014-08-16,7278
2014-08-23,23025
2014-08-30,15347
2014-09-06,9256
2014-09-13,30642
2014-09-20,18558
2014-09-27,29325
2014-10-04,13773
2014-10-11,25836
2014-10-18,59869
2014-10-25,32724
2014-11-01,9805
2014-11-08,14988
2014-11-15,17984
2014-11-22,10144
2014-11-29,9076
2014-12-06,10414
2014-12-13,15450
2014-12-20,29087
2014-12-27,9690
2015-01-03,34184
2015-01-10,27568
2015-01-17,17469
2015-01-24,26905
2015-01-31,7769
2015-02-07,12443
2015-02-14,40373
2015-02-21,31288
2015-02-28,23762
2015-03-07,31935
2015-03-14,51505
2015-03-21,22246
2015-03-28,41327
2015-04-04,64750
2015-04-11,49244
2015-04-18,34444
2015-04-25,27228
2015-05-02,21770
2015-05-09,43806
2015-05-16,64544
2015-05-23,22032
2015-05-30,31675
2015-06-06,47672
2015-06-13,59827
2015-06-20,29414
2015-06-27,53248
2015-07-04,78768
2015-07-11,63902
2015-07-18,89168
2015-07-25,65439
2015-08-01,26457
2015-08-08,61558
2015-08-15,90909
2015-08-22,52303
2015-08-29,56785
2015-09-05,53341
2015-09-12,87783
2015-09-19,71957
2015-09-26,64659
2015-10-03,57068
2015-10-10,50912
2015-10-17,67564
2015-10-24,65294
2015-10-31,71307
2015-11-07,124830
2015-11-14,114726
2015-11-21,60660
2015-11-28,102291
2015-12-05,163320
2015-12-12,137663
2015-12-19,124682
2015-12-26,112136
2016-01-02,66713
2016-01-09,45046
2016-01-16,125304
2016-01-23,104319
2016-01-30,50695
2016-02-06,127125
2016-02-13,202519
2016-02-20,137656
2016-02-27,99410
2016-03-05,132705
2016-03-12,133570
2016-03-19,191197
2016-03-26,161847
2016-04-02,104784
2016-04-09,224052
2016-04-16,196838
2016-04-23,212426
2016-04-30,190653
2016-05-07,182007
2016-05-14,232399
2016-05-21,315008
2016-05-28,152793
2016-06-04,283528
2016-06-11,196493
2016-06-18,231268
2016-06-25,118386
2016-07-02,75535
2016-07-09,88271
2016-07-16,114966
2016-07-23,121549
2016-07-30,115390
2016-08-06,95657
2016-08-13,93534
2016-08-20,118514
2016-08-27,68938
2016-09-03,59156
2016-09-10,119445
2016-09-17,165008
2016-09-24,108577
2016-10-01,101202
2016-10-08,56970
2016-10-15,81054
2016-10-22,72686
2016-10-29,28603
2016-11-05,103817
2016-11-12,63126
2016-11-19,132698
2016-11-26,86326
2016-12-03,95143
2016-12-10,65953
2016-12-17,98425
2016-12-24,131253
2016-12-31,251559
2017-01-07,59834
2017-01-14,142109
2017-01-21,73642
2017-01-28,85422
2017-02-04,72609
2017-02-11,84160
2017-02-18,48160
2017-02-25,42511
2017-03-04,76189
2017-03-11,223918
2017-03-18,54521
2017-03-25,80255
2017-04-01,87088
2017-04-08,60774
2017-04-15,57549
2017-04-22,148503
2017-04-29,52743
2017-05-06,72594
2017-05-13,80359
2017-05-20,110288
2017-05-27,316719
2017-06-03,119928
2017-06-10,571437
2017-06-17,51289
2017-06-24,200352
2017-07-01,343635
2017-07-08,85741
2017-07-15,80253
2017-07-22,144875
2017-07-29,226379
2017-08-05,530197
2017-08-12,133466
2017-08-19,169348
2017-08-26,229186
2017-09-02,110126
2017-09-09,136610
2017-09-16,181848
2017-09-23,41256
2017-09-30,58692
2017-10-07,50947
2017-10-14,177930
2017-10-21,115874
2017-10-28,65536
2017-11-04,228878
2017-11-11,91752
2017-11-18,202678
2017-11-25,47318
2017-12-02,442134
2017-12-09,261503
2017-12-16,281827
2017-12-23,375445
2017-12-30,280026
2018-01-06,474656
2018-01-13,193691
2018-01-20,166038
2018-01-27,94853
2018-02-03,271513
2018-02-10,190460
2018-02-17,70847
2018-02-24,68274
2018-03-03,112331
2018-03-10,169339
2018-03-17,204736
2018-03-24,77079
2018-03-31,58191
2018-04-07,22085
2018-04-14,129445
2018-04-21,31028
2018-04-28,76383
2018-05-05,173793
2018-05-12,35138
2018-05-19,35934
2018-05-26,73937
2018-06-02,62694
2018-06-09,29967
2018-06-16,83184
2018-06-23,30524
2018-06-30,52706
2018-07-07,158527
2018-07-14,25265
2018-07-21,52057
2018-07-28,44785
2018-08-04,36269
2018-08-11,21714
2018-08-18,90687
2018-08-25,19831
2018-09-01,32153
2018-09-08,44201
2018-09-15,32944
2018-09-22,40137
2018-09-29,7773
2018-10-06,8291
2018-10-13,14717
2018-10-20,17472
2018-10-27,13872
2018-11-03,10319
2018-11-10,23057
2018-11-17,48531
2018-11-24,20594
2018-12-01,13697
2018-12-08,27446
2018-12-15,15135
2018-12-22,8161
2018-12-29,4067
2019-01-05,8111
2019-01-12,21019
2019-01-19,8317
2019-01-26,16974
2019-02-02,5802
2019-02-09,23443
2019-02-16,62781
2019-02-23,6951
2019-03-02,16413
2019-03-09,16986
2019-03-16,10006
2019-03-23,8067
2019-03-30,8719
2019-04-06,19075
2019-04-13,21112
2019-04-20,5059
2019-04-27,36818
2019-05-04,10631
2019-05-11,14722
2019-05-18,17226
2019-05-25,6810
2019-06-01,6420
2019-06-08,5860
2019-06-15,31181
2019-06-22,25401
2019-06-29,10423
2019-07-06,39733
2019-07-13,23750
2019-07-20,62403
2019-07-27,3092
2019-08-03,7433
2019-08-10,12041
2019-08-17,9917
2019-08-24,22004
2019-08-31,50800
2019-09-07,58885
2019-09-14,41571
2019-09-21,15007
2019-09-28,47174
2019-10-05,49745
2019-10-12,41100
2019-10-19,8924
2019-10-26,13440
2019-11-02,12537
2019-11-09,20476
2019-11-16,9186
2019-11-23,11442
2019-11-30,8635
2019-12-07,10705
2019-12-14,10860
2019-12-21,105006
2019-12-28,7536
2020-01-04,7011
2020-01-11,73378
2020-01-18,20158
2020-01-25,42015
2020-02-01,34062
2020-02-08,23649
2020-02-15,6014
2020-02-22,10776
2020-02-29,11000
2020-03-07,8648
2020-03-14,18055
2020-03-21,12333
2020-03-28,7170
2020-04-04,14445
2020-04-11,14778
2020-04-18,12425
2020-04-25,6800
2020-05-02,2535
2020-05-09,13683
2020-05-16,17640
2020-05-23,9370
2020-05-30,8207
2020-06-06,11355
2020-06-13,16668
2020-06-20,50142
2020-06-27,8888
2020-07-04,67798
2020-07-11,17581
2020-07-18,50858
2020-07-25,17083
2020-08-01,35600
2020-08-08,19101
2020-08-15,95669
2020-08-22,16638
2020-08-29,60934
2020-09-05,47377
2020-09-12,4520
2020-09-19,13050
2020-09-26,5522
2020-10-03,32629
2020-10-10,5038
2020-10-17,9321
2020-10-24,3066
2020-10-31,15473
2020-11-07,16098
2020-11-14,16129
2020-11-21,67160
2020-11-28,4051
2020-12-05,18786
2020-12-12,14811
2020-12-19,11047
2020-12-26,34337
2021-01-02,23555
2021-01-09,23116
2021-01-16,57207
2021-01-23,63719
2021-01-30,27843
2021-02-06,7233
2021-02-13,24257
2021-02-20,107613
2021-02-27,22468
2021-03-06,6549
2021-03-13,37990
2021-03-20,2360
2021-03-27,19739
2021-04-10,3950
2021-04-17,14117
2021-04-24,1400
2021-07-10,730
2021-07-17,500
2021-07-24,400
2021-07-31,6825
2021-08-07,750
2021-08-21,116900
2021-08-28,3660
2021-09-04,154510
2021-09-11,3000
2021-09-18,12525
2021-09-25,174702
2021-10-02,6004
2021-10-09,30646
2021-10-16,24564
2021-10-23,3614
2021-10-30,12740
2021-11-06,8746
2021-11-13,1612
2021-11-20,6181
2021-11-27,1980
2021-12-04,4050
2021-12-11,79815
2021-12-18,42500
2021-12-25,1700
2022-01-01,170
2022-01-15,1430
2022-01-22,200
2022-01-29,103
2022-02-05,5157
2022-02-12,6246
2022-02-19,1400
2022-02-26,500
2022-03-05,16068
2022-03-19,13461
2022-03-26,13511
2022-04-02,10750
2022-04-16,5465
2022-04-30,2814
