Label,Value
2013-08-17,52896
2013-08-31,92110
2013-09-07,215011
2013-09-14,89097
2013-09-21,114253
2013-09-28,55523
2013-10-05,144639
2013-10-12,242963
2013-10-19,262810
2013-10-26,460306
2013-11-02,291023
2013-11-09,1346841
2013-11-16,462848
2013-11-23,1491602
2013-11-30,2096784
2013-12-07,1787636
2013-12-14,1088539
2013-12-21,2072277
2013-12-28,134739
2014-01-04,764543
2014-01-11,692454
2014-01-18,1185798
2014-01-25,176955
2014-02-01,463812
2014-02-08,1379108
2014-02-15,997604
2014-02-22,468501
2014-03-01,241437
2014-03-08,151185
2014-03-15,156753
2014-03-22,359940
2014-03-29,327740
2014-04-05,9997
2014-04-12,285232
2014-04-19,480345
2014-04-26,411308
2014-05-03,147813
2014-05-10,134900
2014-05-17,204016
2014-05-24,83234
2014-05-31,274065
2014-06-07,76636
2014-06-14,458755
2014-06-21,671723
2014-06-28,161522
2014-07-05,270587
2014-07-12,31802
2014-07-19,200697
2014-07-26,430466
2014-08-02,173834
2014-08-09,179383
2014-08-16,300825
2014-08-23,682242
2014-08-30,112926
2014-09-06,631805
2014-09-13,630665
2014-09-20,175226
2014-09-27,261187
2014-10-04,844555
2014-10-11,311724
2014-10-18,683534
2014-10-25,146264
2014-11-01,323997
2014-11-08,619871
2014-11-15,412684
2014-11-22,889350
2014-11-29,547416
2014-12-06,611285
2014-12-13,426999
2014-12-20,579114
2014-12-27,221310
2015-01-03,642577
2015-01-10,1221556
2015-01-17,1113765
2015-01-24,700976
2015-01-31,661692
2015-02-07,846197
2015-02-14,616991
2015-02-21,582685
2015-02-28,420192
2015-03-07,268698
2015-03-14,702061
2015-03-21,942641
2015-03-28,624080
2015-04-04,359937
2015-04-11,875308
2015-04-18,505052
2015-04-25,210588
2015-05-02,424043
2015-05-09,1015162
2015-05-16,642981
2015-05-23,646644
2015-05-30,764131
2015-06-06,459156
2015-06-13,916896
2015-06-20,744732
2015-06-27,892955
2015-07-04,496366
2015-07-11,969082
2015-07-18,748478
2015-07-25,190738
2015-08-01,461411
2015-08-08,687881
2015-08-15,665205
2015-08-22,650725
2015-08-29,739866
2015-09-05,762898
2015-09-12,585105
2015-09-19,214118
2015-09-26,583404
2015-10-03,649078
2015-10-10,710315
2015-10-17,345279
2015-10-24,734490
2015-10-31,1053157
2015-11-07,616768
2015-11-14,524313
2015-11-21,557639
2015-11-28,878173
2015-12-05,1163091
2015-12-12,680664
2015-12-19,1225530
2015-12-26,120531
2016-01-02,416472
2016-01-09,794663
2016-01-16,1068953
2016-01-23,582807
2016-01-30,457351
2016-02-06,956601
2016-02-13,562259
2016-02-20,982001
2016-02-27,973000
2016-03-05,1201548
2016-03-12,1460113
2016-03-19,279932
2016-03-26,614270
2016-04-02,482224
2016-04-09,371552
2016-04-16,353631
2016-04-23,903115
2016-04-30,661496
2016-05-07,890918
2016-05-14,840002
2016-05-21,1491776
2016-05-28,1190757
2016-06-04,501217
2016-06-11,967632
2016-06-18,772598
