Label,Value
2013-05-18,796774
2013-05-25,93615
2013-06-22,1218963
2013-07-13,63583
2013-10-05,1459313
2013-10-19,1626560
2013-11-02,3438123
2013-11-09,3997373
2013-11-23,19862161
2013-11-30,10777456
2013-12-07,9512370
2013-12-14,8501675
2013-12-21,694688
2013-12-28,742718
2014-01-04,1835087
2014-01-18,3975046
2014-02-01,1890676
2014-02-15,14333722
2014-02-22,2734982
2014-03-15,0
2014-03-22,7774200
2014-05-24,314201
2014-05-31,2854050
2014-06-21,943612
2014-10-25,2928302
2015-04-25,411423
2015-05-16,114833
2015-05-23,607211
2015-06-27,2608571
2015-07-04,148687
2015-07-11,118271
2015-08-01,3523918
2015-08-08,2058859
2015-08-29,1989387
2015-09-05,4313141
2015-09-26,1645914
2015-10-03,1556948
2015-10-17,371963
2015-10-24,82988
2015-10-31,1840703
2015-11-07,1387532
2015-11-14,150502
2015-12-05,106952
2015-12-12,828114
2015-12-19,10069002
2015-12-26,666764
2016-01-09,4543441
2016-01-16,986548
2016-01-30,4251329
2016-02-06,337535
2016-02-13,25780982
2016-02-20,35070749
2016-02-27,6823690
2016-03-05,3695794
2016-03-12,11224468
2016-03-19,4946807
2016-03-26,18041275
2016-04-02,8015674
2016-04-09,5882723
2016-04-16,20818765
2016-04-23,40526169
2016-04-30,35011622
2016-05-07,14482282
2016-05-14,6604771
2016-05-21,862354
2016-05-28,5007920
2016-06-04,18772786
2016-06-11,22307038
2016-06-18,3503714
2016-06-25,8046706
2016-07-02,7275769
2016-07-09,19348287
2016-07-16,32111134
2016-07-23,11332067
2016-07-30,20344762
2016-08-06,3647869
2016-08-13,18724537
2016-08-20,6674090
2016-08-27,15369404
2016-09-03,18955301
2016-09-10,6715612
2016-09-17,25621248
2016-09-24,98880407
2016-10-01,170146493
2016-10-08,328611377
2016-10-15,196549212
2016-10-22,139311890
2016-10-29,169655473
2016-11-05,289202005
2016-11-12,249447153
2016-11-19,353893875
2016-11-26,11780704
2016-12-03,136962876
2016-12-10,71992830
2016-12-17,74973557
2016-12-24,13561500
2016-12-31,137845039
2017-01-07,38345817
2017-01-14,48882747
2017-01-21,111813087
2017-01-28,39662098
2017-02-04,212207550
2017-02-11,133932200
2017-02-18,7196890
2017-02-25,95841543
2017-03-04,91525892
2017-03-11,10310000
2017-03-18,298254094
2017-03-25,61057556
2017-04-01,50595428
2017-04-08,27161278
2017-04-15,57656163
2017-04-22,125682324
2017-04-29,88730200
2017-05-06,65148016
2017-05-13,86601769
2017-05-20,24884667
2017-05-27,32419010
2017-06-03,12996694
2017-06-10,20697088
2017-06-17,69726199
2017-06-24,33801781
2017-07-01,21130000
2017-07-08,104211000
2017-07-15,28798512
2017-07-22,77910889
2017-07-29,192934584
2017-08-05,75919588
2017-08-12,57458161
2017-08-19,43816234
2017-08-26,264318811
2017-09-02,52800064
2017-09-09,97085378
2017-09-16,37620047
2017-09-23,168726000
2017-09-30,423810203
2017-10-07,25285339
2017-10-14,20371147
2017-10-21,61391202
2017-10-28,89891763
2017-11-04,430592814
2017-11-11,163411100
2017-11-18,254408925
2017-11-25,272117178
2017-12-02,92180000
2017-12-09,400508765
2017-12-16,299363950
2017-12-23,527711024
2017-12-30,225888000
2018-01-06,68406813
2018-01-13,230006834
2018-01-20,142213015
2018-01-27,157069093
2018-02-03,51923508
2018-02-10,78596345
2018-02-17,76742138
2018-02-24,183954970
2018-03-03,338308568
2018-03-10,350375292
2018-03-17,581680156
2018-03-24,168513647
2018-03-31,221358494
