Label,Value
2013-03-23,40775
2013-03-30,9305
2013-04-06,38349
2013-04-13,52199
2013-04-20,15443
2013-04-27,3129
2013-05-04,6086
2013-05-11,10216
2013-05-18,1015
2013-05-25,61856
2013-06-01,33829
2013-06-15,22934
2013-06-22,45932
2013-06-29,5764
2013-07-06,10208
2013-07-13,19754
2013-07-20,29243
2013-07-27,523
2013-08-03,2018
2013-08-10,24017
2013-08-17,20597
2013-08-24,387585
2013-08-31,24148
2013-09-07,71261
2013-09-14,27053
2013-09-21,34351
2013-09-28,41996
2013-10-05,21352
2013-10-12,169841
2013-10-19,64546
2013-10-26,90297
2013-11-02,57726
2013-11-09,519183
2013-11-16,580600
2013-11-23,956606
2013-11-30,1675552
2013-12-07,1509260
2013-12-14,1974029
2013-12-21,428353
2013-12-28,376143
2014-01-04,1851312
2014-01-11,1345129
2014-01-18,1402426
2014-01-25,2170525
2014-02-01,1489755
2014-02-08,1473091
2014-02-15,1247417
2014-02-22,1069032
2014-03-01,865249
2014-03-08,1575062
2014-03-15,1110940
2014-03-22,636394
2014-03-29,808047
2014-04-05,475802
2014-04-12,877375
2014-04-19,686133
2014-04-26,1166591
2014-05-03,1258019
2014-05-10,1450667
2014-05-17,859606
2014-05-24,2024571
2014-05-31,1026162
2014-06-07,845835
2014-06-14,1341378
2014-06-21,1284506
2014-06-28,1041697
2014-07-05,979796
2014-07-12,2003473
2014-07-19,2102451
2014-07-26,1074406
2014-08-02,1236252
2014-08-09,1485857
2014-08-16,1242594
2014-08-23,1061929
2014-08-30,1202431
2014-09-06,973487
2014-09-13,1177611
2014-09-20,1391674
2014-09-27,3655824
2014-10-04,2242488
2014-10-11,815038
2014-10-18,1601576
2014-10-25,1560349
2014-11-01,2006790
2014-11-08,2060975
2014-11-15,2032245
2014-11-22,2515055
2014-11-29,1877326
2014-12-06,3643019
2014-12-13,2119573
2014-12-20,1823465
2014-12-27,2128925
2015-01-03,3019748
2015-01-10,2081644
2015-01-17,2821971
2015-01-24,2447067
2015-01-31,1465385
2015-02-07,1825864
2015-02-14,2053405
2015-02-21,1331304
2015-02-28,2088806
2015-03-07,2952015
2015-03-14,3688747
2015-03-21,1922461
2015-03-28,1554382
2015-04-04,2246678
2015-04-11,1676609
2015-04-18,1838850
2015-04-25,3228194
2015-05-02,2354290
2015-05-09,2550728
2015-05-16,2663833
2015-05-23,2042200
2015-05-30,3332346
2015-06-06,2431553
2015-06-13,2816043
2015-06-20,3935915
2015-06-27,3430977
2015-07-04,3679796
2015-07-11,3293911
2015-07-18,2682309
2015-07-25,3043265
2015-08-01,2465870
2015-08-08,3017795
2015-08-15,3635534
2015-08-22,3382273
2015-08-29,2920611
2015-09-05,4771364
2015-09-12,3319507
2015-09-19,2271229
2015-09-26,2598907
2015-10-03,3417523
2015-10-10,3848799
2015-10-17,4070472
2015-10-24,3937298
2015-10-31,9043918
2015-11-07,11582851
2015-11-14,5944845
2015-11-21,10756892
2015-11-28,15983688
2015-12-05,14270499
2015-12-12,15958017
2015-12-19,13387694
2015-12-26,5868991
2016-01-02,6665005
2016-01-09,8189148
2016-01-16,5648470
2016-01-23,6134686
2016-01-30,5835416
2016-02-06,5961400
2016-02-13,7136289
2016-02-20,6458153
2016-02-27,7239687
2016-03-05,7196938
2016-03-12,9169214
2016-03-19,6626119
2016-03-26,4170074
2016-04-02,6691651
2016-04-09,5428914
2016-04-16,5659090
2016-04-23,6111710
2016-04-30,12470417
2016-05-07,10395560
2016-05-14,10571939
2016-05-21,8728309
2016-05-28,11579407
2016-06-04,11377744
2016-06-11,8816388
2016-06-18,16288214
2016-06-25,13273281
2016-07-02,11098050
2016-07-09,10326271
2016-07-16,8995211
2016-07-23,8399009
2016-07-30,10709953
2016-08-06,9267754
2016-08-13,9627606
2016-08-20,8815553
2016-08-27,11123282
2016-09-03,11172573
2016-09-10,11925264
2016-09-17,12438799
2016-09-24,12970806
2016-10-01,11821905
2016-10-08,13069911
2016-10-15,11716821
2016-10-22,11347794
2016-10-29,11907798
2016-11-05,13892045
2016-11-12,10308347
2016-11-19,16744355
2016-11-26,26896534
2016-12-03,20186735
2016-12-10,12680303
2016-12-17,14111148
2016-12-24,16227489
2016-12-31,16251093
2017-01-07,24544518
2017-01-14,24914324
2017-01-21,21557609
2017-01-28,15222029
2017-02-04,21041732
2017-02-11,14706864
2017-02-18,16357085
2017-02-25,19418539
2017-03-04,30241698
2017-03-11,16984924
2017-03-18,18951330
2017-03-25,23925323
2017-04-01,18772423
2017-04-08,17496251
2017-04-15,20244709
2017-04-22,16842054
2017-04-29,19939891
2017-05-06,25404761
2017-05-13,27089083
2017-05-20,31798628
2017-05-27,58191119
2017-06-03,44041033
2017-06-10,43505352
