Label,Value
2014-01-11,201473
2014-02-08,1821719
2014-02-15,91126977
2014-03-08,60056725
2014-03-22,60071177
2014-04-12,30041602
2014-05-17,27029556
2014-06-14,75947027
2014-07-12,603862
2014-07-26,582524
2014-08-02,8413106
2014-08-09,147073495
2014-08-30,120078917
2014-09-06,246573649
2014-09-13,22695381
2014-10-04,129758337
2014-10-11,209846221
2014-10-18,138081217
2014-10-25,7518933
2014-11-01,29952947
2014-11-22,232920847
2014-12-20,209891013
2014-12-27,2051901
2015-01-10,3589869
2015-01-24,88351169
2015-01-31,117909996
2015-02-07,5638052
2015-02-14,100032451
2015-02-21,99999857
2015-02-28,15213799
2015-03-07,399975816
2015-03-14,50021925
2015-03-28,50019460
2015-04-04,99997039
2015-04-18,49997316
2015-04-25,149950689
2015-05-02,213352121
2015-05-09,19963559
2015-05-16,60359510
2015-05-23,149956596
2015-05-30,7504829
2015-06-06,50031038
2015-06-13,60128860
2015-06-20,49976131
2015-06-27,330181703
2015-07-04,205648531
2015-07-11,84645206
2015-07-25,124942494
2015-08-01,313591786
2015-08-08,225080469
2015-08-15,458716
2015-08-22,8126785
2015-08-29,231320694
2015-09-05,72148
2015-09-12,214456727
2015-09-19,0
2015-09-26,227837873
2015-10-17,214878498
2015-10-24,199977621
2015-10-31,123603791
2015-11-07,9760310
2015-11-14,339998244
2015-11-21,519195924
2015-11-28,299937700
2015-12-05,442341745
2015-12-12,208404808
2015-12-19,200028063
2015-12-26,199953282
2016-01-09,8804937
2016-01-16,88901355
2016-01-23,404986610
2016-01-30,214552189
2016-02-06,227738939
2016-02-20,200062477
2016-02-27,262857289
2016-03-05,1539919744
2016-03-19,207415375
2016-03-26,206007186
2016-04-02,423724087
2016-04-09,75949267
2016-04-16,316451481
2016-04-23,381243313
2016-04-30,399968979
2016-05-07,9960159
2016-05-14,3700344298
2016-05-21,173078889
2016-05-28,10059278
2016-06-25,540353843
2016-07-09,19474482
2016-07-16,212186168
2016-07-23,512821
2016-08-06,22202326
2016-08-13,40926997
2016-08-20,230432530
2016-08-27,40990831
2016-09-03,322592514
2016-09-10,20310920
2016-09-17,73433592
2016-09-24,17948336
2016-10-01,190073253
2016-10-08,210576788
2016-10-15,51006833
2016-10-22,45944868
2016-10-29,6966206
2016-11-05,15744509
2016-11-12,10628866
2016-11-19,211712545
2016-11-26,4301673
2016-12-03,10089198
2016-12-10,23313029
2016-12-17,11685730
2016-12-24,15986157
2016-12-31,73023094
2017-01-07,119768456
2017-01-14,79412626
2017-01-21,3126811
2017-01-28,295688626
2017-02-04,55757349
2017-02-11,49852639
2017-02-18,124364606
2017-02-25,50396825
2017-03-04,59292777
2017-03-11,209867688
2017-03-18,152181269
2017-03-25,46908360
2017-04-01,11087518
2017-04-08,259119445
2017-04-15,133000055
2017-04-22,270416133
2017-04-29,235642594
2017-05-06,93419141
2017-05-13,94543611
2017-05-20,115328129
2017-05-27,145536343
2017-06-03,43244151
2017-06-10,466508721
2017-06-17,250987099
2017-06-24,245214705
2017-07-01,128549589
2017-07-08,190922336
2017-07-15,81200806
2017-07-22,203722124
2017-07-29,269189554
2017-08-05,236124598
2017-08-12,704468971
2017-08-19,496183386
2017-08-26,528271019
2017-09-02,2433113184
2017-09-09,1060925006
2017-09-16,1405754690
2017-09-23,1006317739
2017-09-30,818942585
2017-10-07,1234088725
2017-10-14,2485567922
2017-10-21,1658101822
2017-10-28,1293574781
2017-11-04,9025023069
2017-11-11,1960092177
2017-11-18,2388977878
2017-11-25,6144946827
2017-12-02,18818637037
2017-12-09,29033084740
2017-12-16,67168194591
2017-12-23,57926760372
2017-12-30,31855067247
2018-01-06,40487641387
2018-01-13,56499041112
2018-01-20,44549907966
2018-01-27,26009880242
2018-02-03,32060801348
2018-02-10,27496923475
2018-02-17,19831679299
2018-02-24,12353339678
2018-03-03,13910056386
2018-03-10,14822306812
2018-03-17,8381660161
2018-03-24,3382689293
