Label,Value
2013-08-10,4708
2013-08-17,3461
2013-09-21,1975111
2013-10-19,9954
2013-10-26,45762
2013-11-02,512807
2013-11-09,183852
2013-11-16,439291
2013-11-23,399453
2013-11-30,1246627
2013-12-07,562546
2013-12-14,618853
2013-12-21,366240
2013-12-28,302153
2014-01-04,725748
2014-01-11,1816399
2014-01-18,1353276
2014-01-25,187544
2014-02-01,455262
2014-02-08,1242951
2014-02-15,195149
2014-02-22,109489
2014-03-01,114275
2014-03-08,108521
2014-03-15,138938
2014-03-22,277050
2014-03-29,215906
2014-04-05,257701
2014-04-12,35331
2014-04-19,150680
2014-04-26,34274
2014-05-03,81174
2014-05-10,21233
2014-05-17,14565
2014-05-24,80436
2014-05-31,64817
2014-06-14,241129
2014-06-21,705897
2014-06-28,259362
2014-07-05,168388
2014-07-12,50141
2014-07-19,237093
2014-07-26,706673
2014-08-02,2210508
2014-08-09,524192
2014-08-16,3912284
2014-08-23,48978
2014-08-30,14447
2014-09-06,1023651
2014-09-13,113990
2014-09-20,561515
2014-09-27,27882
2014-10-04,708042
2014-10-11,147063
2014-10-18,25156
2014-10-25,93880
2014-11-01,87314
2014-11-08,207829
2014-11-15,100083
2014-11-22,214208
2014-12-06,214494
2014-12-20,206509
2014-12-27,113329
2015-01-03,250035
2015-01-10,0
2015-01-17,1077451
2015-01-24,350110
2015-01-31,110018
2015-02-07,74659
2015-02-14,63455
2015-02-28,40103
2015-03-07,82114
2015-04-04,72705
2015-04-11,127309
2015-04-25,4839
2015-05-16,35899
2015-05-23,4965
2015-05-30,414984
2015-06-06,34074
2015-06-13,8085
2015-06-20,139832
2015-06-27,14047
2015-07-04,52978
2015-07-11,200884
2015-07-18,169809
2015-07-25,224305
2015-08-01,218874
2015-08-08,85029
2015-08-15,22341
2015-08-22,45170
2015-08-29,335525
2015-09-05,13103
2015-09-12,31414
2015-09-19,30032
2015-09-26,103910
2015-10-03,19867
2015-10-17,57297
2015-10-24,103249
2015-10-31,28657
2015-11-07,399071
2015-11-14,5823
2015-11-21,239477
2015-11-28,15030
2015-12-05,108088
2015-12-12,20803
2015-12-19,13204
2015-12-26,20668
2016-01-02,36293
2016-01-09,39276
2016-01-16,99945
2016-02-06,127980
2016-02-13,2832010
2016-02-20,5540962
2016-02-27,62295
2016-03-05,25081
2016-03-19,30118
2016-03-26,3200
2016-04-02,10212
2016-04-09,2220271
2016-04-16,3990
2016-04-23,372468
2016-04-30,25110
2016-05-07,5025
2016-05-14,139887
2016-05-21,61728
2016-05-28,383450
2016-06-04,98527
2016-06-18,1556971
2016-06-25,26107
2016-07-02,9736
2016-07-09,19945
2016-07-16,45274
2016-07-23,147227
2016-08-13,1077973
2016-08-20,0
2016-08-27,92714
2016-09-03,29571
2016-09-17,25100
2016-09-24,359870
2016-10-01,188153
2016-10-08,512140
2016-10-15,228124
2016-10-22,353124
2016-10-29,118540
2016-11-05,1184661
2016-11-12,1252438
2016-11-19,455528
2016-11-26,186785
2016-12-03,624975
2016-12-10,615077
2016-12-17,378688
2016-12-24,135351
2016-12-31,767347
2017-01-07,657422
2017-01-14,1264865
2017-01-21,690524
2017-01-28,570430
2017-02-04,1027157
2017-02-11,508128
2017-02-18,956643
2017-02-25,3793931
2017-03-04,423184
2017-03-11,190030
2017-03-18,714596
2017-03-25,484027
2017-04-01,289786
2017-04-08,525954
2017-04-15,172909
2017-04-22,1615122
2017-04-29,484639
2017-05-06,397541
2017-05-13,530257
2017-05-20,1367574
2017-05-27,941368
2017-06-03,1547053
2017-06-10,571050
2017-06-17,541622
2017-06-24,4758070
2017-07-01,593074
2017-07-08,976000
2017-07-15,1522798
2017-07-22,1829254
2017-07-29,582000
2017-08-05,1244624
2017-08-12,1746793
2017-08-19,4060121
2017-08-26,743249
2017-09-02,1074379
2017-09-09,1039187
2017-09-16,1897394
2017-09-23,1187547
2017-09-30,554033
2017-10-07,77922
2017-10-14,788850
2017-10-21,2242615
2017-10-28,91500
2017-11-04,289750
2017-11-11,1524800
2017-11-18,520020
2017-11-25,322740
2017-12-02,584748
2017-12-09,1289726
2017-12-16,804960
2017-12-23,4176309
2017-12-30,319084
2018-01-06,507293
2018-01-13,1122099
2018-01-20,697500
2018-01-27,237740
2018-02-03,1231915
2018-02-10,3281374
2018-02-17,3190750
2018-02-24,3844273
2018-03-03,328983
2018-03-10,254853
2018-03-17,1417500
2018-03-24,498204
2018-03-31,79500
2018-04-07,1253641
2018-04-14,1072277
2018-04-21,1563351
2018-04-28,761939
2018-05-05,347783
2018-05-12,37050
2018-05-19,1934038
2018-05-26,1690079
2018-06-02,1452244
2018-06-09,876504
2018-06-16,1523728
2018-06-23,1656512
2018-06-30,2087605
2018-07-07,2017868
2018-07-14,1361690
2018-07-21,956517
2018-07-28,1587092
2018-08-04,869742
2018-08-11,419955
2018-08-18,962245
2018-08-25,1608510
2018-09-01,469301
2018-09-08,602279
2018-09-15,1137836
2018-09-22,2296261
2018-09-29,1722793
2018-10-06,1925035
2018-10-13,2887082
2018-10-20,5662707
2018-10-27,2497773
2018-11-03,1544316
2018-11-10,1003887
2018-11-17,2121162
2018-11-24,191072
2018-12-01,1236818
2018-12-08,1132421
2018-12-15,1432915
2018-12-22,1131984
2018-12-29,976509
2019-01-05,754548
2019-01-12,819055
2019-01-19,794261
2019-01-26,1029280
2019-02-02,1171556
2019-02-09,1721183
2019-02-16,1618306
2019-02-23,1153124
2019-03-02,1811242
2019-03-09,2798655
2019-03-16,926730
2019-03-23,996119
2019-03-30,1173852
2019-04-06,1703732
2019-04-13,2651170
2019-04-20,4182397
2019-04-27,1700241
2019-05-04,852559
2019-05-11,1088820
2019-05-18,2137654
2019-05-25,1821964
2019-06-01,761924
2019-06-08,1213635
2019-06-15,974802
2019-06-22,3664094
2019-06-29,4999023
2019-07-06,4178833
2019-07-13,5285886
2019-07-20,5269736
2019-07-27,2725239
2019-08-03,4645474
2019-08-10,3025085
2019-08-17,2030672
2019-08-24,2925433
2019-08-31,3972978
2019-09-07,2556205
2019-09-14,2051735
2019-09-21,3296729
2019-09-28,2168151
2019-10-05,5579420
2019-10-12,2266965
2019-10-19,2343952
2019-10-26,1695079
2019-11-02,1015536
2019-11-09,1333936
2019-11-16,754959
2019-11-23,876789
2019-11-30,1619221
2019-12-07,1481443
2019-12-14,2137519
2019-12-21,498463
2019-12-28,1775027
2020-01-04,144626
2020-01-11,1120246
2020-01-18,1114174
2020-01-25,1060718
2020-02-01,1603038
2020-02-08,4962771
2020-02-15,1671627
2020-02-22,1670204
2020-02-29,1439746
2020-03-07,9529456
2020-03-14,743235
2020-03-21,1628076
2020-03-28,623232
2020-04-04,1806500
2020-04-11,2374316
2020-04-18,2691721
2020-04-25,1627595
2020-05-02,4762540
2020-05-09,5205924
2020-05-16,4645508
2020-05-23,4679572
2020-05-30,4925270
2020-06-06,2653111
2020-06-13,8800864
2020-06-20,1511471
2020-06-27,1803765
2020-07-04,969216
2020-07-11,2247426
2020-07-18,2288008
2020-07-25,788180
2020-08-01,2896278
2020-08-08,3104727
2020-08-15,1970109
2020-08-22,638166
2020-08-29,759624
2020-09-05,183797
2020-09-12,394552
2020-09-19,760652
2020-09-26,1230865
2020-10-03,571577
2020-10-10,662035
2020-10-17,1741806
2020-10-24,3831404
2020-10-31,1239362
2020-11-07,961160
2020-11-14,610087
2020-11-21,3433410
2020-11-28,1338285
2020-12-05,639509
2020-12-12,909383
2020-12-19,1164369
2020-12-26,1488938
2021-01-02,1998214
2021-01-09,3208256
2021-01-16,2297406
2021-01-23,690959
2021-01-30,869353
2021-02-06,3609977
2021-02-13,714882
2021-02-20,1916303
2021-02-27,1420493
2021-03-06,629077
2021-03-13,1649363
2021-03-20,1148857
2021-03-27,1494797
2021-04-03,1530748
2021-04-10,3509291
2021-04-17,2990650
2021-04-24,1039197
2021-05-01,1750013
2021-05-08,1218488
2021-05-15,143299
2021-05-22,351738
2021-05-29,664605
2021-06-05,685409
2021-06-12,910911
2021-06-19,1610564
2021-06-26,1155169
2021-07-03,1010990
2021-07-10,1086283
2021-07-17,697304
2021-07-24,1837457
2021-07-31,1495766
2021-08-07,1522610
2021-08-14,967122
2021-08-21,2079719
2021-08-28,1734304
2021-09-04,1387853
2021-09-11,1031173
2021-09-18,1568991
2021-09-25,853577
2021-10-02,2539850
2021-10-09,2034334
2021-10-16,724228
2021-10-23,880320
2021-10-30,657917
2021-11-06,1109302
2021-11-13,1434231
2021-11-20,2927171
2021-11-27,2833671
2021-12-04,3925105
2021-12-11,946821
2021-12-18,1956048
2021-12-25,198000
2022-01-01,994551
2022-01-08,3240570
2022-01-15,7152257
2022-01-22,411380
2022-01-29,1072418
2022-02-05,130940
2022-02-12,713352
2022-02-19,1079654
2022-02-26,462000
2022-03-05,649000
2022-03-12,1149282
2022-03-19,822000
2022-03-26,66671
2022-04-02,5047932
2022-04-09,2413059
2022-04-16,3335003
2022-04-23,1558885
2022-04-30,2225532
