Label,Value
2013-11-23,4409
2013-11-30,10121
2013-12-07,1272
2013-12-28,3687
2014-01-04,2919
2014-01-11,2089
2014-01-18,11201
2014-01-25,44132
2014-02-01,20880
2014-02-08,2084
2014-02-15,6882
2014-02-22,1718
2014-03-01,7500
2014-03-08,9120
2014-03-15,2188
2014-03-22,9724
2014-03-29,2001
2014-04-05,7319
2014-04-12,18012
2014-04-19,9480
2014-04-26,12560
2014-05-03,6992
2014-05-10,8040
2014-05-17,7680
2014-05-24,8621
2014-06-07,19921
2014-06-14,15841
2014-06-21,10539
2014-06-28,33009
2014-07-05,13464
2014-07-12,33802
2014-07-19,22752
2014-07-26,21120
2014-08-02,19966
2014-08-09,49064
2014-08-16,57263
2014-08-23,101957
2014-08-30,160486
2014-09-06,163442
2014-09-13,26959
2014-09-20,34149
2014-09-27,7703
2014-10-04,33765
2014-10-11,0
2014-10-18,3312
2014-10-25,41054
2014-11-01,10830
2014-11-08,48639
2014-11-15,78960
2014-11-22,46109
2014-11-29,8537
2014-12-06,15596
2014-12-13,74678
2014-12-20,35063
2014-12-27,42248
2015-01-03,52596
2015-01-10,42205
2015-01-17,53069
2015-01-24,79009
2015-01-31,33707
2015-02-07,135107
2015-02-14,72308
2015-02-21,79575
2015-02-28,46982
2015-03-07,330988
2015-03-14,417452
2015-03-21,123973
2015-03-28,468992
2015-04-04,248744
2015-04-11,253353
2015-04-18,152717
2015-04-25,275402
2015-05-02,408573
2015-05-09,566351
2015-05-16,523203
2015-05-23,627512
2015-05-30,1384735
2015-06-06,1128301
2015-06-13,764384
2015-06-20,340937
2015-06-27,958205
2015-07-04,727281
2015-07-11,397623
2015-07-18,1550609
2015-07-25,860170
2015-08-01,676554
2015-08-08,643386
2015-08-15,624594
2015-08-22,1095361
2015-08-29,1158226
2015-09-05,718934
2015-09-12,1292833
2015-09-19,1263353
2015-09-26,1628675
2015-10-03,1999947
2015-10-10,1270965
2015-10-17,1282571
2015-10-24,1234165
2015-10-31,1255847
2015-11-07,1044132
2015-11-14,3159958
2015-11-21,1990940
2015-11-28,1234044
2015-12-05,1648608
2015-12-12,1560513
2015-12-19,1234110
2015-12-26,1454678
2016-01-02,1404336
2016-01-09,1662096
2016-01-16,1490550
2016-01-23,1935211
2016-01-30,1681444
2016-02-06,3156688
2016-02-13,2687338
2016-02-20,2659040
2016-02-27,2512871
2016-03-05,3371752
2016-03-12,3516126
2016-03-19,4825577
2016-03-26,3583264
2016-04-02,4889212
2016-04-09,3258325
2016-04-16,3742411
2016-04-23,5843990
2016-04-30,4656770
