Label,Value
2013-06-29,396
2013-08-24,2022
2013-08-31,2774
2013-09-07,1505
2013-09-28,83
2013-10-05,1627
2013-10-12,2476
2013-10-19,6923
2013-10-26,5444
2013-11-02,4264
2013-11-09,12744
2013-11-16,19828
2013-11-23,45302
2013-11-30,56956
2013-12-07,21219
2013-12-14,44398
2013-12-21,18126
2013-12-28,45600
2014-01-04,65329
2014-01-11,51932
2014-01-18,61326
2014-01-25,102103
2014-02-01,33698
2014-02-08,57687
2014-02-15,76291
2014-02-22,58616
2014-03-01,68221
2014-03-08,57711
2014-03-15,45901
2014-03-22,50672
2014-03-29,74058
2014-04-05,61985
2014-04-12,41435
2014-04-19,13033
2014-04-26,22094
2014-05-03,11705
2014-05-10,46600
2014-05-17,19344
2014-05-24,45396
2014-05-31,32541
2014-06-07,52664
2014-06-14,66965
2014-06-21,67404
2014-06-28,38121
2014-07-05,17894
2014-07-12,32977
2014-07-19,52965
2014-07-26,46929
2014-08-02,32168
2014-08-09,37324
2014-08-16,34699
2014-08-23,27603
2014-08-30,25543
2014-09-06,29272
2014-09-13,25580
2014-09-20,25555
2014-09-27,54267
2014-10-04,45714
2014-10-11,42994
2014-10-18,43147
2014-10-25,49235
2014-11-01,41779
2014-11-08,55975
2014-11-15,58802
2014-11-22,38305
2014-11-29,175873
2014-12-06,72238
2014-12-13,62089
2014-12-20,99294
2014-12-27,34118
2015-01-03,89085
2015-01-10,61849
2015-01-17,46034
2015-01-24,63466
2015-01-31,99264
2015-02-07,101838
2015-02-14,63744
2015-02-21,46670
2015-02-28,80379
2015-03-07,82027
2015-03-14,159476
2015-03-21,78175
2015-03-28,104166
2015-04-04,113215
2015-04-11,105655
2015-04-18,107673
2015-04-25,101557
2015-05-02,97481
2015-05-09,76952
2015-05-16,89838
2015-05-23,101231
2015-05-30,118132
2015-06-06,86556
2015-06-13,147323
2015-06-20,127090
2015-06-27,115434
2015-07-04,189370
2015-07-11,158358
2015-07-18,125960
2015-07-25,180799
2015-08-01,136530
2015-08-08,176792
2015-08-15,125591
2015-08-22,129297
2015-08-29,182177
2015-09-05,172117
2015-09-12,177066
2015-09-19,146146
2015-09-26,124202
2015-10-03,298437
2015-10-10,187539
2015-10-17,179493
2015-10-24,217692
2015-10-31,277375
2015-11-07,319637
2015-11-14,208163
2015-11-21,212988
2015-11-28,169040
2015-12-05,255363
2015-12-12,211614
2015-12-19,264405
2015-12-26,273931
2016-01-02,173847
2016-01-09,191142
2016-01-16,287583
2016-01-23,174834
2016-01-30,233079
2016-02-06,204786
2016-02-13,252928
2016-02-20,255117
2016-02-27,383231
2016-03-05,369053
2016-03-12,201301
2016-03-19,290982
2016-03-26,211637
2016-04-02,233159
2016-04-09,263320
2016-04-16,206982
2016-04-23,300571
2016-04-30,277234
2016-05-07,400914
2016-05-14,321563
2016-05-21,420784
2016-05-28,462965
2016-06-04,429430
2016-06-11,312724
2016-06-18,571815
2016-06-25,632388
2016-07-02,504825
2016-07-09,260035
2016-07-16,407540
2016-07-23,756266
2016-07-30,552279
2016-08-06,578421
2016-08-13,365736
2016-08-20,421662
2016-08-27,491153
2016-09-03,517511
2016-09-10,380971
2016-09-17,387278
2016-09-24,444829
2016-10-01,386314
2016-10-08,307217
2016-10-15,610752
2016-10-22,754487
2016-10-29,821954
2016-11-05,801134
2016-11-12,817173
2016-11-19,1491331
2016-11-26,1361869
2016-12-03,1824252
2016-12-10,2330796
2016-12-17,1752553
2016-12-24,2187608
2016-12-31,2571311
2017-01-07,3013398
2017-01-14,1446789
2017-01-21,981252
2017-01-28,739558
2017-02-04,1132885
2017-02-11,1133497
2017-02-18,1236941
2017-02-25,1459348
2017-03-04,1944277
2017-03-11,1129199
2017-03-18,1014201
2017-03-25,1026694
2017-04-01,1054096
2017-04-08,1119736
2017-04-15,902870
2017-04-22,800414
2017-04-29,718691
2017-05-06,1298215
2017-05-13,1452771
2017-05-20,2081795
2017-05-27,2385165
2017-06-03,1882422
2017-06-10,2233609
2017-06-17,1884917
2017-06-24,1329129
2017-07-01,1357920
2017-07-08,866999
2017-07-15,1075541
2017-07-22,1331825
2017-07-29,1001070
2017-08-05,1216751
2017-08-12,2239810
2017-08-19,2420445
2017-08-26,2277834
2017-09-02,2347421
2017-09-09,4056943
2017-09-16,5052936
2017-09-23,2500458
2017-09-30,2511303
2017-10-07,2253962
2017-10-14,2629835
2017-10-21,2200529
2017-10-28,1802737
2017-11-04,3297281
2017-11-11,2663124
2017-11-18,2530294
2017-11-25,3594399
2017-12-02,4793612
2017-12-09,5443847
2017-12-16,5603611
2017-12-23,8875026
2017-12-30,6619149
2018-01-06,10873025
2018-01-13,10183420
2018-01-20,8629752
2018-01-27,5489681
2018-02-03,6467610
2018-02-10,6502676
2018-02-17,4191184
2018-02-24,3906329
2018-03-03,4800239
2018-03-10,3756393
2018-03-17,3626472
2018-03-24,3087220
2018-03-31,3063644
2018-04-07,2669187
2018-04-14,2692258
2018-04-21,3619427
2018-04-28,3382228
2018-05-05,3647867
2018-05-12,2254459
2018-05-19,2631827
2018-05-26,2166512
2018-06-02,2318872
2018-06-09,2721627
2018-06-16,2206831
2018-06-23,2352715
2018-06-30,1774682
2018-07-07,2176836
2018-07-14,1982951
2018-07-21,3273111
2018-07-28,3070938
2018-08-04,2622015
2018-08-11,2403612
2018-08-18,1852500
2018-08-25,1515578
2018-09-01,1558353
2018-09-08,2692158
2018-09-15,1430948
2018-09-22,1703138
2018-09-29,1742312
2018-10-06,1487342
2018-10-13,1976804
2018-10-20,1740175
2018-10-27,1627125
2018-11-03,1913280
2018-11-10,2311115
2018-11-17,1907140
2018-11-24,2117503
2018-12-01,1589038
2018-12-08,1394398
2018-12-15,1156983
2018-12-22,1663134
2018-12-29,1250185
2019-01-05,1277676
2019-01-12,1766093
