Label,Value
2013-03-16,768
2013-03-23,999
2013-04-06,7194
2013-04-13,38781
2013-04-20,10269
2013-04-27,10663
2013-05-04,5815
2013-05-11,7842
2013-05-18,7680
2013-05-25,3086
2013-06-01,11662
2013-06-08,9778
2013-06-15,10745
2013-06-22,9201
2013-06-29,12817
2013-07-06,13832
2013-07-13,24535
2013-07-20,24089
2013-07-27,16614
2013-08-03,45496
2013-08-10,34226
2013-08-17,33570
2013-08-24,44847
2013-08-31,42234
2013-09-07,31963
2013-09-14,59922
2013-09-21,75447
2013-09-28,46378
2013-10-05,37532
2013-10-12,40871
2013-10-19,56065
2013-10-26,72834
2013-11-02,113094
2013-11-09,196083
2013-11-16,121672
2013-11-23,342698
2013-11-30,440110
2013-12-07,377694
2013-12-14,82868
2013-12-21,161299
2013-12-28,69691
2014-01-04,143179
2014-01-11,171031
2014-01-18,164420
2014-01-25,109871
2014-02-01,83541
2014-02-08,127032
2014-02-15,34308
2014-02-22,61085
2014-03-01,78151
2014-03-08,90671
2014-03-15,41206
2014-03-22,114606
2014-03-29,74534
2014-04-05,96382
2014-04-12,81928
2014-04-19,98902
2014-04-26,133046
2014-05-03,57572
2014-05-10,56833
2014-05-17,68526
2014-05-24,91706
2014-05-31,68959
2014-06-07,114081
2014-06-14,87039
2014-06-21,127851
2014-06-28,157508
2014-07-05,110434
2014-07-12,86327
2014-07-19,126414
2014-07-26,135125
2014-08-02,118887
2014-08-09,113917
2014-08-16,135866
2014-08-23,155776
2014-08-30,101597
2014-09-06,122686
2014-09-13,86662
2014-09-20,119953
2014-09-27,175888
2014-10-04,115025
2014-10-11,154306
2014-10-18,137546
2014-10-25,129463
2014-11-01,189394
2014-11-08,192063
2014-11-15,151971
2014-11-22,132958
2014-11-29,145621
2014-12-06,121829
2014-12-13,218703
2014-12-20,251237
2014-12-27,83642
2015-01-03,138271
2015-01-10,126788
2015-01-17,139395
2015-01-24,117761
2015-01-31,220835
2015-02-07,186984
2015-02-14,120319
2015-02-21,234921
2015-02-28,170704
2015-03-07,151174
2015-03-14,174924
2015-03-21,144689
2015-03-28,110023
2015-04-04,91610
2015-04-11,162113
2015-04-18,182121
2015-04-25,217610
2015-05-02,185018
2015-05-09,213302
2015-05-16,149273
2015-05-23,164105
2015-05-30,270198
2015-06-06,170969
2015-06-13,183082
2015-06-20,207307
2015-06-27,199126
2015-07-04,181929
2015-07-11,258337
2015-07-18,220166
2015-07-25,314491
2015-08-01,334676
2015-08-08,305269
2015-08-15,303687
2015-08-22,299554
2015-08-29,251607
2015-09-05,274563
2015-09-12,214846
2015-09-19,256424
2015-09-26,223813
2015-10-03,219071
2015-10-10,240354
2015-10-17,243800
2015-10-24,209664
2015-10-31,335816
2015-11-07,497253
2015-11-14,232756
2015-11-21,235062
2015-11-28,310299
2015-12-05,364845
2015-12-12,458905
2015-12-19,462873
2015-12-26,326703
2016-01-02,517177
2016-01-09,361182
2016-01-16,467951
2016-01-23,335520
2016-01-30,262760
2016-02-06,324670
2016-02-13,254068
2016-02-20,427425
2016-02-27,372275
2016-03-05,438131
2016-03-12,647922
2016-03-19,575403
2016-03-26,374826
2016-04-02,531610
2016-04-09,561317
2016-04-16,447403
2016-04-23,653839
2016-04-30,745017
2016-05-07,635155
2016-05-14,510024
2016-05-21,575666
2016-05-28,537522
2016-06-04,623348
2016-06-11,749884
2016-06-18,794213
2016-06-25,1223998
2016-07-02,490357
2016-07-09,676677
2016-07-16,484836
2016-07-23,659100
2016-07-30,734542
2016-08-06,634667
2016-08-13,682538
2016-08-20,531886
2016-08-27,649794
2016-09-03,604661
2016-09-10,738512
2016-09-17,628455
2016-09-24,676748
2016-10-01,594985
2016-10-08,510992
2016-10-15,825985
2016-10-22,818246
2016-10-29,919537
2016-11-05,773336
2016-11-12,1106591
2016-11-19,1243600
2016-11-26,1093189
2016-12-03,1204074
2016-12-10,929801
2016-12-17,1118378
2016-12-24,659288
2016-12-31,835749
2017-01-07,1425393
2017-01-14,948700
2017-01-21,919087
2017-01-28,943656
2017-02-04,1050628
2017-02-11,1312593
2017-02-18,1503515
2017-02-25,1024366
2017-03-04,1910080
2017-03-11,1545545
2017-03-18,1578961
2017-03-25,1261853
2017-04-01,963637
2017-04-08,999688
2017-04-15,929192
2017-04-22,1496664
2017-04-29,1345364
2017-05-06,2260697
2017-05-13,2344937
2017-05-20,1775559
2017-05-27,5686788
2017-06-03,3419546
2017-06-10,3738307
2017-06-17,6812341
2017-06-24,3466732
2017-07-01,3194133
2017-07-08,1514111
2017-07-15,2019010
2017-07-22,2589225
2017-07-29,1724498
2017-08-05,1984191
2017-08-12,3211746
2017-08-19,4826588
2017-08-26,2950804
2017-09-02,4680988
2017-09-09,4118455
2017-09-16,3362378
2017-09-23,3105687
2017-09-30,1614857
2017-10-07,1819914
2017-10-14,2714154
2017-10-21,5253233
2017-10-28,4862082
2017-11-04,6025937
2017-11-11,6656632
2017-11-18,5615091
2017-11-25,6244300
2017-12-02,10611782
2017-12-09,18352216
2017-12-16,14788052
2017-12-23,16525312
2017-12-30,7022672
2018-01-06,8294735
2018-01-13,7987452
2018-01-20,8373704
2018-01-27,5020979
2018-02-03,6447705
2018-02-10,5771856
2018-02-17,2976391
2018-02-24,2916238
2018-03-03,3236125
2018-03-10,4365049
2018-03-17,3266725
2018-03-24,3319166
2018-03-31,1291511
2018-04-07,3160000
2018-04-14,2770712
2018-04-21,3542073
2018-04-28,3040566
2018-05-05,2349580
2018-05-12,2664862
2018-05-19,2193511
2018-05-26,1472258
2018-06-02,1631019
2018-06-09,1505396
2018-06-16,2023183
2018-06-23,1395918
2018-06-30,1613728
2018-07-07,1131703
2018-07-14,1038590
2018-07-21,1261207
2018-07-28,1462884
2018-08-04,1352200
2018-08-11,1771419
2018-08-18,1566267
2018-08-25,1486412
2018-09-01,1332469
2018-09-08,1359883
2018-09-15,1283851
2018-09-22,1260751
2018-09-29,849412
2018-10-06,1206046
2018-10-13,1580518
2018-10-20,1126542
2018-10-27,886592
2018-11-03,1066487
2018-11-10,1594698
2018-11-17,1350427
2018-11-24,1330710
2018-12-01,1221246
2018-12-08,1634411
2018-12-15,1124876
2018-12-22,1163276
2018-12-29,634973
2019-01-05,693894
2019-01-12,1563531
2019-01-19,917678
2019-01-26,760872
2019-02-02,1125612
2019-02-09,856246
2019-02-16,792957
2019-02-23,624479
2019-03-02,957354
2019-03-09,972896
2019-03-16,679108
2019-03-23,570032
2019-03-30,811113
2019-04-06,986763
2019-04-13,1060913
2019-04-20,609818
2019-04-27,902717
2019-05-04,1013030
2019-05-11,670743
2019-05-18,930311
2019-05-25,1844639
2019-06-01,745024
2019-06-08,571554
2019-06-15,827653
2019-06-22,1345952
2019-06-29,1588040
2019-07-06,996832
2019-07-13,927700
2019-07-20,1103815
2019-07-27,842642
2019-08-03,1153934
2019-08-10,1319377
2019-08-17,1085706
2019-08-24,927115
2019-08-31,649035
2019-09-07,1742471
2019-09-14,855650
2019-09-21,1315938
2019-09-28,1076643
2019-10-05,653637
2019-10-12,625743
2019-10-19,672918
2019-10-26,906034
2019-11-02,573069
2019-11-09,683521
2019-11-16,660807
2019-11-23,2244366
2019-11-30,1009654
2019-12-07,742133
2019-12-14,940351
2019-12-21,581736
2019-12-28,302466
2020-01-04,313078
2020-01-11,379129
2020-01-18,309963
2020-01-25,328002
2020-02-01,428748
2020-02-08,382485
2020-02-15,453634
2020-02-22,807070
2020-02-29,715799
2020-03-07,520373
2020-03-14,836897
2020-03-21,552789
2020-03-28,608010
2020-04-04,1071089
2020-04-11,901736
2020-04-18,769049
2020-04-25,779756
2020-05-02,717287
2020-05-09,624182
2020-05-16,826945
2020-05-23,589026
2020-05-30,902960
2020-06-06,519570
2020-06-13,684199
2020-06-20,762308
2020-06-27,636286
2020-07-04,616101
2020-07-11,1053380
2020-07-18,1041421
2020-07-25,703680
2020-08-01,920447
2020-08-08,619259
2020-08-15,1184080
2020-08-22,670187
2020-08-29,1151614
2020-09-05,999657
2020-09-12,409799
2020-09-19,599472
2020-09-26,528548
2020-10-03,507949
2020-10-10,691935
2020-10-17,912325
2020-10-24,821464
2020-10-31,604500
2020-11-07,1031888
2020-11-14,595305
2020-11-21,759620
2020-11-28,573133
2020-12-05,716007
2020-12-12,717491
2020-12-19,544024
2020-12-26,552153
2021-01-02,1590438
2021-01-09,2142582
2021-01-16,1371416
2021-01-23,492681
2021-01-30,514572
2021-02-06,968776
2021-02-13,1320415
2021-02-20,362665
2021-02-27,238666
2021-03-06,112368
2021-03-13,622602
2021-03-20,321211
2021-03-27,273716
2021-04-03,191794
2021-04-10,185057
2021-04-17,422195
2021-04-24,363596
2021-05-01,541482
2021-05-08,461747
2021-05-15,305710
2021-05-22,686070
2021-05-29,175952
2021-06-05,198314
2021-06-12,198670
2021-06-19,233198
2021-06-26,185174
2021-07-03,151048
2021-07-10,174658
2021-07-17,176551
2021-07-24,229588
2021-07-31,156944
2021-08-07,199537
2021-08-14,272280
2021-08-21,125817
2021-08-28,251976
2021-09-04,191475
2021-09-11,119849
2021-09-18,116634
2021-09-25,50937
2021-10-02,90317
2021-10-09,201471
2021-10-16,317470
2021-10-23,78052
2021-10-30,219291
2021-11-06,219561
2021-11-13,194524
2021-11-20,174290
2021-11-27,218335
2021-12-04,79457
2021-12-11,172303
2021-12-18,60773
2021-12-25,69437
2022-01-01,85565
2022-01-08,56377
2022-01-15,89361
2022-01-22,133581
2022-01-29,207575
2022-02-05,94365
2022-02-12,146927
2022-02-19,104760
2022-02-26,168280
2022-03-05,187567
2022-03-12,322510
2022-03-19,278496
2022-03-26,171112
2022-04-02,198814
2022-04-09,174116
2022-04-16,108548
2022-04-23,99804
2022-04-30,172553
2022-05-07,107886
2022-05-14,121619
2022-05-21,96463
2022-05-28,148437
2022-06-04,128965
2022-06-11,130659
2022-06-18,127275
2022-06-25,168281
2022-07-02,94347
2022-07-09,49292
2022-07-16,116580
2022-07-23,121159
2022-07-30,149052
2022-08-06,133699
2022-08-13,151832
2022-08-20,93948
2022-08-27,74070
2022-09-03,71234
2022-09-10,115465
2022-09-17,100787
2022-09-24,102124
2022-10-01,54020
2022-10-08,84219
2022-10-15,71450
2022-10-22,64456
2022-10-29,51565
2022-11-05,29445
2022-11-12,61462
2022-11-19,86386
2022-11-26,43647
2022-12-03,71714
2022-12-10,59441
2022-12-17,90740
2022-12-24,58829
2022-12-31,83470
2023-01-07,103008
2023-01-14,88687
2023-01-21,50827
2023-01-28,125082
2023-02-04,61731
2023-02-11,111929
2023-02-18,27849
