Label,Value
2013-03-16,247
2013-04-06,1000
2013-04-13,2211
2013-04-20,918
2013-04-27,2523
2013-05-04,1281
2013-05-11,970
2013-05-18,372
2013-05-25,930
2013-06-01,1178
2013-06-15,39
2013-06-29,653
2013-07-06,575
2013-07-13,393
2013-07-20,2184
2013-07-27,4186
2013-08-03,4200
2013-08-10,4762
2013-08-17,7087
2013-08-24,5456
2013-08-31,7329
2013-09-07,7093
2013-09-14,11426
2013-09-21,6649
2013-09-28,16768
2013-10-05,7758
2013-10-12,8368
2013-10-19,13073
2013-10-26,11314
2013-11-02,15502
2013-11-09,20120
2013-11-16,22941
2013-11-23,32752
2013-11-30,134759
2013-12-07,79594
2013-12-14,51278
2013-12-21,43282
2013-12-28,50980
2014-01-04,44904
2014-01-11,29838
2014-01-18,61628
2014-01-25,70390
2014-02-01,42396
2014-02-08,40624
2014-02-15,64137
2014-02-22,74006
2014-03-01,49103
2014-03-08,32509
2014-03-15,26248
2014-03-22,41756
2014-03-29,47117
2014-04-05,26788
2014-04-12,34041
2014-04-19,34625
2014-04-26,23519
2014-05-03,25800
2014-05-10,32238
2014-05-17,36605
2014-05-24,52639
2014-05-31,41475
2014-06-07,50459
2014-06-14,26309
2014-06-21,54085
2014-06-28,25142
2014-07-05,35746
2014-07-12,26311
2014-07-19,35813
2014-07-26,30300
2014-08-02,34983
2014-08-09,30438
2014-08-16,41131
2014-08-23,33228
2014-08-30,25973
2014-09-06,50774
2014-09-13,29393
2014-09-20,47456
2014-09-27,27418
2014-10-04,30339
2014-10-11,44473
2014-10-18,30318
2014-10-25,43156
2014-11-01,48056
2014-11-08,37140
2014-11-15,40873
2014-11-22,40072
2014-11-29,32625
2014-12-06,34575
2014-12-13,45125
2014-12-20,24728
2014-12-27,18706
2015-01-03,11250
2015-01-10,19011
2015-01-17,34595
2015-01-24,30509
2015-01-31,18671
2015-02-07,19264
2015-02-14,30435
2015-02-21,20686
2015-02-28,32742
2015-03-07,25562
2015-03-14,31863
2015-03-21,25171
2015-03-28,21779
2015-04-04,15074
2015-04-11,20770
2015-04-18,16232
2015-04-25,20303
2015-05-02,15600
2015-05-09,25644
2015-05-16,11394
2015-05-23,27475
2015-05-30,24275
2015-06-06,42373
2015-06-13,40339
2015-06-20,42338
2015-06-27,45579
2015-07-04,51727
2015-07-11,35803
2015-07-18,47761
2015-07-25,22396
2015-08-01,35822
2015-08-08,27822
2015-08-15,41922
2015-08-22,40968
2015-08-29,27597
2015-09-05,27399
2015-09-12,36246
2015-09-19,29045
2015-09-26,40423
2015-10-03,37709
2015-10-10,38860
2015-10-17,34348
2015-10-24,26301
2015-10-31,32785
2015-11-07,43132
2015-11-14,40874
2015-11-21,66275
2015-11-28,84645
2015-12-05,51767
2015-12-12,100749
2015-12-19,56864
2015-12-26,60095
2016-01-02,79590
2016-01-09,106180
2016-01-16,81893
2016-01-23,58994
2016-01-30,43080
2016-02-06,57152
2016-02-13,41446
2016-02-20,79834
2016-02-27,72346
2016-03-05,58195
2016-03-12,69620
2016-03-19,39680
2016-03-26,51641
2016-04-02,102802
2016-04-09,41945
2016-04-16,52218
2016-04-23,70228
2016-04-30,65967
2016-05-07,52074
2016-05-14,50622
2016-05-21,47870
2016-05-28,77662
2016-06-04,72116
2016-06-11,100181
2016-06-18,110449
2016-06-25,128136
2016-07-02,90101
2016-07-09,67883
2016-07-16,63715
2016-07-23,65790
2016-07-30,57520
2016-08-06,102865
2016-08-13,123632
2016-08-20,84913
2016-08-27,206144
2016-09-03,148542
2016-09-10,142674
2016-09-17,110232
2016-09-24,120253
2016-10-01,168271
2016-10-08,121522
2016-10-15,103903
2016-10-22,115149
2016-10-29,150994
2016-11-05,103347
2016-11-12,121933
2016-11-19,94277
2016-11-26,129837
2016-12-03,135072
2016-12-10,159317
2016-12-17,146633
2016-12-24,192749
2016-12-31,102609
2017-01-07,231857
2017-01-14,183318
2017-01-21,289022
2017-01-28,203132
2017-02-04,218265
2017-02-11,195277
2017-02-18,169678
2017-02-25,253123
2017-03-04,267460
2017-03-11,273968
2017-03-18,277033
2017-03-25,300062
2017-04-01,251972
2017-04-08,216973
2017-04-15,175211
2017-04-22,190384
2017-04-29,229081
2017-05-06,495177
2017-05-13,567503
2017-05-20,671327
2017-05-27,751131
2017-06-03,554590
2017-06-10,868546
2017-06-17,718513
2017-06-24,619837
2017-07-01,383692
2017-07-08,214997
2017-07-15,408041
2017-07-22,442392
2017-07-29,593236
2017-08-05,481076
2017-08-12,727591
2017-08-19,816302
2017-08-26,661143
2017-09-02,967057
2017-09-09,830553
2017-09-16,1322327
2017-09-23,867181
2017-09-30,934189
2017-10-07,476850
2017-10-14,959206
2017-10-21,1169152
2017-10-28,1128162
2017-11-04,1510455
2017-11-11,1529739
2017-11-18,1246513
2017-11-25,2099648
2017-12-02,2900065
2017-12-09,4191522
2017-12-16,3405772
2017-12-23,3854364
2017-12-30,1534727
2018-01-06,2604659
2018-01-13,2467068
2018-01-20,1954526
2018-01-27,1183295
2018-02-03,1612900
2018-02-10,1400291
2018-02-17,1169296
2018-02-24,1170564
2018-03-03,751453
2018-03-10,1452366
2018-03-17,1121609
2018-03-24,805166
2018-03-31,360481
2018-04-07,624430
2018-04-14,678224
2018-04-21,648489
2018-04-28,709283
2018-05-05,695147
2018-05-12,825938
2018-05-19,651880
2018-05-26,465686
2018-06-02,416478
2018-06-09,368416
2018-06-16,431158
2018-06-23,319663
2018-06-30,503462
2018-07-07,381966
2018-07-14,214702
2018-07-21,302552
2018-07-28,411959
2018-08-04,321404
2018-08-11,309298
2018-08-18,378200
2018-08-25,232403
2018-09-01,224588
2018-09-08,265340
2018-09-15,276011
2018-09-22,243402
2018-09-29,310827
2018-10-06,266257
2018-10-13,406566
2018-10-20,325304
