Label,Value
2013-03-30,5013
2013-04-06,22843
2013-04-13,13976
2013-04-27,31954
2013-05-18,25464
2013-05-25,164497
2013-06-01,125190
2013-06-08,24609
2013-06-15,48314
2013-06-22,40000
2013-06-29,80000
2013-07-06,4995
2013-07-20,50630
2013-07-27,76380
2013-08-03,45870
2013-08-17,18300
2013-08-24,21022
2013-08-31,29005
2013-09-07,121530
2013-09-14,82326
2013-09-21,179385
2013-09-28,32837
2013-10-05,117489
2013-10-12,31895
2013-10-19,64281
2013-10-26,209619
2013-11-02,42014
2013-11-09,512076
2013-11-16,472689
2013-11-23,1369799
2013-11-30,1368147
2013-12-07,1369907
2013-12-14,1253103
2013-12-21,1303758
2013-12-28,364429
2014-01-04,813311
2014-01-11,1138654
2014-01-18,522368
2014-01-25,1269794
2014-02-01,801544
2014-02-08,555567
2014-02-15,874124
2014-02-22,382924
2014-03-01,339425
2014-03-08,536713
2014-03-15,361424
2014-03-22,396989
2014-03-29,208819
2014-04-05,164710
2014-04-12,738489
2014-04-19,155145
2014-04-26,446724
2014-05-03,562827
2014-05-10,338575
2014-05-17,1918521
2014-05-24,1400567
2014-05-31,728271
2014-06-07,473759
2014-06-14,1083577
2014-06-21,721416
2014-06-28,719565
2014-07-05,798791
2014-07-12,1082417
2014-07-19,299980
2014-07-26,1054061
2014-08-02,896737
2014-08-09,496436
2014-08-16,825310
2014-08-23,813594
2014-08-30,1160435
2014-09-06,456861
2014-09-13,211409
2014-09-20,416534
2014-09-27,133550
2014-10-04,83989
2014-10-11,202822
2014-10-18,458701
2014-10-25,657935
2014-11-01,317339
2014-11-08,445137
2014-11-15,1110649
2014-11-22,237144
2014-11-29,995553
2014-12-06,514090
2014-12-13,296771
2014-12-20,547148
2014-12-27,171174
2015-01-03,261000
2015-01-10,462390
2015-01-17,423872
2015-01-24,522941
2015-01-31,414818
2015-02-07,484365
2015-02-14,630374
2015-02-21,839640
2015-02-28,302122
2015-03-07,603792
2015-03-14,388719
2015-03-21,934097
2015-03-28,736863
2015-04-04,552923
2015-04-11,1313650
2015-04-18,425855
2015-04-25,554523
2015-05-02,354407
2015-05-09,327201
2015-05-16,410636
2015-05-23,362071
2015-05-30,465158
2015-06-06,643497
2015-06-13,999027
2015-06-20,769351
2015-06-27,6737853
2015-07-04,2535302
2015-07-11,1992508
2015-07-18,1570030
2015-07-25,515007
2015-08-01,938176
2015-08-08,817989
2015-08-15,945491
2015-08-22,1508402
2015-08-29,1188140
2015-09-05,1406416
2015-09-12,1227659
2015-09-19,3249233
2015-09-26,1659381
2015-10-03,1405035
2015-10-10,675484
2015-10-17,1275236
2015-10-24,1059967
2015-10-31,1572998
2015-11-07,1810296
2015-11-14,1698976
2015-11-21,1540374
2015-11-28,740790
2015-12-05,1012837
2015-12-12,1420648
2015-12-19,2094941
2015-12-26,309759
2016-01-02,402680
2016-01-09,1363510
2016-01-16,826232
2016-01-23,1248799
2016-01-30,690914
2016-02-06,928634
2016-02-13,550199
2016-02-20,591232
2016-02-27,649211
2016-03-05,1196603
2016-03-12,2329979
2016-03-19,1104846
2016-03-26,1833812
2016-04-02,2021481
2016-04-09,2122807
2016-04-16,1586343
2016-04-23,1911018
2016-04-30,3567475
2016-05-07,1445684
