Label,Value
2013-06-29,100
2013-07-20,2432
2013-07-27,886
2013-08-03,3549
2013-08-10,3523
2013-08-17,833
2013-08-24,895
2013-08-31,5621
2013-09-07,10342
2013-09-14,3246
2013-09-21,845
2013-09-28,922
2013-10-05,4447
2013-10-12,3407
2013-10-19,5538
2013-10-26,3670
2013-11-02,4865
2013-11-09,11955
2013-11-16,27671
2013-11-23,15602
2013-11-30,75928
2013-12-07,32691
2013-12-14,15080
2013-12-21,10398
2013-12-28,12431
2014-01-04,23546
2014-01-11,12935
2014-01-18,13507
2014-01-25,30911
2014-02-01,23987
2014-02-08,7645
2014-02-15,6047
2014-02-22,5604
2014-03-01,25223
2014-03-08,9079
2014-03-15,18351
2014-03-22,17493
2014-03-29,19913
2014-04-05,21490
2014-04-12,11734
2014-04-19,10540
2014-04-26,10491
2014-05-03,13688
2014-05-10,4935
2014-05-17,16594
2014-05-24,28784
2014-05-31,29605
2014-06-07,18609
2014-06-14,43326
2014-06-21,45602
2014-06-28,48006
2014-07-05,58449
2014-07-12,77636
2014-07-19,40859
2014-07-26,28882
2014-08-02,51838
2014-08-09,37807
2014-08-16,28743
2014-08-23,41169
2014-08-30,37480
2014-09-06,30538
2014-09-13,33845
2014-09-20,52141
2014-09-27,37534
2014-10-04,39428
2014-10-11,62905
2014-10-18,81269
2014-10-25,38936
2014-11-01,51788
2014-11-08,85940
2014-11-15,80803
2014-11-22,40016
2014-11-29,35996
2014-12-06,55574
2014-12-13,63708
2014-12-20,63390
2014-12-27,29555
2015-01-03,65471
2015-01-10,94123
2015-01-17,57263
2015-01-24,45964
2015-01-31,88648
2015-02-07,60447
2015-02-14,72127
2015-02-21,61329
2015-02-28,37520
2015-03-07,64596
2015-03-14,77455
2015-03-21,93418
2015-03-28,49317
2015-04-04,61443
2015-04-11,47787
2015-04-18,65176
2015-04-25,36586
2015-05-02,72516
2015-05-09,84616
2015-05-16,51883
2015-05-23,86110
2015-05-30,38252
2015-06-06,88469
2015-06-13,99930
2015-06-20,44222
2015-06-27,72961
2015-07-04,112504
2015-07-11,64044
2015-07-18,84967
2015-07-25,104742
2015-08-01,29488
2015-08-08,29923
2015-08-15,55904
2015-08-22,77100
2015-08-29,41915
2015-09-05,61629
2015-09-12,43754
2015-09-19,43471
2015-09-26,36561
2015-10-03,53285
2015-10-10,54055
2015-10-17,39249
2015-10-24,94646
2015-10-31,50955
2015-11-07,42495
2015-11-14,50421
2015-11-21,40154
2015-11-28,73022
2015-12-05,43392
2015-12-12,112390
2015-12-19,93561
2015-12-26,40450
2016-01-02,28236
2016-01-09,62415
2016-01-16,53984
2016-01-23,72436
2016-01-30,122008
2016-02-06,72085
2016-02-13,55686
2016-02-20,103194
2016-02-27,77547
2016-03-05,86536
2016-03-12,105957
2016-03-19,98319
2016-03-26,133187
2016-04-02,89765
2016-04-09,119924
2016-04-16,124599
2016-04-23,98469
2016-04-30,135978
2016-05-07,93419
2016-05-14,121356
2016-05-21,184063
2016-05-28,101197
