Label,Value
2013-03-16,250
2013-03-23,406
2013-03-30,2000
2013-04-06,252
2013-04-13,1613
2013-04-20,499
2013-05-04,181
2013-05-11,737
2013-05-18,2479
2013-05-25,502
2013-06-08,3001
2013-06-15,500
2013-06-29,2249
2013-07-06,774
2013-07-13,7096
2013-07-20,4383
2013-07-27,603
2013-08-10,3829
2013-08-17,22
2013-08-24,6582
2013-08-31,800
2013-09-07,1760
2013-09-14,9521
2013-09-21,4642
2013-09-28,5812
2013-10-05,10364
2013-10-12,10531
2013-10-19,8032
2013-10-26,10761
2013-11-02,15156
2013-11-09,61294
2013-11-16,44990
2013-11-23,57318
2013-11-30,53374
2013-12-07,41722
2013-12-14,42829
2013-12-21,44463
2013-12-28,5853
2014-01-04,33386
2014-01-11,64213
2014-01-18,61654
2014-01-25,19119
2014-02-01,29922
2014-02-08,39470
2014-02-15,18151
2014-02-22,5375
2014-03-01,17808
2014-03-08,22959
2014-03-15,7106
2014-03-22,16058
2014-03-29,13613
2014-04-05,17421
2014-04-12,13616
2014-04-19,14430
2014-04-26,9676
2014-05-03,12481
2014-05-10,10874
2014-05-17,11982
2014-05-24,9172
2014-05-31,22686
2014-06-07,10978
2014-06-14,16188
2014-06-21,8159
2014-06-28,7553
2014-07-05,24679
2014-07-12,13223
2014-07-19,28686
2014-07-26,44627
2014-08-02,12478
2014-08-09,32664
2014-08-16,23441
2014-08-23,23099
2014-08-30,21303
2014-09-06,22412
2014-09-13,15350
2014-09-20,19576
2014-09-27,17062
2014-10-04,24559
2014-10-11,15549
2014-10-18,20672
2014-10-25,34910
2014-11-01,43214
2014-11-08,89443
2014-11-15,40686
2014-11-22,57544
2014-11-29,35672
2014-12-06,26803
2014-12-13,38587
2014-12-20,49978
2014-12-27,29555
2015-01-03,74347
2015-01-10,43541
2015-01-17,44740
2015-01-24,72018
2015-01-31,109582
2015-02-07,108588
2015-02-14,98217
2015-02-21,237356
2015-02-28,158459
2015-03-07,106463
2015-03-14,153080
2015-03-21,213764
2015-03-28,138318
2015-04-04,142572
2015-04-11,137639
2015-04-18,131555
2015-04-25,380118
2015-05-02,130138
2015-05-09,166988
2015-05-16,79668
2015-05-23,65523
2015-05-30,110300
2015-06-06,134418
2015-06-13,139681
2015-06-20,149674
2015-06-27,137828
2015-07-04,258898
2015-07-11,139908
2015-07-18,102906
2015-07-25,149380
2015-08-01,112847
2015-08-08,132084
2015-08-15,93982
2015-08-22,122289
2015-08-29,114458
2015-09-05,76628
2015-09-12,140132
2015-09-19,180325
2015-09-26,87053
2015-10-03,187925
2015-10-10,121027
2015-10-17,189860
2015-10-24,300085
2015-10-31,184658
2015-11-07,232025
2015-11-14,187020
2015-11-21,215301
2015-11-28,134576
2015-12-05,184943
2015-12-12,199138
2015-12-19,376387
2015-12-26,263041
2016-01-02,80647
2016-01-09,128858
2016-01-16,171337
2016-01-23,226642
2016-01-30,210520
2016-02-06,193828
2016-02-13,134021
2016-02-20,207203
2016-02-27,193587
2016-03-05,261356
2016-03-12,252102
2016-03-19,186551
2016-03-26,260877
2016-04-02,246190
2016-04-09,328305
2016-04-16,245663
2016-04-23,466046
2016-04-30,337156
2016-05-07,391903
2016-05-14,549431
2016-05-21,322010
2016-05-28,294779
2016-06-04,331456
2016-06-11,330929
2016-06-18,354655
2016-06-25,304945
2016-07-02,267740
2016-07-09,288218
2016-07-16,293188
2016-07-23,298126
2016-07-30,225802
2016-08-06,236437
2016-08-13,320606
2016-08-20,261942
2016-08-27,343777
2016-09-03,238604
2016-09-10,219789
2016-09-17,213538
2016-09-24,175187
2016-10-01,211615
2016-10-08,235802
2016-10-15,194641
2016-10-22,282081
2016-10-29,240767
2016-11-05,401653
2016-11-12,204475
2016-11-19,422215
2016-11-26,416436
2016-12-03,281706
2016-12-10,422470
2016-12-17,415163
2016-12-24,730217
2016-12-31,198879
2017-01-07,257650
2017-01-14,413488
2017-01-21,291003
2017-01-28,386986
2017-02-04,354423
2017-02-11,486286
2017-02-18,390029
2017-02-25,371256
2017-03-04,432252
2017-03-11,429953
2017-03-18,415041
2017-03-25,273445
2017-04-01,425826
2017-04-08,381019
2017-04-15,256765
2017-04-22,256542
2017-04-29,503335
2017-05-06,317631
2017-05-13,453494
2017-05-20,501982
2017-05-27,825145
2017-06-03,614633
2017-06-10,811317
2017-06-17,582373
2017-06-24,405087
2017-07-01,429754
2017-07-08,403040
2017-07-15,451963
2017-07-22,347052
2017-07-29,464412
2017-08-05,589040
2017-08-12,780772
2017-08-19,757192
2017-08-26,524902
2017-09-02,819856
2017-09-09,546544
2017-09-16,425475
2017-09-23,451124
2017-09-30,334735
2017-10-07,522609
2017-10-14,769216
2017-10-21,720147
2017-10-28,507624
2017-11-04,593825
2017-11-11,582927
2017-11-18,690870
2017-11-25,602385
2017-12-02,1128070
2017-12-09,1455862
2017-12-16,1314355
2017-12-23,1325605
2017-12-30,925687
2018-01-06,1354983
