Label,Value
2013-03-30,10808
2013-04-06,12214
2013-04-13,3006
2013-07-06,20780
2013-07-13,298
2013-07-20,306627
2013-07-27,117712
2013-08-03,274600
2013-08-10,15255
2013-08-24,10093
2013-09-07,13002
2013-09-21,12469
2013-09-28,31817
2013-10-05,81572
2013-10-12,27751
2013-10-19,45839
2013-10-26,81595
2013-11-02,47549
2013-11-09,106024
2013-11-16,19255
2013-11-23,23498
2013-11-30,267497
2013-12-07,334347
2013-12-14,584532
2013-12-21,110550
2013-12-28,528707
2014-01-04,436035
2014-01-11,227293
2014-01-18,1060935
2014-01-25,299801
2014-02-01,1959175
2014-02-08,1133747
2014-02-15,1289620
2014-02-22,1608182
2014-03-01,2491807
2014-03-08,2540102
2014-03-15,4371709
2014-03-22,2368250
2014-03-29,2213858
2014-04-05,914684
2014-04-12,1318213
2014-04-19,1803065
2014-04-26,1504579
2014-05-03,963398
2014-05-10,1187370
2014-05-17,1338611
2014-05-24,1565129
2014-05-31,1612788
2014-06-07,2328733
2014-06-14,2093613
2014-06-21,2014671
2014-06-28,2439375
2014-07-05,4416356
2014-07-12,2757095
2014-07-19,2797914
2014-07-26,3152422
2014-08-02,2838638
2014-08-09,4889971
2014-08-16,5017236
2014-08-23,3553185
2014-08-30,3569344
2014-09-06,3574352
2014-09-13,4092024
2014-09-20,4569477
2014-09-27,4648881
2014-10-04,5086518
2014-10-11,4897386
2014-10-18,4207220
2014-10-25,5619177
2014-11-01,5941650
2014-11-08,5849719
2014-11-15,6552027
2014-11-22,7291878
2014-11-29,9362888
2014-12-06,11073755
2014-12-13,9777426
2014-12-20,8749142
2014-12-27,10506623
2015-01-03,6776633
2015-01-10,8279219
2015-01-17,9711206
2015-01-24,14798065
2015-01-31,12159556
2015-02-07,17551649
2015-02-14,13899686
2015-02-21,18426147
2015-02-28,15434411
2015-03-07,16611682
2015-03-14,17652326
2015-03-21,14079334
2015-03-28,11601048
2015-04-04,16474261
2015-04-11,16822924
2015-04-18,17374576
2015-04-25,19015512
2015-05-02,18220688
2015-05-09,16831515
2015-05-16,25619020
2015-05-23,27127292
2015-05-30,23446024
2015-06-06,22642891
2015-06-13,26849641
2015-06-20,27326201
2015-06-27,29358343
2015-07-04,29281623
2015-07-11,30412611
2015-07-18,29410366
2015-07-25,33358244
2015-08-01,32122658
2015-08-08,34587953
2015-08-15,39803469
2015-08-22,36057537
2015-08-29,40711998
2015-09-05,39176119
2015-09-12,44705921
2015-09-19,48795791
2015-09-26,47746133
2015-10-03,47694480
2015-10-10,49563755
2015-10-17,53251206
2015-10-24,63251179
2015-10-31,61358857
2015-11-07,62756985
2015-11-14,66052556
2015-11-21,66753823
2015-11-28,62803908
2015-12-05,77459873
2015-12-12,97427206
2015-12-19,102868100
2015-12-26,103268620
2016-01-02,88919607
2016-01-09,49715401
2016-01-16,81622267
2016-01-23,80471664
2016-01-30,87167657
2016-02-06,89905441
2016-02-13,100620973
2016-02-20,111921081
2016-02-27,99267472
2016-03-05,118121449
2016-03-12,109661707
2016-03-19,119729610
2016-03-26,114112692
2016-04-02,115849291
2016-04-09,125069568
2016-04-16,129843656
2016-04-23,131443421
2016-04-30,144001236
2016-05-07,128929366
2016-05-14,134833397
2016-05-21,156274237
2016-05-28,168876262
2016-06-04,172641078
2016-06-11,167324562
2016-06-18,184725209
2016-06-25,177796374
2016-07-02,171077978
2016-07-09,168840815
2016-07-16,181959145
2016-07-23,184273356
2016-07-30,192183490
2016-08-06,199959473
2016-08-13,200696493
2016-08-20,213378357
2016-08-27,221316661
2016-09-03,235793320
2016-09-10,237848969
2016-09-17,230000829
2016-09-24,217336112
2016-10-01,238973525
2016-10-08,251360260
2016-10-15,255938473
2016-10-22,237777170
2016-10-29,254604656
2016-11-05,262250171
2016-11-12,239800539
2016-11-19,262364078
2016-11-26,260101179
2016-12-03,277286795
2016-12-10,276281693
2016-12-17,316250631
2016-12-24,320312803
2016-12-31,397148719
2017-01-07,242499520
2017-01-14,276818285
2017-01-21,286135183
2017-01-28,298019966
2017-02-04,316844030
2017-02-11,315417616
2017-02-18,324665573
2017-02-25,340349893
2017-03-04,336498688
2017-03-11,319003277
2017-03-18,330158382
2017-03-25,321458495
2017-04-01,332479310
2017-04-08,339425266
2017-04-15,338594191
2017-04-22,353785465
2017-04-29,381851090
2017-05-06,421006567
2017-05-13,436399282
2017-05-20,456458019
2017-05-27,551500718
2017-06-03,448521127
2017-06-10,567054602
2017-06-17,509289313
2017-06-24,517480210
2017-07-01,477997557
2017-07-08,347203962
2017-07-15,400531269
2017-07-22,439273909
2017-07-29,483961477
2017-08-05,472698584
2017-08-12,595860242
2017-08-19,644640297
2017-08-26,631169735
2017-09-02,706328980
2017-09-09,808377524
2017-09-16,840289726
2017-09-23,619959527
2017-09-30,633639310
2017-10-07,611913938
2017-10-14,762456545
2017-10-21,679209611
2017-10-28,694416509
2017-11-04,909068962
2017-11-11,752889574
2017-11-18,878192357
2017-11-25,893554746
2017-12-02,1360989384
2017-12-09,1734705575
2017-12-16,1664775954
2017-12-23,1647943292
2017-12-30,1318906993
2018-01-06,999292736
2018-01-13,1060145026
2018-01-20,1269342681
2018-01-27,875317941
2018-02-03,960781349
2018-02-10,995972642
2018-02-17,874603360
2018-02-24,831836049
2018-03-03,867055553
2018-03-10,829580429
2018-03-17,739815186
2018-03-24,770544912
2018-03-31,750938306
2018-04-07,746792894
2018-04-14,886914618
2018-04-21,824313913
2018-04-28,980855913
2018-05-05,883275264
2018-05-12,918683400
2018-05-19,880860242
2018-05-26,865547112
2018-06-02,857380922
2018-06-09,945072187
2018-06-16,866727077
2018-06-23,848787229
2018-06-30,837620746
2018-07-07,889161374
2018-07-14,845804111
2018-07-21,929801243
2018-07-28,946878139
2018-08-04,897198661
2018-08-11,924468239
2018-08-18,956370204
2018-08-25,932602610
2018-09-01,545570954
2018-09-08,949416130
2018-09-15,940082389
2018-09-22,941381651
2018-09-29,845584246
2018-10-06,794661924
2018-10-13,974100915
2018-10-20,1003781629
2018-10-27,968397785
