Label,Value
2014-01-11,2127
2014-01-18,6584
2014-01-25,788
2014-02-01,674
2014-02-08,4923
2014-02-15,12228
2014-03-08,16215
2014-03-29,513
2014-04-12,5701
2014-04-19,6802
2014-04-26,5400
2014-05-03,1679
2014-05-17,4620
2014-05-31,18162
2014-06-14,513
2014-06-21,2550
2014-07-12,3005
2014-07-19,11013
2014-08-16,15266
2014-08-23,390
2014-08-30,4184
2014-09-06,1087
2014-09-27,121
2014-10-04,8066
2014-10-25,2501
2014-11-22,2041
2014-11-29,3167
2014-12-06,2490
2014-12-13,6144
2014-12-20,9319
2014-12-27,3295
2015-01-03,2001
2015-01-10,2641
2015-01-24,1389
2015-01-31,254
2015-02-07,2992
2015-02-14,2541
2015-02-21,3056
2015-02-28,4076
2015-03-14,1003
2015-03-28,1030
2015-04-04,4040
2015-04-18,1299
2015-04-25,296
2015-05-16,3806
2015-05-23,4049
2015-06-06,3665
2015-06-13,1714
2015-06-27,196
2015-07-04,9522
2015-07-11,7208
2015-07-18,1369
2015-07-25,6405
2015-08-01,7497
2015-08-08,10887
2015-08-15,4992
2015-08-22,4956
2015-08-29,8526
2015-09-05,10688
2015-09-12,7939
2015-09-19,1859
2015-09-26,27379
2015-10-03,36566
2015-10-10,4086
2015-10-17,17841
2015-10-24,19692
2015-10-31,13430
2015-11-07,7151
2015-11-14,18321
2015-11-21,10387
2015-11-28,1599
2015-12-05,10847
2015-12-12,7499
2015-12-19,2251
2015-12-26,1844
2016-01-02,14096
2016-01-09,4689
2016-01-16,370
2016-01-23,4985
2016-01-30,5062
2016-02-06,9739
2016-02-13,1619
2016-02-20,4080
2016-02-27,10756
2016-03-05,5606
2016-03-12,2281
2016-03-19,1479
2016-03-26,3517
2016-04-02,10308
2016-04-09,6425
2016-04-16,5149
2016-04-23,4505
2016-04-30,31924
2016-05-07,24815
2016-05-14,22793
2016-05-21,11602
2016-05-28,40687
2016-06-04,25738
2016-06-11,31272
2016-06-18,48334
2016-06-25,18100
2016-07-02,24392
2016-07-09,7514
2016-07-16,24206
2016-07-23,17581
2016-07-30,9862
2016-08-06,15906
2016-08-13,10737
2016-08-20,10246
2016-08-27,30364
2016-09-03,15648
2016-09-10,10211
2016-09-17,5053
2016-09-24,4401
2016-10-01,54462
2016-10-08,41319
2016-10-15,16549
2016-10-22,41601
2016-10-29,44732
2016-11-05,71280
2016-11-12,60000
2016-11-19,35707
2016-11-26,27481
2016-12-03,67641
2016-12-10,23252
2016-12-17,34234
2016-12-24,58513
2016-12-31,66836
2017-01-07,56614
2017-01-14,113605
2017-01-21,183842
2017-01-28,157434
2017-02-04,192002
2017-02-11,52329
2017-02-18,84807
2017-02-25,122763
2017-03-04,285567
2017-03-11,177927
2017-03-18,111155
2017-03-25,107221
2017-04-01,104696
2017-04-08,174426
2017-04-15,359772
2017-04-22,164955
2017-04-29,194304
2017-05-06,164650
2017-05-13,214841
2017-05-20,212007
2017-05-27,264612
2017-06-03,178327
2017-06-10,394659
2017-06-17,292538
2017-06-24,364238
2017-07-01,178828
2017-07-08,259857
2017-07-15,245156
2017-07-22,247260
2017-07-29,289845
2017-08-05,120628
2017-08-12,229158
2017-08-19,488739
2017-08-26,611652
2017-09-02,533376
2017-09-09,400608
2017-09-16,653282
2017-09-23,392187
2017-09-30,424820
2017-10-07,530802
2017-10-14,728680
2017-10-21,718318
2017-10-28,383627
2017-11-04,1963762
2017-11-11,829869
2017-11-18,719102
2017-11-25,1385808
2017-12-02,2837339
2017-12-09,2785546
2017-12-16,2592017
2017-12-23,3405172
2017-12-30,3398896
2018-01-06,6875154
2018-01-13,4648511
2018-01-20,4459944
2018-01-27,2560104
2018-02-03,2673544
2018-02-10,1770303
2018-02-17,2664771
2018-02-24,2008171
2018-03-03,1741387
2018-03-10,1797199
2018-03-17,1406219
2018-03-24,1976958
2018-03-31,1573847
2018-04-07,1330914
2018-04-14,979906
2018-04-21,1081742
2018-04-28,1613467
2018-05-05,2183909
2018-05-12,1400584
2018-05-19,1720086
2018-05-26,1381403
2018-06-02,1644522
2018-06-09,1356230
