Label,Value
2013-03-23,52
2013-03-30,71
2013-05-04,202
2013-06-01,206
2013-07-06,9
2013-08-03,165
2013-08-10,50
2013-08-17,337
2013-08-24,513
2013-08-31,50
2013-09-21,119
2013-09-28,2405
2013-10-05,2077
2013-10-12,5771
2013-10-19,8587
2013-10-26,20916
2013-11-02,31813
2013-11-09,15858
2013-11-16,23112
2013-11-23,27971
2013-11-30,44498
2013-12-07,1301
2013-12-14,10389
2013-12-21,23094
2013-12-28,9195
2014-01-04,8985
2014-01-11,20594
2014-01-18,14435
2014-01-25,42697
2014-02-01,22733
2014-02-08,12094
2014-02-15,21960
2014-02-22,17040
2014-03-01,14618
2014-03-08,20289
2014-03-15,6686
2014-03-22,16656
2014-03-29,8779
2014-04-05,4578
2014-04-12,5615
2014-04-19,8184
2014-04-26,3166
2014-05-03,1096
2014-05-10,3338
2014-05-17,2102
2014-05-24,6943
2014-05-31,2119
2014-06-07,17006
2014-06-14,7074
2014-06-21,5554
2014-06-28,3722
2014-07-05,4491
2014-07-12,3054
2014-07-19,4169
2014-07-26,6039
2014-08-02,1803
2014-08-09,7506
2014-08-16,1586
2014-08-23,4989
2014-08-30,4216
2014-09-06,16934
2014-09-13,5714
2014-09-20,4566
2014-09-27,724
2014-10-04,1990
2014-10-11,1066
2014-10-18,4365
2014-10-25,5528
2014-11-01,4519
2014-11-08,5370
2014-11-15,9250
2014-11-22,20954
2014-11-29,7846
2014-12-06,4072
2014-12-13,7914
2014-12-20,9203
2014-12-27,8914
2015-01-03,5293
2015-01-10,9032
2015-01-17,12086
2015-01-24,10974
2015-01-31,4615
2015-02-07,4391
2015-02-14,8028
2015-02-21,6690
2015-02-28,5706
2015-03-07,31038
2015-03-14,19600
2015-03-21,5132
2015-03-28,4582
2015-04-04,17282
2015-04-11,4975
2015-04-18,11248
2015-04-25,11325
2015-05-02,4812
2015-05-09,7826
2015-05-16,13489
2015-05-23,18048
2015-05-30,11278
2015-06-06,12332
2015-06-13,5011
2015-06-20,11892
2015-06-27,10136
2015-07-04,12971
2015-07-11,19648
2015-07-18,17867
2015-07-25,28032
2015-08-01,13835
2015-08-08,8667
2015-08-15,13761
2015-08-22,16750
2015-08-29,11216
2015-09-05,16864
2015-09-12,14446
2015-09-19,25736
2015-09-26,26786
2015-10-03,11843
2015-10-10,17222
2015-10-17,44330
2015-10-24,15201
2015-10-31,37124
2015-11-07,68700
2015-11-14,26873
2015-11-21,19935
2015-11-28,31805
2015-12-05,37509
2015-12-12,25532
2015-12-19,39157
2015-12-26,77758
2016-01-02,105164
2016-01-09,23517
2016-01-16,29922
2016-01-23,25756
2016-01-30,10695
2016-02-06,30928
2016-02-13,14228
2016-02-20,17726
2016-02-27,16115
2016-03-05,21138
2016-03-12,19992
2016-03-19,11851
2016-03-26,7758
2016-04-02,13886
2016-04-09,18288
2016-04-16,8143
2016-04-23,33953
2016-04-30,32710
2016-05-07,10124
2016-05-14,15605
2016-05-21,9428
2016-05-28,14658
2016-06-04,14563
2016-06-11,38902
2016-06-18,36058
2016-06-25,47606
2016-07-02,45048
2016-07-09,33017
2016-07-16,36637
2016-07-23,18356
2016-07-30,11634
2016-08-06,34810
2016-08-13,32479
2016-08-20,21854
2016-08-27,24799
2016-09-03,35593
2016-09-10,17489
2016-09-17,22962
2016-09-24,28897
2016-10-01,18284
2016-10-08,16602
2016-10-15,25614
2016-10-22,17513
2016-10-29,25292
2016-11-05,34928
2016-11-12,48144
2016-11-19,52285
2016-11-26,38059
2016-12-03,33434
2016-12-10,31146
2016-12-17,45575
2016-12-24,44587
2016-12-31,56069
2017-01-07,76638
2017-01-14,25837
2017-01-21,55092
2017-01-28,18872
2017-02-04,52884
2017-02-11,77884
2017-02-18,37247
2017-02-25,101931
2017-03-04,67087
2017-03-11,53064
2017-03-18,28297
2017-03-25,42642
2017-04-01,50378
2017-04-08,68853
2017-04-15,58780
2017-04-22,56951
2017-04-29,59626
2017-05-06,210337
2017-05-13,104581
2017-05-20,170273
2017-05-27,182245
2017-06-03,121472
2017-06-10,87997
2017-06-17,125308
2017-06-24,66264
2017-07-01,46154
2017-07-08,53731
2017-07-15,91366
2017-07-22,94348
2017-07-29,75019
2017-08-05,37824
2017-08-12,209632
2017-08-19,215309
2017-08-26,49992
2017-09-02,218253
2017-09-09,329593
2017-09-16,205412
2017-09-23,128639
2017-09-30,164457
2017-10-07,246145
2017-10-14,245106
2017-10-21,277839
2017-10-28,112724
2017-11-04,674766
2017-11-11,300217
2017-11-18,397652
2017-11-25,348082
2017-12-02,892240
2017-12-09,1519167
2017-12-16,954424
2017-12-23,1410009
2017-12-30,1087080
2018-01-06,1732196
2018-01-13,1885376
2018-01-20,1124676
2018-01-27,799874
2018-02-03,691461
2018-02-10,541777
2018-02-17,502845
2018-02-24,391053
2018-03-03,333659
2018-03-10,846315
2018-03-17,460402
2018-03-24,389916
2018-03-31,538089
2018-04-07,234468
2018-04-14,297436
2018-04-21,430122
2018-04-28,462521
2018-05-05,472864
2018-05-12,305617
2018-05-19,359104
2018-05-26,308802
2018-06-02,227428
2018-06-09,199804
2018-06-16,240704
2018-06-23,176650
2018-06-30,180890
2018-07-07,494725
2018-07-14,296830
2018-07-21,416758
2018-07-28,330737
2018-08-04,197875
2018-08-11,269906
2018-08-18,427570
2018-08-25,187964
2018-09-01,189630
2018-09-08,226902
2018-09-15,509029
2018-09-22,347995
2018-09-29,273129
2018-10-06,225743
2018-10-13,475338
2018-10-20,378450
2018-10-27,351731
2018-11-03,660379
2018-11-10,309975
2018-11-17,181634
2018-11-24,295132
2018-12-01,233082
2018-12-08,269852
2018-12-15,215748
2018-12-22,456742
2018-12-29,133740
2019-01-05,290965
2019-01-12,201908
2019-01-19,349811
2019-01-26,355074
2019-02-02,683302
2019-02-09,208231
2019-02-16,194587
2019-02-23,321675
2019-03-02,181140
2019-03-09,268427
2019-03-16,331842
2019-03-23,169960
2019-03-30,263925
2019-04-06,302484
2019-04-13,243947
2019-04-20,187856
2019-04-27,262809
2019-05-04,346530
2019-05-11,796603
2019-05-18,489994
2019-05-25,974326
2019-06-01,884719
2019-06-08,483534
2019-06-15,409039
2019-06-22,629329
2019-06-29,523421
2019-07-06,736357
2019-07-13,410330
2019-07-20,279319
2019-07-27,341154
2019-08-03,333921
2019-08-10,454499
2019-08-17,147976
2019-08-24,216816
2019-08-31,139468
2019-09-07,145580
2019-09-14,240139
2019-09-21,209036
2019-09-28,739490
2019-10-05,251571
2019-10-12,162376
2019-10-19,125046
2019-10-26,207268
2019-11-02,153031
2019-11-09,174343
2019-11-16,143702
2019-11-23,165623
2019-11-30,189584
2019-12-07,177819
2019-12-14,115163
2019-12-21,112168
2019-12-28,189918
2020-01-04,178957
2020-01-11,144351
2020-01-18,266891
2020-01-25,365175
2020-02-01,174940
2020-02-08,118490
2020-02-15,270093
2020-02-22,175458
2020-02-29,199552
2020-03-07,120099
2020-03-14,247841
2020-03-21,202224
2020-03-28,89365
2020-04-04,132570
2020-04-11,295169
2020-04-18,217093
2020-04-25,141963
2020-05-02,288346
2020-05-09,180811
2020-05-16,129032
2020-05-23,88621
2020-05-30,112380
2020-06-06,204494
2020-06-13,177619
2020-06-20,114340
2020-06-27,257067
2020-07-04,441340
2020-07-11,251496
2020-07-18,274748
2020-07-25,352498
2020-08-01,230578
2020-08-08,278644
2020-08-15,264299
2020-08-22,204619
2020-08-29,99234
2020-09-05,206192
2020-09-12,145379
2020-09-19,105310
2020-09-26,90071
2020-10-03,148471
2020-10-10,117341
2020-10-17,225160
2020-10-24,226462
2020-10-31,330230
2020-11-07,234312
2020-11-14,183424
2020-11-21,179763
2020-11-28,271588
2020-12-05,168986
2020-12-12,327246
2020-12-19,110167
2020-12-26,127929
2021-01-02,298722
2021-01-09,265037
2021-01-16,215082
2021-01-23,208017
2021-01-30,90330
2021-02-06,207952
2021-02-13,198405
2021-02-20,283747
2021-02-27,277772
2021-03-06,125539
2021-03-13,112228
2021-03-20,200231
2021-03-27,229133
2021-04-03,123890
2021-04-10,89375
2021-04-17,115982
2021-04-24,119220
2021-05-01,278818
2021-05-08,86808
2021-05-15,93638
2021-05-22,233799
2021-05-29,76851
2021-06-05,45159
2021-06-12,65937
2021-06-19,136488
2021-06-26,31747
2021-07-03,53594
2021-07-10,39902
2021-07-17,49007
2021-07-24,94987
2021-07-31,59212
2021-08-07,71900
2021-08-14,48756
2021-08-21,78031
2021-08-28,135554
2021-09-04,109508
2021-09-11,24188
2021-09-18,24383
2021-09-25,82112
2021-10-02,116138
2021-10-09,64365
2021-10-16,204372
2021-10-23,74838
2021-10-30,298579
2021-11-06,268156
2021-11-13,62285
2021-11-20,86399
2021-11-27,108416
2021-12-04,195967
2021-12-11,205471
2021-12-18,205599
2021-12-25,179441
2022-01-01,37746
2022-01-08,73195
2022-01-15,103105
2022-01-22,54731
2022-01-29,82920
2022-02-05,86010
2022-02-12,31843
2022-02-19,60267
2022-02-26,7641
2022-03-05,23393
2022-03-12,50900
2022-03-19,24693
2022-03-26,49519
