Label,Value
2013-03-30,3089
2013-04-06,105413
2013-04-13,83346
2013-04-20,3119
2013-04-27,48155
2013-05-04,5879
2013-05-11,4726
2013-05-25,35864
2013-06-01,3423
2013-06-08,295193
2013-06-15,563092
2013-06-22,569326
2013-06-29,394619
2013-07-06,28502
2013-07-13,129861
2013-07-20,397656
2013-07-27,137787
2013-08-03,992382
2013-08-10,504806
2013-08-17,224615
2013-08-24,118820
2013-08-31,1132747
2013-09-07,814153
2013-09-14,320027
2013-09-21,177983
2013-09-28,517838
2013-10-05,538267
2013-10-12,1114506
2013-10-19,975809
2013-10-26,2269606
2013-11-02,435471
2013-11-09,845803
2013-11-16,1274858
2013-11-23,2422154
2013-11-30,2635077
2013-12-07,3054716
2013-12-14,3812297
2013-12-21,2427091
2013-12-28,1054732
2014-01-04,1656697
2014-01-11,1748385
2014-01-18,2188143
2014-01-25,2118001
2014-02-01,1913846
2014-02-08,4351266
2014-02-15,2373859
2014-02-22,2389096
2014-03-01,1842323
2014-03-08,2875557
2014-03-15,1963448
2014-03-22,1934405
2014-03-29,2182226
2014-04-05,3820271
2014-04-12,1518598
2014-04-19,3080363
2014-04-26,2199372
2014-05-03,3521359
2014-05-10,1978372
2014-05-17,2252804
2014-05-24,3380607
2014-05-31,2311893
2014-06-07,1922747
2014-06-14,3318569
2014-06-21,2922944
2014-06-28,2992518
2014-07-05,2382153
2014-07-12,2914678
2014-07-19,3649162
2014-07-26,3482019
2014-08-02,2272583
2014-08-09,3115701
2014-08-16,4011139
2014-08-23,3568680
2014-08-30,3376046
2014-09-06,2900441
2014-09-13,2166709
2014-09-20,5082603
2014-09-27,3739248
2014-10-04,3496270
2014-10-11,2216152
2014-10-18,3889968
2014-10-25,1822549
2014-11-01,3286225
2014-11-08,3970257
2014-11-15,4124655
2014-11-22,2237743
2014-11-29,2274628
2014-12-06,1758965
2014-12-13,2075907
2014-12-20,1507963
2014-12-27,1476550
2015-01-03,1246957
2015-01-10,2041071
2015-01-17,3252205
2015-01-24,1821962
2015-01-31,1790335
2015-02-07,1655265
2015-02-14,1926294
2015-02-21,1246341
2015-02-28,2714521
2015-03-07,1303878
2015-03-14,1610599
2015-03-21,1184897
2015-03-28,1376449
2015-04-04,1714852
2015-04-11,1477296
2015-04-18,2073385
2015-04-25,2553939
2015-05-02,2260229
2015-05-09,2194652
2015-05-16,2098308
2015-05-23,2343206
2015-05-30,1841608
2015-06-06,3522930
2015-06-13,3006202
2015-06-20,3622115
2015-06-27,3899771
2015-07-04,1471388
2015-07-11,2641344
2015-07-18,2964917
2015-07-25,6079298
2015-08-01,2677856
2015-08-08,1858252
2015-08-15,2201519
2015-08-22,1485862
2015-08-29,3453146
2015-09-05,2241762
2015-09-12,2639654
2015-09-19,2073951
2015-09-26,2237192
2015-10-03,2501877
2015-10-10,2436887
2015-10-17,3598598
2015-10-24,3426730
2015-10-31,4263595
2015-11-07,8661745
2015-11-14,3295304
2015-11-21,4933741
2015-11-28,3544475
2015-12-05,3712579
2015-12-12,4916654
2015-12-19,6008361
2015-12-26,2327636
2016-01-02,2367267
2016-01-09,3803016
2016-01-16,2719356
2016-01-23,3993121
2016-01-30,6538786
2016-02-06,4105743
2016-02-13,2033618
2016-02-20,4165931
2016-02-27,2979285
2016-03-05,5622804
2016-03-12,2759656
2016-03-19,1938477
2016-03-26,2454540
2016-04-02,4263579
2016-04-09,2845233
2016-04-16,3133355
2016-04-23,3337585
2016-04-30,5067296
2016-05-07,4480265
2016-05-14,3727515
2016-05-21,3760196
2016-05-28,8071118
2016-06-04,6290830
2016-06-11,5198331
2016-06-18,5931296
2016-06-25,4167465
2016-07-02,3848485
2016-07-09,3262957
2016-07-16,3841956
2016-07-23,6178592
2016-07-30,10185540
2016-08-06,3935829
2016-08-13,4027388
2016-08-20,5405558
2016-08-27,5658748
2016-09-03,6792906
2016-09-10,9841264
2016-09-17,4741830
2016-09-24,4715020
2016-10-01,4234859
2016-10-08,4035660
2016-10-15,6054763
2016-10-22,5390977
2016-10-29,4882348
2016-11-05,7963961
2016-11-12,8533402
2016-11-19,7160140
2016-11-26,7754432
2016-12-03,9494714
2016-12-10,11213877
2016-12-17,8526361
2016-12-24,7723229
2016-12-31,7112902
2017-01-07,10898107
2017-01-14,11244492
2017-01-21,6293443
2017-01-28,7720459
2017-02-04,9121045
2017-02-11,11202927
2017-02-18,8999315
2017-02-25,12354299
2017-03-04,14420036
2017-03-11,14333096
2017-03-18,10765657
2017-03-25,11723235
2017-04-01,8466690
2017-04-08,7885812
2017-04-15,7684200
2017-04-22,9754055
2017-04-29,9110895
2017-05-06,13891514
2017-05-13,12988192
2017-05-20,12367023
2017-05-27,15124383
2017-06-03,10291542
2017-06-10,14558773
2017-06-17,13191322
2017-06-24,15945825
2017-07-01,10496912
2017-07-08,8348949
2017-07-15,11077473
2017-07-22,9625437
2017-07-29,11102942
2017-08-05,8129259
2017-08-12,14586829
2017-08-19,13316948
2017-08-26,21875847
2017-09-02,14925881
2017-09-09,25901641
2017-09-16,25437720
2017-09-23,12430183
2017-09-30,15085175
2017-10-07,17179222
2017-10-14,22665493
2017-10-21,20853374
2017-10-28,14666386
2017-11-04,24278922
2017-11-11,19318948
2017-11-18,22698965
2017-11-25,25574272
2017-12-02,44371798
2017-12-09,50244737
2017-12-16,43575521
2017-12-23,36144269
2017-12-30,27437260
2018-01-06,31840418
2018-01-13,48659030
2018-01-20,35820215
2018-01-27,29493741
2018-02-03,30296523
2018-02-10,24391364
2018-02-17,34670847
2018-02-24,25886465
2018-03-03,26380465
2018-03-10,21472641
2018-03-17,16850276
2018-03-24,22114289
2018-03-31,17956686
2018-04-07,16143483
2018-04-14,19266360
2018-04-21,16761552
2018-04-28,13554499
2018-05-05,13639744
2018-05-12,14373730
2018-05-19,13611703
2018-05-26,16654558
2018-06-02,20580926
2018-06-09,22068401
2018-06-16,15782352
2018-06-23,21029771
2018-06-30,13784819
2018-07-07,14683078
2018-07-14,12200539
2018-07-21,13443879
2018-07-28,15568986
2018-08-04,18353897
2018-08-11,13528913
2018-08-18,11678309
2018-08-25,13021629
2018-09-01,9685857
2018-09-08,16442066
2018-09-15,12412581
2018-09-22,15253554
2018-09-29,17266455
2018-10-06,17653787
2018-10-13,14950451
2018-10-20,16424866
2018-10-27,17134334
2018-11-03,21450933
2018-11-10,16281754
2018-11-17,18705045
2018-11-24,21824838
2018-12-01,19559185
2018-12-08,21951571
2018-12-15,22997118
2018-12-22,15937836
2018-12-29,15187613
2019-01-05,13362772
2019-01-12,15121180
2019-01-19,13097040
2019-01-26,14410288
2019-02-02,15458036
2019-02-09,18047560
2019-02-16,15388337
2019-02-23,13568881
2019-03-02,15271324
2019-03-09,19306408
2019-03-16,15067998
2019-03-23,17531898
2019-03-30,13487913
2019-04-06,19569739
2019-04-13,21855485
2019-04-20,68169318
2019-04-27,29359227
2019-05-04,22026485
2019-05-11,35987168
2019-05-18,17484031
2019-05-25,18733488
2019-06-01,17643426
2019-06-08,17236080
2019-06-15,17904866
2019-06-22,18996343
2019-06-29,23300214
2019-07-06,21122735
2019-07-13,25628492
2019-07-20,14370076
2019-07-27,20643483
2019-08-03,22754457
2019-08-10,20089933
2019-08-17,21310102
2019-08-24,14957389
2019-08-31,16055810
2019-09-07,16752147
2019-09-14,20733620
2019-09-21,19089275
2019-09-28,24702632
2019-10-05,11448024
2019-10-12,12187498
2019-10-19,19168111
2019-10-26,14902389
2019-11-02,13721376
2019-11-09,10200402
2019-11-16,10062998
2019-11-23,6014419
2019-11-30,12094529
2019-12-07,10598898
2019-12-14,7919071
2019-12-21,10749763
2019-12-28,8052449
2020-01-04,8479578
2020-01-11,10853961
2020-01-18,10780975
2020-01-25,9280860
2020-02-01,12113487
2020-02-08,11796165
2020-02-15,11037845
2020-02-22,12266210
2020-02-29,11409548
2020-03-07,16721833
2020-03-14,13531628
2020-03-21,11901172
2020-03-28,13634450
2020-04-04,14336298
2020-04-11,7841787
2020-04-18,11219906
2020-04-25,14626576
2020-05-02,14584995
2020-05-09,13191530
2020-05-16,17915255
2020-05-23,12001120
2020-05-30,17630563
2020-06-06,10174099
2020-06-13,13812752
2020-06-20,12620831
2020-06-27,14881858
2020-07-04,17034155
2020-07-11,11431730
2020-07-18,13787627
2020-07-25,11448030
2020-08-01,16728672
2020-08-08,12796262
2020-08-15,17808267
2020-08-22,14027575
2020-08-29,18210515
2020-09-05,23044595
2020-09-12,17258539
2020-09-19,12558892
2020-09-26,9575077
2020-10-03,12918933
2020-10-10,13826969
2020-10-17,9334976
2020-10-24,10376474
2020-10-31,18717486
2020-11-07,17911877
2020-11-14,17840464
2020-11-21,14409275
2020-11-28,17405509
2020-12-05,13117592
2020-12-12,11902771
2020-12-19,22396867
2020-12-26,20615408
2021-01-02,19111284
2021-01-09,28518726
2021-01-16,23100402
2021-01-23,18326246
2021-01-30,19541299
2021-02-06,19502899
2021-02-13,21706756
2021-02-20,21006539
2021-02-27,24648138
2021-03-06,14308663
2021-03-13,26981889
2021-03-20,17293822
2021-03-27,17147223
2021-04-03,12961764
2021-04-10,13366697
2021-04-17,16914838
2021-04-24,12528143
2021-05-01,12729417
2021-05-08,16234042
2021-05-15,13189226
2021-05-22,9973896
2021-05-29,7251334
2021-06-05,9492546
2021-06-12,9616508
2021-06-19,9811123
2021-06-26,6562566
2021-07-03,7447572
2021-07-10,13169243
2021-07-17,9121083
2021-07-24,7062119
2021-07-31,8072654
2021-08-07,6654091
2021-08-14,9297340
2021-08-21,7535063
2021-08-28,7017638
2021-09-04,9193883
2021-09-11,6125981
2021-09-18,9604586
2021-09-25,6346083
2021-10-02,8803854
2021-10-09,7519266
2021-10-16,11293047
2021-10-23,8850755
2021-10-30,8464477
2021-11-06,6493715
2021-11-13,11595724
2021-11-20,7521584
2021-11-27,9398792
2021-12-04,10354249
2021-12-11,9136286
2021-12-18,11930190
2021-12-25,7597128
2022-01-01,8264105
2022-01-08,9193219
2022-01-15,9205737
2022-01-22,9699846
2022-01-29,7288429
2022-02-05,9683966
2022-02-12,6737798
2022-02-19,9322432
2022-02-26,7304075
2022-03-05,7612519
2022-03-12,7955301
2022-03-19,7065028
2022-03-26,10827696
2022-04-02,8206427
2022-04-09,6786256
2022-04-16,5440462
2022-04-23,6866291
2022-04-30,11178217
2022-05-07,10623657
2022-05-14,6757247
2022-05-21,6883254
2022-05-28,9111055
2022-06-04,9600344
2022-06-11,6135947
2022-06-18,6640232
2022-06-25,6375038
2022-07-02,4642739
2022-07-09,6283311
2022-07-16,6894448
2022-07-23,4073970
2022-07-30,4866662
2022-08-06,6541909
2022-08-13,7426141
2022-08-20,7594684
2022-08-27,7664130
2022-09-03,9426710
2022-09-10,8936907
2022-09-17,7395937
2022-09-24,4967237
2022-10-01,6852061
2022-10-08,6387950
2022-10-15,6071731
2022-10-22,5237850
2022-10-29,9911440
2022-11-05,6171165
2022-11-12,7866437
2022-11-19,4838821
2022-11-26,4565730
2022-12-03,5660640
2022-12-10,4878193
2022-12-17,9156064
2022-12-24,9976798
2022-12-31,4332787
2023-01-07,6345534
2023-01-14,6586640
2023-01-21,7445081
2023-01-28,4329806
2023-02-04,14244150
2023-02-11,5477209
2023-02-18,4568790
