Label,Value
2013-08-31,256
2013-09-07,206
2013-09-14,281
2013-09-21,25
2013-10-05,370
2013-10-12,372
2013-11-30,103
2013-12-14,5538
2013-12-28,641
2014-01-04,1003
2014-01-11,796
2014-01-18,891
2014-02-01,1799
2014-02-08,2840
2014-02-15,48
2014-02-22,317
2014-03-08,160
2014-03-15,343
2014-03-22,578
2014-03-29,1838
2014-04-12,550
2014-04-19,1881
2014-04-26,200
2014-05-03,154
2014-05-10,273
2014-05-17,76
2014-06-14,0
2014-06-21,599
2014-07-05,371
2014-07-12,178
2014-07-19,510
2014-08-23,151
2014-08-30,290
2014-09-06,207
2014-09-20,671
2014-10-11,1800
2014-10-18,254
2014-11-08,437
2014-11-15,341
2014-11-22,323
2014-12-06,96
2014-12-13,187
2014-12-20,1222
2015-01-10,1953
2015-01-17,1452
2015-01-31,745
2015-02-07,392
2015-02-14,945
2015-02-21,470
2015-02-28,1120
2015-03-07,32
2015-03-14,360
2015-03-21,954
2015-03-28,1468
2015-04-11,2954
2015-04-18,3602
2015-04-25,616
2015-05-02,1329
2015-05-09,1511
2015-05-16,1993
2015-05-23,2967
2015-05-30,1754
2015-06-06,1279
2015-06-13,4454
2015-06-20,4196
2015-06-27,6845
2015-07-04,4570
2015-07-11,8500
2015-07-18,4878
2015-07-25,3942
2015-08-01,1571
2015-08-08,6320
2015-08-15,1545
2015-08-22,2510
2015-08-29,3886
2015-09-05,4763
2015-09-12,4000
2015-09-19,5579
2015-09-26,3095
2015-10-03,11057
2015-10-10,15668
2015-10-17,4059
2015-10-24,9664
2015-10-31,9639
2015-11-07,8657
2015-11-14,5402
2015-11-21,8232
2015-11-28,19317
2015-12-05,22979
2015-12-12,11211
2015-12-19,15488
2015-12-26,7832
2016-01-02,3538
2016-01-09,10874
2016-01-16,5019
2016-01-23,14177
2016-01-30,16128
2016-02-06,19564
2016-02-13,22466
2016-02-20,45587
2016-02-27,52696
2016-03-05,13014
2016-03-12,12033
2016-03-19,34278
2016-03-26,68571
2016-04-02,17551
2016-04-09,20836
2016-04-16,29273
2016-04-23,7380
2016-04-30,20370
2016-05-07,9778
2016-05-14,24223
2016-05-21,7677
2016-05-28,5086
2016-06-04,18514
2016-06-11,17876
2016-06-18,21823
2016-06-25,8939
2016-07-02,14631
2016-07-09,18270
2016-07-16,15464
2016-07-23,13499
2016-07-30,12064
2016-08-06,13839
2016-08-13,11926
2016-08-20,19164
2016-08-27,33017
2016-09-03,53605
2016-09-10,119643
2016-09-17,34636
2016-09-24,72066
2016-10-01,93803
2016-10-08,105668
2016-10-15,251323
2016-10-22,47947
2016-10-29,57352
2016-11-05,68078
2016-11-12,129416
2016-11-19,348415
2016-11-26,186651
2016-12-03,209676
2016-12-10,110543
2016-12-17,216009
2016-12-24,223239
2016-12-31,168709
2017-01-07,366073
2017-01-14,280000
2017-01-21,251389
2017-01-28,395001
2017-02-04,506400
2017-02-11,252466
2017-02-18,269631
2017-02-25,240384
2017-03-04,357237
2017-03-11,232637
2017-03-18,239649
2017-03-25,321441
2017-04-01,312536
2017-04-08,413297
2017-04-15,439011
2017-04-22,286287
2017-04-29,350706
2017-05-06,504978
2017-05-13,262151
2017-05-20,373591
2017-05-27,571458
2017-06-03,491905
2017-06-10,384037
2017-06-17,526620
2017-06-24,615987
2017-07-01,448385
2017-07-08,299592
2017-07-15,333154
2017-07-22,282358
2017-07-29,339128
2017-08-05,319451
2017-08-12,249556
2017-08-19,585160
2017-08-26,452216
2017-09-02,481626
2017-09-09,613843
2017-09-16,422327
2017-09-23,565476
2017-09-30,739577
2017-10-07,801470
2017-10-14,740982
2017-10-21,485416
2017-10-28,648884
2017-11-04,1067685
2017-11-11,806767
2017-11-18,434285
2017-11-25,2489418
2017-12-02,739559
2017-12-09,1564465
2017-12-16,1658897
2017-12-23,1565212
2017-12-30,1033792
2018-01-06,843050
2018-01-13,1309274
2018-01-20,935339
2018-01-27,461335
2018-02-03,1009771
2018-02-10,429977
2018-02-17,647461
2018-02-24,561548
2018-03-03,443633
2018-03-10,337352
2018-03-17,411448
2018-03-24,355250
2018-03-31,579667
2018-04-07,438825
2018-04-14,265663
2018-04-21,287657
2018-04-28,908833
2018-05-05,453763
2018-05-12,630525
2018-05-19,480539
2018-05-26,580958
2018-06-02,996871
2018-06-09,337272
2018-06-16,561984
2018-06-23,364856
2018-06-30,327205
2018-07-07,378534
2018-07-14,447429
2018-07-21,767656
2018-07-28,589822
2018-08-04,410396
2018-08-11,759026
2018-08-18,573626
2018-08-25,277145
2018-09-01,367052
2018-09-08,419077
2018-09-15,332714
2018-09-22,610971
2018-09-29,369680
2018-10-06,476715
2018-10-13,536266
2018-10-20,566212
2018-10-27,329472
2018-11-03,483382
2018-11-10,432118
2018-11-17,281354
2018-11-24,471457
2018-12-01,234030
2018-12-08,347345
2018-12-15,579273
2018-12-22,310197
2018-12-29,534001
2019-01-05,365766
2019-01-12,340813
2019-01-19,644582
2019-01-26,667130
2019-02-02,387886
2019-02-09,202015
2019-02-16,152353
2019-02-23,157166
2019-03-02,178801
2019-03-09,257238
2019-03-16,384802
2019-03-23,773057
2019-03-30,240993
2019-04-06,352213
2019-04-13,242981
2019-04-20,225375
2019-04-27,520913
2019-05-04,341391
2019-05-11,505719
2019-05-18,538362
2019-05-25,295684
2019-06-01,221783
2019-06-08,439995
2019-06-15,456617
2019-06-22,275370
2019-06-29,498608
2019-07-06,301185
2019-07-13,397536
2019-07-20,595820
2019-07-27,420913
2019-08-03,590609
2019-08-10,899594
2019-08-17,369173
2019-08-24,409096
2019-08-31,341765
2019-09-07,713499
2019-09-14,618574
2019-09-21,383303
2019-09-28,374284
2019-10-05,555485
2019-10-12,438636
2019-10-19,364338
2019-10-26,244461
2019-11-02,309141
2019-11-09,237441
2019-11-16,397882
2019-11-23,210266
2019-11-30,407710
2019-12-07,354129
2019-12-14,455962
2019-12-21,184549
2019-12-28,298818
2020-01-04,320957
2020-01-11,485719
2020-01-18,267965
2020-01-25,281260
2020-02-01,228237
2020-02-08,281353
2020-02-15,320354
2020-02-22,402548
2020-02-29,369506
2020-03-07,261112
2020-03-14,202149
2020-03-21,484304
2020-03-28,148163
2020-04-04,285632
2020-04-11,188731
2020-04-18,287073
2020-04-25,248644
2020-05-02,306051
2020-05-09,297988
2020-05-16,516974
2020-05-23,503950
2020-05-30,446721
2020-06-06,589336
2020-06-13,354589
2020-06-20,499608
2020-06-27,482224
2020-07-04,410320
2020-07-11,531878
2020-07-18,641130
2020-07-25,496283
2020-08-01,565584
2020-08-08,427658
2020-08-15,954685
2020-08-22,795392
2020-08-29,479103
2020-09-05,558018
2020-09-12,728361
2020-09-19,735009
2020-09-26,660050
2020-10-03,723093
2020-10-10,809933
2020-10-17,799396
2020-10-24,602177
2020-10-31,879234
2020-11-07,751813
2020-11-14,753210
2020-11-21,975268
2020-11-28,654715
2020-12-05,719578
2020-12-12,974040
2020-12-19,482399
2020-12-26,464170
2021-01-02,957634
2021-01-09,1327672
2021-01-16,692082
2021-01-23,712208
2021-01-30,418715
2021-02-06,477037
2021-02-13,623763
2021-02-20,554704
2021-02-27,387946
2021-03-06,863180
2021-03-13,560057
2021-03-20,715976
2021-03-27,373235
2021-04-03,943654
2021-04-10,432035
2021-04-17,608237
2021-04-24,429064
2021-05-01,296730
2021-05-08,647570
2021-05-15,603525
2021-05-22,385860
2021-05-29,274224
2021-06-05,664163
2021-06-12,209034
2021-06-19,229411
2021-06-26,371544
2021-07-03,184953
2021-07-10,456663
2021-07-17,225493
2021-07-24,138836
2021-07-31,266065
2021-08-07,343092
2021-08-14,373235
2021-08-21,543590
2021-08-28,163645
2021-09-04,963530
2021-09-11,265824
2021-09-18,221448
2021-09-25,249500
2021-10-02,192291
2021-10-09,149623
2021-10-16,291459
2021-10-23,495606
2021-10-30,249564
2021-11-06,510919
2021-11-13,235864
2021-11-20,305905
2021-11-27,259923
2021-12-04,213630
2021-12-11,303222
2021-12-18,264945
2021-12-25,388807
