Label,Value
2015-02-21,37534
2015-04-11,91875
2015-05-09,400101
2015-05-16,71823
2015-05-23,98849
2015-05-30,140132
2015-06-06,302565
2015-06-20,50505
2015-06-27,248408
2015-07-04,245215
2015-07-11,102941
2015-07-18,33925
2015-07-25,8333
2015-08-01,148986
2015-08-08,48276
2015-08-22,141297
2015-08-29,18180
2015-09-05,100308
2015-09-12,420539
2015-09-19,1241539
2015-09-26,202555
2015-10-03,256308
2015-10-10,254564
2015-10-24,36307
2015-10-31,134463
2015-11-07,244356
2015-11-14,392398
2015-11-28,165896
2015-12-05,10638
2016-01-09,702720
2016-01-16,741754
2016-01-23,23256
2016-01-30,12048
2016-02-06,11364
2016-02-13,47193
2016-02-20,10101
2016-03-05,701858
2016-03-19,701545
2016-04-09,200846
2016-04-16,11111
2016-04-23,372481
2016-04-30,154621
2016-05-28,224883
2016-06-04,317126
2016-06-11,427629
2016-06-18,3126367
2016-06-25,2709662
2016-07-02,3794769
2016-07-09,5969219
2016-07-16,3161164
2016-07-23,3982574
2016-07-30,610294
2016-08-06,2692783
2016-08-13,2229672
2016-08-20,647018
2016-08-27,1821345
2016-09-03,5781068
2016-09-10,3494724
2016-09-17,778465
2016-09-24,4784918
2016-10-01,2882043
2016-10-08,3734750
2016-10-15,2795095
2016-10-22,7255629
2016-10-29,13318909
2016-11-05,4582183
2016-11-12,1997623
2016-11-19,13105343
2016-11-26,3679384
2016-12-03,3927652
2016-12-10,10110104
2016-12-17,5005407
2016-12-24,1559230
2016-12-31,11369548
2017-01-07,18933854
2017-01-14,23739076
2017-01-21,7956563
2017-01-28,10179292
2017-02-04,17554900
2017-02-11,15915053
2017-02-18,8990432
2017-02-25,6473493
2017-03-04,7139057
2017-03-11,4804907
2017-03-18,10338993
2017-03-25,2541719
2017-04-01,4746731
2017-04-08,7216000
2017-04-15,9502133
2017-04-22,8416687
2017-04-29,18311415
2017-05-06,12076717
2017-05-13,11555496
2017-05-20,6398434
2017-05-27,22866069
2017-06-03,10950815
2017-06-10,18870184
2017-06-17,13799378
2017-06-24,15845129
2017-07-01,28745850
2017-07-08,44243768
2017-07-15,89448050
2017-07-22,38808734
2017-07-29,52500911
2017-08-05,23990146
2017-08-12,92587187
2017-08-19,62116831
2017-08-26,48597274
2017-09-02,52122103
2017-09-09,107184389
2017-09-16,40665572
2017-09-23,30200552
2017-09-30,38014143
2017-10-07,38360430
2017-10-14,48479678
2017-10-21,59780231
2017-10-28,87463296
2017-11-04,92863772
2017-11-11,69993642
2017-11-18,43123275
2017-11-25,37373479
2017-12-02,67421760
2017-12-09,89719801
2017-12-16,83062011
2017-12-23,70867672
2017-12-30,75098783
2018-01-06,76198595
2018-01-13,53982309
2018-01-20,69916117
2018-01-27,53656285
2018-02-03,83842817
2018-02-10,65437716
2018-02-17,55951149
2018-02-24,52866473
2018-03-03,64969784
2018-03-10,89740747
2018-03-17,72010406
2018-03-24,66390541
2018-03-31,91276990
2018-04-07,94109158
2018-04-14,294794329
2018-04-21,126870073
2018-04-28,141285297
2018-05-05,152420446
2018-05-12,139253616
2018-05-19,133899085
2018-05-26,142911511
2018-06-02,111882527
2018-06-09,140479177
2018-06-16,126592743
2018-06-23,129878122
2018-06-30,100445920
2018-07-07,137229882
2018-07-14,158060342
2018-07-21,128859167
2018-07-28,188830474
2018-08-04,223803960
2018-08-11,234564586
2018-08-18,212812578
2018-08-25,176015966
2018-09-01,142138911
2018-09-08,262709279
2018-09-15,252838637
2018-09-22,187320639
2018-09-29,213973289
2018-10-06,119478306
2018-10-13,142913704
2018-10-20,139767096
2018-10-27,96509233
2018-11-03,94639294
2018-11-10,91089941
2018-11-17,72300072
2018-11-24,91603354
2018-12-01,78071644
2018-12-08,66053912
2018-12-15,57439123
2018-12-22,90467582
2018-12-29,96590848
2019-01-05,62973069
2019-01-12,98716684
2019-01-19,62971347
2019-01-26,86985769
2019-02-02,106488443
2019-02-09,109348333
2019-02-16,100262727
2019-02-23,70586083
2019-03-02,94131700
2019-03-09,122137093
2019-03-16,81489944
2019-03-23,77160410
2019-03-30,108626923
2019-04-06,119003739
2019-04-13,166039801
2019-04-20,128545400
2019-04-27,136941145
2019-05-04,127554720
2019-05-11,130596531
2019-05-18,137663751
2019-05-25,125230608
2019-06-01,141130559
2019-06-08,169185932
2019-06-15,159368743
2019-06-22,144724424
2019-06-29,158547116
2019-07-06,179083349
2019-07-13,147713975
2019-07-20,106472074
2019-07-27,146001197
2019-08-03,174283446
2019-08-10,206095187
2019-08-17,159846082
2019-08-24,194825245
2019-08-31,157476140
2019-09-07,154385927
2019-09-14,139455064
2019-09-21,149297727
2019-09-28,124045308
2019-10-05,138247536
2019-10-12,105467497
2019-10-19,80048712
2019-10-26,120042420
2019-11-02,144648611
2019-11-09,109951301
2019-11-16,100895782
2019-11-23,203474244
2019-11-30,105227728
2019-12-07,159465783
2019-12-14,77006954
2019-12-21,101451103
2019-12-28,98828007
2020-01-04,210400290
2020-01-11,117561928
2020-01-18,104343668
2020-01-25,92742716
2020-02-01,121195934
2020-02-08,116712416
2020-02-15,127635805
2020-02-22,105128096
2020-02-29,102704891
2020-03-07,112427255
2020-03-14,118106581
2020-03-21,128685761
2020-03-28,86920450
2020-04-04,88618786
2020-04-11,77294542
2020-04-18,109822107
2020-04-25,119521920
2020-05-02,124951335
2020-05-09,111679284
2020-05-16,141842275
2020-05-23,114593732
2020-05-30,111801343
2020-06-06,90275201
2020-06-13,127169558
2020-06-20,175031271
2020-06-27,133154592
2020-07-04,258590670
2020-07-11,152844938
2020-07-18,223092680
2020-07-25,151225201
2020-08-01,222052885
2020-08-08,204858549
2020-08-15,210965091
2020-08-22,181180358
2020-08-29,128135941
2020-09-05,143146941
2020-09-12,95221324
2020-09-19,150931319
2020-09-26,154758676
2020-10-03,156854811
2020-10-10,172869963
2020-10-17,129213311
2020-10-24,159306775
2020-10-31,123475510
2020-11-07,103719960
2020-11-14,166364751
2020-11-21,228730377
2020-11-28,229706867
2020-12-05,314569813
2020-12-12,332283821
2020-12-19,432556614
2020-12-26,322920676
2021-01-02,134826606
2021-01-09,288263145
2021-01-16,150752563
2021-01-23,132504843
2021-01-30,147475032
2021-02-06,147777056
2021-02-13,252308472
2021-02-20,227478012
2021-02-27,152682113
2021-03-06,238090253
2021-03-13,316389518
2021-03-20,222616206
2021-03-27,283548409
2021-04-03,401249211
2021-04-10,400875750
2021-04-17,251936294
2021-04-24,284604758
2021-05-01,378247211
2021-05-08,285749002
2021-05-15,248800525
2021-05-22,268343357
2021-05-29,193216632
2021-06-05,189583422
2021-06-12,186115057
2021-06-19,120715125
2021-06-26,118581506
2021-07-03,202512456
2021-07-10,163018649
2021-07-17,136413789
2021-07-24,165825655
2021-07-31,226996253
2021-08-07,187232905
2021-08-14,172860931
2021-08-21,133239113
2021-08-28,227021952
2021-09-04,270264911
2021-09-11,188065765
2021-09-18,147058616
2021-09-25,180588458
2021-10-02,171811701
2021-10-09,162643871
2021-10-16,212379205
2021-10-23,155431640
2021-10-30,189750073
2021-11-06,198802036
2021-11-13,141608859
2021-11-20,176204069
2021-11-27,141059169
2021-12-04,164813183
2021-12-11,139877099
2021-12-18,109238452
2021-12-25,106196796
2022-01-01,77292148
2022-01-08,80970770
2022-01-15,148956931
2022-01-22,123849463
2022-01-29,116333561
2022-02-05,126399526
2022-02-12,107635028
2022-02-19,131382916
2022-02-26,114398814
2022-03-05,182512017
2022-03-12,114650192
2022-03-19,104547908
2022-03-26,154427012
2022-04-02,148717058
2022-04-09,95313361
2022-04-16,138517486
2022-04-23,106233886
2022-04-30,125187483
2022-05-07,114440697
2022-05-14,114013592
2022-05-21,105136826
2022-05-28,138992155
2022-06-04,126513774
2022-06-11,146190841
2022-06-18,99386430
2022-06-25,135218122
2022-07-02,138827650
2022-07-09,146399886
2022-07-16,135274611
2022-07-23,93218445
2022-07-30,110707695
2022-08-06,126634033
2022-08-13,190849060
2022-08-20,162443155
2022-08-27,110028264
2022-09-03,115587152
2022-09-10,100423436
2022-09-17,142564003
2022-09-24,93640972
2022-10-01,117043121
2022-10-08,158775671
2022-10-15,92892271
2022-10-22,103073890
2022-10-29,118747318
2022-11-05,95145122
2022-11-12,72294796
2022-11-19,214651263
2022-11-26,133774126
2022-12-03,133088208
2022-12-10,61759111
2022-12-17,146901038
2022-12-24,96926079
2022-12-31,58431215
2023-01-07,89286814
2023-01-14,75133347
2023-01-21,63842399
2023-01-28,74610155
2023-02-04,86611339
2023-02-11,79338591
2023-02-18,17063996
