Label,Value
2013-03-16,8186
2013-03-23,21075
2013-03-30,16792
2013-04-06,55782
2013-04-13,112238
2013-04-20,43537
2013-04-27,35105
2013-05-04,38764
2013-05-11,44141
2013-05-18,70525
2013-05-25,68388
2013-06-01,59890
2013-06-08,111439
2013-06-15,106337
2013-06-22,116039
2013-06-29,135067
2013-07-06,186456
2013-07-13,193185
2013-07-20,352429
2013-07-27,477526
2013-08-03,563555
2013-08-10,604003
2013-08-17,651731
2013-08-24,805063
2013-08-31,758088
2013-09-07,774434
2013-09-14,908695
2013-09-21,1010317
2013-09-28,1063727
2013-10-05,942381
2013-10-12,717409
2013-10-19,929326
2013-10-26,1029867
2013-11-02,1148341
2013-11-09,1587005
2013-11-16,1616385
2013-11-23,2029594
2013-11-30,2224726
2013-12-07,2110459
2013-12-14,1745794
2013-12-21,1785618
2013-12-28,1211749
2014-01-04,1558095
2014-01-11,1883821
2014-01-18,2053591
2014-01-25,2083361
2014-02-01,1914886
2014-02-08,2199049
2014-02-15,1526425
2014-02-22,1604963
2014-03-01,1804543
2014-03-08,2021884
2014-03-15,2023091
2014-03-22,1936113
2014-03-29,1965657
2014-04-05,2033259
2014-04-12,2147692
2014-04-19,2184686
2014-04-26,2176941
2014-05-03,2007480
2014-05-10,2049388
2014-05-17,1893719
2014-05-24,2431875
2014-05-31,2197716
2014-06-07,2584414
2014-06-14,2879905
2014-06-21,2719635
2014-06-28,2490597
2014-07-05,2544357
2014-07-12,2829859
2014-07-19,2810923
2014-07-26,2668607
2014-08-02,2777484
2014-08-09,2724250
2014-08-16,2756927
2014-08-23,2727226
2014-08-30,2516112
2014-09-06,3495319
2014-09-13,3806113
2014-09-20,3583497
2014-09-27,3623194
2014-10-04,3300069
2014-10-11,3279668
2014-10-18,3237700
2014-10-25,3519995
2014-11-01,3410667
2014-11-08,3430551
2014-11-15,3479663
2014-11-22,3598913
2014-11-29,3212632
2014-12-06,3955129
2014-12-13,3813069
2014-12-20,4107485
2014-12-27,2913625
2015-01-03,3014380
2015-01-10,3818933
2015-01-17,3773026
2015-01-24,3565657
2015-01-31,3700990
2015-02-07,3915832
2015-02-14,4145407
2015-02-21,4174991
2015-02-28,4360300
2015-03-07,4376479
2015-03-14,4360480
2015-03-21,4427142
2015-03-28,4164342
2015-04-04,4446635
2015-04-11,4315161
2015-04-18,3991545
2015-04-25,4236002
2015-05-02,4275846
2015-05-09,4191203
2015-05-16,4338958
2015-05-23,4002649
2015-05-30,4036754
2015-06-06,4895885
2015-06-13,4740572
2015-06-20,4728820
2015-06-27,4664367
2015-07-04,4614009
2015-07-11,4819358
2015-07-18,4721172
2015-07-25,4586364
2015-08-01,4676657
2015-08-08,5003969
2015-08-15,4778918
2015-08-22,4702109
2015-08-29,4663511
2015-09-05,4969793
2015-09-12,4946573
2015-09-19,5365575
2015-09-26,5501980
2015-10-03,5370491
2015-10-10,6001873
2015-10-17,5761430
2015-10-24,6075015
2015-10-31,6360816
2015-11-07,7021828
2015-11-14,5594131
2015-11-21,5566640
2015-11-28,5043089
2015-12-05,5704723
2015-12-12,5797754
2015-12-19,5946777
2015-12-26,4205884
2016-01-02,4121094
2016-01-09,4514521
2016-01-16,5726094
2016-01-23,5242823
2016-01-30,5650932
2016-02-06,5818611
2016-02-13,6357571
2016-02-20,6672964
2016-02-27,6962317
2016-03-05,6593931
2016-03-12,6938696
2016-03-19,7232684
2016-03-26,6848841
2016-04-02,6956363
2016-04-09,6998359
2016-04-16,6841741
2016-04-23,6660767
2016-04-30,6651206
2016-05-07,6592323
2016-05-14,7071904
2016-05-21,6871118
2016-05-28,6919232
2016-06-04,6857222
2016-06-11,7374546
2016-06-18,6943477
2016-06-25,6546151
2016-07-02,6732289
2016-07-09,6203717
2016-07-16,7033968
2016-07-23,6737186
2016-07-30,6416419
2016-08-06,6316714
2016-08-13,7405357
2016-08-20,7509472
2016-08-27,6428413
2016-09-03,6302861
2016-09-10,5951783
2016-09-17,6615071
2016-09-24,7007840
2016-10-01,6632958
2016-10-08,6642116
2016-10-15,6469367
2016-10-22,7196128
2016-10-29,7545067
2016-11-05,7803728
2016-11-12,6866168
2016-11-19,7670296
2016-11-26,6613958
2016-12-03,7923722
2016-12-10,7801553
2016-12-17,7647936
2016-12-24,7136165
2016-12-31,6137643
2017-01-07,6627035
2017-01-14,7360529
2017-01-21,6960593
2017-01-28,7565579
2017-02-04,7957284
2017-02-11,7192353
2017-02-18,7360622
2017-02-25,8148785
2017-03-04,9162364
2017-03-11,8211984
2017-03-18,8083770
2017-03-25,8055855
2017-04-01,7940112
2017-04-08,8988933
2017-04-15,8222640
2017-04-22,8666298
2017-04-29,8720447
2017-05-06,9437743
2017-05-13,9773825
2017-05-20,8960654
2017-05-27,9509999
2017-06-03,8415005
2017-06-10,9737730
2017-06-17,8521119
2017-06-24,8800325
2017-07-01,8393643
2017-07-08,6199447
2017-07-15,7702914
2017-07-22,8883652
2017-07-29,8017178
2017-08-05,7500779
2017-08-12,8805302
2017-08-19,9696709
2017-08-26,8638247
2017-09-02,9619863
2017-09-09,8865809
2017-09-16,9405742
2017-09-23,8978495
2017-09-30,9757333
2017-10-07,9426329
2017-10-14,9032618
2017-10-21,9900397
2017-10-28,9445288
2017-11-04,11374514
2017-11-11,10049796
2017-11-18,11366298
2017-11-25,8404296
2017-12-02,11382660
2017-12-09,12480069
2017-12-16,11912962
2017-12-23,12446413
2017-12-30,9039670
2018-01-06,10802337
2018-01-13,9767983
2018-01-20,10036977
2018-01-27,9188568
2018-02-03,9235106
2018-02-10,7991712
2018-02-17,7784952
2018-02-24,8238219
2018-03-03,9570252
2018-03-10,8207777
2018-03-17,7874195
2018-03-24,8988245
2018-03-31,6865730
2018-04-07,7559528
2018-04-14,8478686
2018-04-21,8426545
2018-04-28,8314712
2018-05-05,8226462
2018-05-12,7835479
2018-05-19,8296830
2018-05-26,7048660
2018-06-02,6622368
2018-06-09,7816321
2018-06-16,6947485
2018-06-23,7008445
2018-06-30,6749976
2018-07-07,7550995
2018-07-14,7375299
2018-07-21,8153663
2018-07-28,7558471
2018-08-04,7881991
2018-08-11,6521255
2018-08-18,7160996
2018-08-25,6435240
2018-09-01,4850375
2018-09-08,6550354
2018-09-15,7510550
2018-09-22,7626707
2018-09-29,6859827
2018-10-06,6234264
2018-10-13,6613843
2018-10-20,7005497
2018-10-27,6611415
2018-11-03,6742054
2018-11-10,7518429
2018-11-17,6029754
2018-11-24,5504114
2018-12-01,6735587
2018-12-08,6333752
2018-12-15,6246660
2018-12-22,6737810
2018-12-29,4616302
2019-01-05,4667463
2019-01-12,5576737
2019-01-19,5646424
2019-01-26,6271744
2019-02-02,6465589
2019-02-09,8435655
2019-02-16,5783206
2019-02-23,8006831
2019-03-02,9669238
2019-03-09,6953474
2019-03-16,6920233
2019-03-23,7507878
2019-03-30,6897466
2019-04-06,7495862
2019-04-13,7086043
2019-04-20,6138167
2019-04-27,6497979
2019-05-04,7115639
2019-05-11,7838751
2019-05-18,7139945
2019-05-25,7190746
2019-06-01,5629516
2019-06-08,6369894
2019-06-15,6426700
2019-06-22,5921056
2019-06-29,6430292
2019-07-06,5774516
2019-07-13,6179820
2019-07-20,5032395
2019-07-27,5361847
2019-08-03,5749514
2019-08-10,6135340
2019-08-17,5589338
2019-08-24,5150191
2019-08-31,4802910
2019-09-07,4693461
2019-09-14,4793681
2019-09-21,5312536
2019-09-28,4981702
2019-10-05,4739610
2019-10-12,4640346
2019-10-19,3672325
2019-10-26,4318129
2019-11-02,3764074
2019-11-09,3721544
2019-11-16,3313169
2019-11-23,3639495
2019-11-30,3306929
2019-12-07,4063633
2019-12-14,4328608
2019-12-21,3658628
2019-12-28,2933254
2020-01-04,2780880
2020-01-11,3728478
2020-01-18,3724728
2020-01-25,3521340
2020-02-01,3601093
2020-02-08,3795151
2020-02-15,3440461
2020-02-22,3323891
2020-02-29,3587030
2020-03-07,4001058
2020-03-14,3428706
2020-03-21,3484383
2020-03-28,3144499
2020-04-04,3445773
2020-04-11,3284012
2020-04-18,3936974
2020-04-25,4322185
2020-05-02,4080200
2020-05-09,4556576
2020-05-16,4717268
2020-05-23,4559397
2020-05-30,4200570
2020-06-06,4868616
2020-06-13,4857645
2020-06-20,4498037
2020-06-27,4417343
2020-07-04,4564835
2020-07-11,5337194
2020-07-18,4840374
2020-07-25,4704466
2020-08-01,5087671
2020-08-08,5037804
2020-08-15,5246091
2020-08-22,4503345
2020-08-29,4661733
2020-09-05,5056149
2020-09-12,4311267
2020-09-19,4212448
2020-09-26,4310409
2020-10-03,4240365
2020-10-10,3859124
2020-10-17,3981747
2020-10-24,4001405
2020-10-31,3832817
2020-11-07,3782488
2020-11-14,3787318
2020-11-21,3813249
2020-11-28,3366821
2020-12-05,4092827
2020-12-12,3591756
2020-12-19,4439220
2020-12-26,3424697
2021-01-02,3971370
2021-01-09,4817342
2021-01-16,3959819
2021-01-23,3365601
2021-01-30,3316681
2021-02-06,3471304
2021-02-13,3287558
2021-02-20,2855549
2021-02-27,2725254
2021-03-06,2509263
2021-03-13,82708436
2021-03-20,2526422
2021-03-27,2519980
2021-04-03,2361099
2021-04-10,2300948
2021-04-17,2088169
2021-04-24,1596795
2021-05-01,1925436
2021-05-08,1870663
2021-05-15,1851164
2021-05-22,1445999
2021-05-29,1432484
2021-06-05,1586400
2021-06-12,1430173
2021-06-19,1308099
2021-06-26,1252293
2021-07-03,1356178
2021-07-10,1378223
2021-07-17,1292492
2021-07-24,1127194
2021-07-31,1414887
2021-08-07,1266901
2021-08-14,1461138
2021-08-21,1232591
2021-08-28,1221832
2021-09-04,1427317
2021-09-11,1081441
2021-09-18,1254527
2021-09-25,1185106
2021-10-02,1215308
2021-10-09,1309001
2021-10-16,1504309
2021-10-23,1805437
2021-10-30,1294263
2021-11-06,1418815
2021-11-13,1261119
2021-11-20,1131877
2021-11-27,1075967
2021-12-04,1273332
2021-12-11,1062685
2021-12-18,1132619
2021-12-25,966769
2022-01-01,848356
2022-01-08,1117249
2022-01-15,949689
2022-01-22,1018639
2022-01-29,978549
2022-02-05,1004541
2022-02-12,1099066
2022-02-19,1029646
2022-02-26,889223
2022-03-05,1099335
2022-03-12,1065543
2022-03-19,1053301
2022-03-26,877496
2022-04-02,1030807
2022-04-09,971793
2022-04-16,854238
2022-04-23,922539
2022-04-30,867554
2022-05-07,872011
2022-05-14,711955
2022-05-21,710671
2022-05-28,642471
2022-06-04,816812
2022-06-11,751254
2022-06-18,715465
2022-06-25,540425
2022-07-02,744981
2022-07-09,746884
2022-07-16,607901
2022-07-23,547776
2022-07-30,656237
2022-08-06,570388
2022-08-13,581414
2022-08-20,576597
2022-08-27,590018
2022-09-03,595963
2022-09-10,684678
2022-09-17,491476
2022-09-24,509210
2022-10-01,610651
2022-10-08,539231
2022-10-15,445068
2022-10-22,414033
2022-10-29,532400
2022-11-05,687181
2022-11-12,410077
2022-11-19,485626
2022-11-26,408607
2022-12-03,535904
2022-12-10,553379
2022-12-17,501730
2022-12-24,402128
2022-12-31,482733
2023-01-07,411414
2023-01-14,431219
2023-01-21,413119
2023-01-28,407399
2023-02-04,506155
2023-02-11,473212
2023-02-18,177439
2023-02-25,7329
