Label,Value
2018-08-25,296
2018-09-01,293
2018-09-08,582
2018-09-15,463
2018-09-22,624
2018-09-29,561
2018-10-06,742
2018-10-13,913
2018-10-20,1179
2018-10-27,1161
2018-11-03,1624
2018-11-10,1771
2018-11-17,1440
2018-11-24,1862
2018-12-01,2383
2018-12-08,3229
2018-12-15,3772
2018-12-22,5288
2018-12-29,4619
2019-01-05,4543
2019-01-12,13669
2019-01-19,13793
2019-01-26,15980
2019-02-02,17338
2019-02-09,24356
2019-02-16,19898
2019-02-23,24423
2019-03-02,25428
2019-03-09,14227
2019-03-16,21452
2019-03-23,21647
2019-03-30,19742
2019-04-06,26850
2019-04-13,31314
2019-04-20,29098
2019-04-27,36526
2019-05-04,37063
2019-05-11,40949
2019-05-18,39425
2019-05-25,36337
2019-06-01,39133
2019-06-08,40408
2019-06-15,46628
2019-06-22,46107
2019-06-29,41704
2019-07-06,47656
2019-07-13,49962
2019-07-20,57882
2019-07-27,47665
2019-08-03,67924
2019-08-10,76492
2019-08-17,71659
2019-08-24,77463
2019-08-31,116870
2019-09-07,120837
2019-09-14,104007
2019-09-21,92944
2019-09-28,87973
2019-10-05,101893
2019-10-12,86079
2019-10-19,80892
2019-10-26,93545
2019-11-02,115269
2019-11-09,144150
2019-11-16,138682
2019-11-23,139937
2019-11-30,151575
2019-12-07,205540
2019-12-14,209367
2019-12-21,248021
2019-12-28,205250
2020-01-04,263304
2020-01-11,366706
2020-01-18,396262
2020-01-25,350502
2020-02-01,365671
2020-02-08,386494
2020-02-15,343027
2020-02-22,291068
2020-02-29,241895
2020-03-07,311443
2020-03-14,268226
2020-03-21,269885
2020-03-28,294463
2020-04-04,417139
2020-04-11,420867
2020-04-18,538730
2020-04-25,722577
2020-05-02,724256
2020-05-09,938665
2020-05-16,759709
2020-05-23,834264
2020-05-30,829410
2020-06-06,997741
2020-06-13,918674
2020-06-20,959198
2020-06-27,753970
2020-07-04,1019047
2020-07-11,999452
2020-07-18,1091978
2020-07-25,1044738
2020-08-01,1279212
2020-08-08,1432035
2020-08-15,1482028
2020-08-22,1369481
2020-08-29,1610105
2020-09-05,1985253
2020-09-12,1796067
2020-09-19,1851057
2020-09-26,1852763
2020-10-03,2364416
2020-10-10,2382179
2020-10-17,2017751
2020-10-24,2043156
2020-10-31,2150751
2020-11-07,2654163
2020-11-14,2754611
2020-11-21,3585662
2020-11-28,4051905
2020-12-05,5850997
2020-12-12,5891365
2020-12-19,7146305
2020-12-26,5957413
2021-01-02,5767461
2021-01-09,7331869
2021-01-16,7248595
2021-01-23,6927369
2021-01-30,7715238
2021-02-06,8560388
2021-02-13,8158121
2021-02-20,7299021
2021-02-27,7162545
2021-03-06,8171671
2021-03-13,7185921
2021-03-20,7176106
2021-03-27,6165315
2021-04-03,7685447
2021-04-10,9383413
2021-04-17,9095096
2021-04-24,7482636
2021-05-01,9130342
2021-05-08,6942376
2021-05-15,5089590
2021-05-22,7058086
2021-05-29,6906730
2021-06-05,8516850
2021-06-12,7437244
2021-06-19,7441706
2021-06-26,5982205
2021-07-03,7682991
2021-07-10,7113113
2021-07-17,7286136
2021-07-24,7253418
2021-07-31,8181773
2021-08-07,8814507
2021-08-14,8054668
2021-08-21,7842338
2021-08-28,7190584
2021-09-04,9174984
2021-09-11,7670926
2021-09-18,7032527
2021-09-25,6534946
2021-10-02,5150593
2021-10-09,4313142
2021-10-16,6455831
2021-10-23,6538042
2021-10-30,6855020
2021-11-06,7944443
2021-11-13,7153367
2021-11-20,6563482
2021-11-27,6263543
2021-12-04,8252883
2021-12-11,6600993
2021-12-18,7027439
2021-12-25,6894079
2022-01-01,5502960
2022-01-08,5140950
2022-01-15,5363006
2022-01-22,4827671
2022-01-29,4761781
2022-02-05,6159362
2022-02-12,5152431
2022-02-19,4885475
2022-02-26,4429533
2022-03-05,5433880
2022-03-12,4480118
2022-03-19,4684917
2022-03-26,4053692
2022-04-02,5162455
2022-04-09,5133951
2022-04-16,3783814
2022-04-23,4295543
2022-04-30,4537156
2022-05-07,5946533
2022-05-14,5855569
2022-05-21,4281043
2022-05-28,4050831
2022-06-04,6076030
2022-06-11,5574860
2022-06-18,4964542
2022-06-25,3789948
2022-07-02,5343974
2022-07-09,5230812
2022-07-16,4049221
2022-07-23,4117638
2022-07-30,4474966
2022-08-06,4898663
2022-08-13,4634570
2022-08-20,4984479
2022-08-27,4965806
2022-09-03,6290303
2022-09-10,5196695
2022-09-17,5578553
2022-09-24,4735440
2022-10-01,5364446
2022-10-08,5696445
2022-10-15,5495083
2022-10-22,4524671
2022-10-29,4908814
2022-11-05,6606966
2022-11-12,6121828
2022-11-19,5863251
2022-11-26,5196560
2022-12-03,8294120
2022-12-10,9321054
2022-12-17,10821240
2022-12-24,12483423
2022-12-31,10147865
2023-01-07,8853796
2023-01-14,10991215
2023-01-21,10224297
2023-01-28,10463236
2023-02-04,15541452
2023-02-11,12595866
2023-02-18,3883046
