Label,Value
2014-02-15,11300538
2014-03-29,4848009
2014-04-05,2309852
2014-05-17,2452264
2014-05-31,2487690
2014-06-21,38399
2014-08-09,17704000
2014-08-16,1004897
2014-08-23,2517298
2014-10-04,285544
2014-10-11,1250000
2015-04-04,6110755
2015-05-16,3177
2015-05-23,1000000
2015-06-13,1900000
2015-06-20,2000000
2015-07-04,2725625
2015-08-01,39525787
2015-08-15,1400000
2015-08-22,8389395
2015-09-05,8134565
2015-09-12,51092921
2015-09-19,6194123
2015-09-26,4407947
2015-10-03,31500000
2015-10-10,300000
2015-10-17,1000000
2015-10-24,4440062
2015-10-31,25761522
2015-11-07,51911973
2015-11-14,20936000
2015-11-21,168986464
2015-11-28,51811636
2015-12-05,171910278
2015-12-12,108692961
2015-12-19,101520385
2015-12-26,93660324
2016-01-02,41342372
2016-01-09,14329891
2016-01-16,31380684
2016-01-23,26419757
2016-01-30,16006765
2016-02-13,9186119
2016-02-20,100304330
2016-02-27,31749160
2016-03-05,159520459
2016-03-12,27182771
2016-03-19,249254715
2016-03-26,35121247
2016-04-02,31999906
2016-04-09,161345344
2016-04-16,29237696
2016-04-23,90752338
2016-04-30,242755565
2016-05-07,8933175
2016-05-14,102002400
2016-05-21,84298978
2016-05-28,82428858
2016-06-04,224783822
2016-06-11,116900000
2016-06-18,246796226
2016-06-25,9720307
2016-07-02,43696554
2016-07-09,17497439
2016-07-16,131300616
2016-07-23,155497402
2016-07-30,30922244
2016-08-06,44192073
2016-08-13,172509743
2016-08-20,117065099
2016-08-27,88555056
2016-09-03,150374207
2016-09-10,76152138
2016-09-17,302624655
2016-09-24,360157161
2016-10-01,39135060
2016-10-08,302512326
2016-10-15,70247633
2016-10-22,13626427
2016-10-29,54543310
2016-11-05,161332180
2016-11-12,33290922
2016-11-19,18554559
2016-11-26,488745620
2016-12-03,479734341
2016-12-10,726819811
2016-12-17,41797166
2016-12-24,557445085
2016-12-31,195083593
2017-01-07,907102903
2017-01-14,407575306
2017-01-21,171834877
2017-01-28,96216083
2017-02-04,157028310
2017-02-11,205051873
2017-02-18,11033404
2017-02-25,439640034
2017-03-04,414560258
2017-03-11,96423879
2017-03-18,174012866
2017-03-25,42890189
2017-04-01,129065471
2017-04-08,653695706
2017-04-15,184014575
2017-04-22,215350937
2017-04-29,183028906
2017-05-06,200508026
2017-05-13,324627242
2017-05-20,665970994
2017-05-27,685706892
2017-06-03,327723667
